retro_id,team,date,IP,H,R,ER,BB,SO,W,L,QS,fanduel_points,number,starter,opp,home,HR
barls001,CIN,2025-08-18,1.1,0,0,0,1,4,0,0,0,16.0,0.0,,,,
barls001,CIN,2025-08-20,1.0,0,0,0,0,2,0,0,0,9.0,0.0,,,,
barnm002,ATH,2025-09-05,5.0,3,4,4,5,8,1,0,0,33.0,0.0,,,,
bassb002,ATH,2025-09-06,1.0,3,1,0,0,0,0,0,0,3.0,0.0,,,,
bassc001,TOR,2025-05-08,6.0,8,5,4,1,6,1,0,0,30.0,0.0,,,,
bautf001,BAL,2025-05-09,1.0,0,0,0,0,2,0,0,0,9.0,0.0,,,,
bautf001,BAL,2025-05-11,1.0,1,1,1,0,1,0,0,0,3.0,0.0,,,,
baz-s001,TBA,2025-08-06,4.0,5,4,4,2,9,0,0,0,27.0,0.0,,,,
bazae001,SEA,2025-06-06,2.0,0,0,0,0,4,0,0,0,18.0,0.0,,,,
bazae001,SEA,2025-07-24,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
bazae001,SEA,2025-07-25,1.0,0,0,0,0,2,0,0,0,9.0,0.0,,,,
bednd001,PIT,2025-04-22,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
bednd001,PIT,2025-04-23,1.0,0,0,0,0,2,0,0,0,9.0,0.0,,,,
benda001,MIA,2025-05-25,1.1,0,0,0,1,2,0,0,0,10.0,0.0,,,,
bernb001,BOS,2025-06-25,0.2,2,1,1,0,0,0,0,0,-1.0,0.0,,,,
berrj001,TOR,2025-05-07,6.0,5,2,2,5,9,0,0,1,43.0,0.0,,,,
bibet001,CLE,2025-04-05,4.0,9,7,7,1,4,0,1,0,3.0,0.0,,,,
bidoo001,ATH,2025-06-11,2.2,4,1,1,1,3,0,0,0,14.0,0.0,,,,
bidoo001,ATH,2025-09-07,0.1,1,1,1,2,0,0,1,0,-2.0,0.0,,,,
bluba001,HOU,2025-09-27,4.0,1,0,0,4,2,0,0,0,18.0,0.0,,,,
borur001,PIT,2025-04-22,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
bousc001,TEX,2025-07-29,1.2,0,1,1,1,1,0,0,0,5.0,0.0,,,,
bowlj001,KCA,2025-09-24,2.0,1,0,0,1,4,0,0,0,18.0,0.0,,,,
bradt002,MIN,2025-09-10,6.1,4,3,3,2,5,0,0,1,29.0,0.0,,,,
brasm001,SEA,2025-06-08,1.0,0,0,0,0,2,0,0,0,9.0,0.0,,,,
brasm001,SEA,2025-07-24,0.2,0,0,0,0,2,0,0,0,8.0,0.0,,,,
brasm001,SEA,2025-07-25,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
brieb001,DET,2025-05-03,0.1,1,0,0,0,0,0,0,0,1.0,0.0,,,,
brieb001,DET,2025-05-04,1.0,0,0,0,0,2,0,0,0,9.0,0.0,,,,
brogc001,ANA,2025-05-07,1.0,2,0,0,0,0,0,0,0,3.0,0.0,,,,
brogc001,ANA,2025-05-08,2.0,2,1,1,0,2,0,0,0,9.0,0.0,,,,
brogc001,ANA,2025-05-11,0.2,2,4,4,2,1,0,0,0,-7.0,0.0,,,,
brogc001,ANA,2025-05-25,1.0,1,0,0,0,1,0,0,0,6.0,0.0,,,,
brogc001,ANA,2025-05-26,1.0,1,1,0,1,1,0,0,0,6.0,0.0,,,,
brogc001,ANA,2025-06-07,1.2,0,0,0,1,2,1,0,0,17.0,0.0,,,,
brogc001,ANA,2025-06-09,0.0,2,2,2,1,0,0,0,0,-6.0,0.0,,,,
brogc001,ANA,2025-06-11,1.0,1,0,0,0,0,0,0,0,3.0,0.0,,,,
brogc001,ANA,2025-06-22,2.0,0,0,0,1,2,0,0,0,12.0,0.0,,,,
brogc001,ANA,2025-06-24,1.1,0,0,0,0,1,0,0,0,7.0,0.0,,,,
brogc001,ANA,2025-06-27,1.1,2,1,1,0,2,0,0,0,7.0,0.0,,,,
brogc001,ANA,2025-06-29,2.0,3,3,2,2,0,0,1,0,0.0,0.0,,,,
brogc001,ANA,2025-07-09,0.1,0,0,0,0,1,0,0,0,4.0,0.0,,,,
brogc001,ANA,2025-07-12,1.0,0,0,0,0,0,0,0,0,3.0,0.0,,,,
brogc001,ANA,2025-07-24,0.1,0,0,0,0,0,0,0,0,1.0,0.0,,,,
brogc001,ANA,2025-07-26,1.0,2,1,1,1,1,0,0,0,3.0,0.0,,,,
brogc001,ANA,2025-07-28,1.1,2,1,1,0,1,1,0,0,10.0,0.0,,,,
brogc001,ANA,2025-07-29,1.0,1,1,1,0,0,0,0,0,0.0,0.0,,,,
brogc001,ANA,2025-08-01,1.0,2,1,1,0,1,0,0,0,3.0,0.0,,,,
brogc001,ANA,2025-08-04,1.0,0,0,0,1,2,0,0,0,9.0,0.0,,,,
brogc001,ANA,2025-08-06,1.0,0,0,0,0,0,0,0,0,3.0,0.0,,,,
brogc001,ANA,2025-08-11,0.1,0,0,0,0,1,0,0,0,4.0,0.0,,,,
brogc001,ANA,2025-08-12,1.0,0,0,0,0,1,1,0,0,12.0,0.0,,,,
brogc001,ANA,2025-09-25,2.0,0,0,0,0,3,0,0,0,15.0,0.0,,,,
brogc001,ANA,2025-09-28,1.1,3,2,2,0,2,0,0,0,4.0,0.0,,,,
browb006,CHN,2025-08-23,3.0,2,1,1,0,3,0,0,0,15.0,,,,,
browh001,HOU,2025-06-20,5.0,2,1,1,2,4,0,0,0,24.0,0.0,,,,
brzyz001,WAS,2025-06-27,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
brzyz001,WAS,2025-06-28,0.0,3,3,3,0,0,0,1,0,-9.0,0.0,,,,
buehw001,BOS,2025-06-23,4.0,3,5,5,7,3,0,0,0,6.0,0.0,,,,
burkb001,ANA,2025-04-06,0.2,1,0,0,0,0,0,0,0,2.0,0.0,,,,
burkb001,ANA,2025-04-18,1.0,1,0,0,0,0,0,0,0,3.0,0.0,,,,
burkb001,ANA,2025-04-20,0.2,2,2,2,1,1,0,0,0,-1.0,0.0,,,,
burkb001,ANA,2025-04-22,1.0,1,0,0,1,1,0,0,0,6.0,0.0,,,,
burkb001,ANA,2025-05-01,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
burkb001,ANA,2025-05-03,0.2,2,1,1,0,0,0,0,0,-1.0,0.0,,,,
burkb001,ANA,2025-05-07,1.0,0,0,0,1,0,1,0,0,9.0,0.0,,,,
burkb001,ANA,2025-05-08,1.0,2,1,1,2,1,0,0,0,3.0,0.0,,,,
burkb001,ANA,2025-05-10,1.0,1,1,1,0,0,0,0,0,0.0,0.0,,,,
burkb001,ANA,2025-05-24,1.1,1,0,0,0,1,0,0,0,7.0,0.0,,,,
burkb001,ANA,2025-05-26,0.1,0,0,0,0,0,0,0,0,1.0,0.0,,,,
burkb001,ANA,2025-05-28,1.0,1,0,0,0,2,0,0,0,9.0,0.0,,,,
burkb001,ANA,2025-06-07,0.2,0,0,0,0,0,0,0,0,2.0,0.0,,,,
burkb001,ANA,2025-06-08,0.1,0,0,0,0,1,0,0,0,4.0,0.0,,,,
burkb001,ANA,2025-06-11,0.1,0,0,0,1,1,0,0,0,4.0,0.0,,,,
burkb001,ANA,2025-06-22,1.0,2,0,0,0,2,0,0,0,9.0,0.0,,,,
burkb001,ANA,2025-06-23,0.1,2,0,0,0,0,0,0,0,1.0,0.0,,,,
burkb001,ANA,2025-06-27,0.2,2,0,0,0,1,0,0,0,5.0,0.0,,,,
burkb001,ANA,2025-06-29,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
burkb001,ANA,2025-07-07,0.1,0,0,0,0,0,0,0,0,1.0,0.0,,,,
burkb001,ANA,2025-07-09,0.1,0,0,0,0,0,0,0,0,1.0,0.0,,,,
burkb001,ANA,2025-07-11,1.0,0,0,0,0,0,0,0,0,3.0,0.0,,,,
burkb001,ANA,2025-07-25,1.0,1,0,0,0,0,0,0,0,3.0,0.0,,,,
burkb001,ANA,2025-07-27,1.0,0,0,0,1,1,0,0,0,6.0,0.0,,,,
burkb001,ANA,2025-07-29,0.2,1,0,0,0,0,1,0,0,8.0,0.0,,,,
burkb001,ANA,2025-08-02,1.0,1,0,0,1,1,0,0,0,6.0,0.0,,,,
burkb001,ANA,2025-08-04,1.0,1,0,0,0,1,0,0,0,6.0,0.0,,,,
burkb001,ANA,2025-08-06,1.0,1,0,0,0,2,0,0,0,9.0,0.0,,,,
burkb001,ANA,2025-08-12,1.0,2,0,0,0,0,0,0,0,3.0,0.0,,,,
burkb001,ANA,2025-08-13,1.0,0,0,0,0,2,1,0,0,15.0,0.0,,,,
burkb001,ANA,2025-08-24,1.0,0,0,0,0,0,0,0,0,3.0,0.0,,,,
burkb001,ANA,2025-09-06,1.1,1,1,0,0,2,0,0,0,10.0,0.0,,,,
burkb001,ANA,2025-09-09,1.0,2,2,2,0,1,0,0,0,0.0,0.0,,,,
burkb001,ANA,2025-09-23,1.0,3,2,2,0,2,0,0,0,3.0,0.0,,,,
burkb001,ANA,2025-09-26,1.0,1,0,0,0,0,1,0,0,9.0,0.0,,,,
burks001,CHA,2025-08-03,5.0,5,3,3,2,7,0,0,0,27.0,0.0,,,,
cabre003,MIA,2025-05-25,5.2,3,0,0,2,10,1,0,0,53.0,0.0,,,,
cabrg001,MIN,2025-09-08,1.0,0,0,0,2,2,0,0,0,9.0,0.0,,,,
canoy001,BAL,2025-05-09,0.1,1,0,0,1,1,0,0,0,4.0,0.0,,,,
canoy001,BAL,2025-05-11,1.0,0,0,0,0,2,0,0,0,9.0,0.0,,,,
cantj002,CLE,2025-04-05,2.1,0,0,0,0,2,0,0,0,13.0,0.0,,,,
caspb001,LAN,2025-08-12,0.1,2,1,0,0,1,0,1,0,4.0,0.0,,,,
castl003,SEA,2025-06-07,5.0,8,6,4,0,5,0,1,0,18.0,0.0,,,,
chafa001,ANA,2025-08-01,1.0,2,0,0,0,0,0,0,0,3.0,0.0,,,,
chafa001,ANA,2025-08-03,1.0,0,0,0,1,1,0,0,0,6.0,0.0,,,,
chafa001,ANA,2025-08-05,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
chafa001,ANA,2025-08-12,0.2,3,2,2,1,0,0,0,0,-4.0,0.0,,,,
