retro_id,team,date,IP,H,R,ER,BB,SO,W,L,QS,fanduel_points,number,starter,opp,home,HR
abreb002,HOU,2021-04-05,2.0,1,0,0,0,0,0,0,0,6.0,0.0,,ANA,0.0,0.0
adama002,SDN,2021-08-28,0.1,1,2,2,2,0,0,0,0,-5.0,0.0,,ANA,0.0,0.0
akink001,BAL,2021-07-02,3.0,7,4,4,1,3,0,0,0,6.0,0.0,1.0,ANA,0.0,2.0
alcaj001,MIN,2021-04-16,0.1,0,0,0,0,0,0,0,0,1.0,0.0,,ANA,0.0,0.0
alexa001,TEX,2021-09-06,6.0,1,0,0,2,7,1,0,1,49.0,0.0,1.0,ANA,0.0,0.0
alext001,DET,2021-06-17,1.0,1,0,0,0,0,0,0,0,3.0,0.0,,ANA,0.0,0.0
alext001,DET,2021-06-19,1.1,1,1,1,0,1,0,0,0,4.0,0.0,,ANA,0.0,0.0
allak001,TEX,2021-09-04,5.2,5,4,3,1,4,0,1,0,20.0,0.0,1.0,ANA,0.0,2.0
andes002,SDN,2021-08-28,0.2,2,0,0,1,0,0,0,0,2.0,0.0,,ANA,0.0,0.0
andet002,SEA,2021-09-25,2.0,9,9,9,1,0,0,1,0,-21.0,0.0,1.0,ANA,0.0,1.0
andrm001,SEA,2021-09-25,2.0,1,0,0,1,3,0,0,0,15.0,0.0,,ANA,0.0,0.0
arihk001,TEX,2021-04-19,5.2,2,0,0,2,6,1,0,0,41.0,0.0,1.0,ANA,0.0,0.0
astuw001,MIN,2021-04-16,1.0,0,0,0,0,0,0,0,0,3.0,0.0,,ANA,0.0,0.0
barlj001,TEX,2021-09-05,1.0,1,0,0,1,1,0,0,0,6.0,0.0,,ANA,0.0,0.0
barlj001,TEX,2021-09-06,1.0,1,0,0,0,0,0,0,0,3.0,0.0,,ANA,0.0,0.0
barrj003,ANA,2021-05-18,4.0,1,0,0,1,1,0,0,0,15.0,0.0,,CLE,1.0,0.0
barrj003,ANA,2021-07-31,6.2,4,0,0,1,3,1,0,1,39.0,0.0,1.0,OAK,1.0,0.0
barrj003,ANA,2021-08-14,3.0,7,3,3,1,1,0,1,0,3.0,0.0,1.0,HOU,1.0,1.0
