retro_id,team,date,IP,H,R,ER,BB,SO,W,L,QS,fanduel_points,number,starter,opp,home,HR
adamj002,TBA,2022-05-10,1.0,1,0,0,0,1,0,0,0,6.0,0.0,,ANA,0.0,0.0
aranv001,WAS,2022-05-06,1.0,1,0,0,1,2,0,0,0,9.0,0.0,,ANA,0.0,0.0
archc001,MIN,2022-08-14,4.0,4,3,3,1,5,0,1,0,18.0,0.0,1.0,ANA,0.0,0.0
armss001,MIA,2022-04-11,1.0,2,2,2,1,0,0,0,0,-3.0,0.0,,ANA,0.0,0.0
baezp001,HOU,2022-04-08,0.2,3,3,0,0,0,0,0,0,2.0,0.0,,ANA,0.0,0.0
barls001,KCA,2022-06-20,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,ANA,0.0,0.0
barls001,KCA,2022-06-21,1.0,2,3,3,1,1,0,0,0,-3.0,0.0,,ANA,0.0,1.0
barrj003,ANA,2022-04-08,2.2,3,2,2,0,3,0,0,0,11.0,0.0,,HOU,1.0,2.0
barrj003,ANA,2022-05-08,2.0,0,0,0,0,2,1,0,0,18.0,0.0,,WAS,1.0,0.0
barrj003,ANA,2022-05-26,3.0,1,1,1,2,5,0,0,0,21.0,0.0,,TOR,1.0,1.0
barrj003,ANA,2022-05-29,2.1,0,0,0,1,1,0,0,0,10.0,0.0,,TOR,1.0,0.0
barrj003,ANA,2022-06-07,1.0,2,1,0,0,0,0,1,0,3.0,0.0,,BOS,1.0,0.0
barrj003,ANA,2022-06-10,3.2,2,0,0,0,2,0,0,0,17.0,0.0,,NYN,1.0,0.0
barrj003,ANA,2022-06-20,1.2,4,1,1,0,1,0,0,0,5.0,0.0,,KCA,1.0,1.0
barrj003,ANA,2022-06-28,3.0,5,2,2,1,4,0,0,0,15.0,0.0,,CHA,1.0,0.0
barrj003,ANA,2022-07-15,3.0,3,1,1,0,3,0,0,0,15.0,0.0,,LAN,1.0,0.0
barrj003,ANA,2022-07-28,3.0,2,0,0,0,2,0,0,0,15.0,0.0,,TEX,1.0,0.0
barrj003,ANA,2022-08-03,2.0,1,0,0,0,2,0,0,0,12.0,0.0,,OAK,1.0,0.0
