retro_id,team,date,IP,H,R,ER,BB,SO,W,L,QS,fanduel_points,number,starter,opp,home,HR
abreb002,HOU,2024-06-08,0.1,0,0,0,2,0,0,0,0,1.0,0.0,,ANA,0.0,0.0
abreb002,HOU,2024-06-09,1.0,0,0,0,1,1,0,0,0,6.0,0.0,,ANA,0.0,0.0
abreb002,HOU,2024-09-13,1.0,0,0,0,0,2,0,0,0,9.0,0.0,,ANA,0.0,0.0
adama002,OAK,2024-06-26,0.0,1,3,3,1,0,0,0,0,-9.0,0.0,,ANA,0.0,0.0
adama002,OAK,2024-07-25,1.0,1,0,0,0,1,0,0,0,6.0,0.0,,ANA,0.0,0.0
adama002,OAK,2024-07-27,1.0,1,0,0,0,1,0,0,0,6.0,0.0,,ANA,0.0,0.0
adamj002,TBA,2024-04-09,1.0,1,0,0,0,0,0,0,0,3.0,0.0,,ANA,0.0,0.0
adamj002,TBA,2024-04-10,1.0,1,0,0,0,1,0,0,0,6.0,0.0,,ANA,0.0,0.0
akink001,BAL,2024-04-23,0.2,0,0,0,1,2,0,0,0,8.0,0.0,,ANA,0.0,0.0
aldes001,ANA,2024-08-30,5.0,6,7,2,2,3,0,1,0,18.0,0.0,1.0,SEA,1.0,1.0
aldes001,ANA,2024-09-13,2.0,6,4,4,5,0,0,1,0,-6.0,0.0,1.0,HOU,1.0,1.0
alexs001,OAK,2024-06-25,0.2,0,0,0,1,0,0,0,0,2.0,0.0,,ANA,0.0,0.0
alexs001,OAK,2024-07-25,0.1,0,0,0,0,1,0,0,0,4.0,0.0,,ANA,0.0,0.0
alexs001,OAK,2024-07-28,1.1,2,0,0,0,2,0,0,0,10.0,0.0,,ANA,0.0,0.0
allel003,CLE,2024-05-24,5.2,7,3,3,2,7,1,0,0,35.0,0.0,1.0,ANA,0.0,2.0
alvaj004,PHI,2024-04-30,1.0,1,0,0,0,1,1,0,0,12.0,0.0,,ANA,0.0,0.0
alvaj004,PHI,2024-05-01,1.0,3,0,0,0,0,0,0,0,3.0,0.0,,ANA,0.0,0.0
andec001,BOS,2024-04-07,3.0,4,2,2,1,1,0,0,0,6.0,0.0,,ANA,0.0,1.0
andej005,CHA,2024-09-16,1.0,0,0,0,0,2,0,0,0,9.0,0.0,,ANA,0.0,0.0
andej005,CHA,2024-09-18,0.2,1,1,1,1,1,0,0,0,2.0,0.0,,ANA,0.0,0.0
anden001,KCA,2024-05-11,0.2,2,2,2,1,0,0,0,0,-4.0,0.0,,ANA,0.0,0.0
andet002,ANA,2024-04-08,7.0,4,0,0,1,3,1,0,1,40.0,0.0,1.0,TBA,1.0,0.0
andet002,ANA,2024-04-24,5.0,4,2,2,4,7,0,1,0,30.0,0.0,1.0,BAL,1.0,1.0
andet002,ANA,2024-04-30,6.0,5,3,3,2,6,0,0,1,31.0,0.0,1.0,PHI,1.0,1.0
andet002,ANA,2024-05-11,6.2,7,3,3,1,4,1,0,1,33.0,0.0,1.0,KCA,1.0,0.0
andet002,ANA,2024-05-29,5.0,4,1,1,6,4,0,1,0,24.0,0.0,1.0,NYA,1.0,1.0
andet002,ANA,2024-06-03,6.2,5,1,1,3,2,0,0,1,27.0,0.0,1.0,SDN,1.0,1.0
andet002,ANA,2024-06-08,6.0,7,4,4,1,3,0,1,0,15.0,0.0,1.0,HOU,1.0,1.0
andet002,ANA,2024-06-19,7.0,4,1,1,3,5,0,1,1,37.0,0.0,1.0,MIL,1.0,0.0
andet002,ANA,2024-06-25,5.0,5,3,3,5,2,1,0,0,18.0,0.0,1.0,OAK,1.0,1.0
andet002,ANA,2024-06-30,4.2,7,6,6,1,2,0,1,0,2.0,0.0,1.0,DET,1.0,1.0
andet002,ANA,2024-07-12,6.0,6,4,4,0,4,0,0,0,18.0,0.0,1.0,SEA,1.0,2.0
andet002,ANA,2024-07-27,7.0,6,3,3,1,10,0,1,1,46.0,0.0,1.0,OAK,1.0,1.0
andet002,ANA,2024-08-02,5.0,8,3,3,2,3,0,1,0,15.0,0.0,1.0,NYN,1.0,1.0
andet002,ANA,2024-08-14,5.2,6,7,7,4,8,0,1,0,20.0,0.0,1.0,TOR,1.0,2.0
andet002,ANA,2024-08-31,4.0,6,4,4,3,3,0,0,0,9.0,0.0,1.0,SEA,1.0,2.0
andet002,ANA,2024-09-14,5.0,7,4,4,3,4,0,1,0,15.0,0.0,1.0,HOU,1.0,1.0
avilp001,CLE,2024-05-24,2.0,2,1,1,0,2,0,0,0,9.0,0.0,,ANA,0.0,1.0
barls001,CLE,2024-05-26,0.1,2,0,0,0,1,0,0,0,4.0,0.0,,ANA,0.0,0.0
baumm001,BAL,2024-04-22,0.1,2,2,2,1,1,0,0,0,-2.0,0.0,,ANA,0.0,1.0
baumm001,SEA,2024-07-11,1.0,1,0,0,1,0,0,0,0,3.0,0.0,,ANA,0.0,0.0
baumm001,ANA,2024-07-31,1.0,1,0,0,0,1,0,0,0,6.0,0.0,,COL,1.0,0.0
baumm001,ANA,2024-08-02,1.0,3,2,1,0,2,0,0,0,6.0,0.0,,NYN,1.0,0.0
baumm001,ANA,2024-08-04,1.0,1,0,0,0,1,0,0,0,6.0,0.0,,NYN,1.0,0.0
baumm001,ANA,2024-08-12,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,TOR,1.0,0.0
baumm001,ANA,2024-08-14,0.1,0,0,0,0,1,0,0,0,4.0,0.0,,TOR,1.0,0.0
baumm001,ANA,2024-08-17,1.2,2,2,2,1,1,0,0,0,2.0,0.0,,ATL,1.0,1.0
bazae001,SEA,2024-07-11,2.0,0,0,0,1,3,0,0,0,15.0,0.0,,ANA,0.0,0.0
bazae001,SEA,2024-09-01,1.0,0,0,0,0,2,0,0,0,9.0,0.0,,ANA,0.0,0.0
berrj001,TOR,2024-08-14,7.0,2,1,1,1,5,1,0,1,43.0,0.0,1.0,ANA,0.0,1.0
berrp001,CHA,2024-09-18,2.0,2,0,0,0,4,0,0,0,18.0,0.0,,ANA,0.0,0.0
bibet001,CLE,2024-05-25,6.0,6,3,3,1,6,1,0,1,37.0,0.0,1.0,ANA,0.0,1.0
bidoo001,OAK,2024-07-28,3.2,6,7,7,4,6,0,1,0,8.0,0.0,1.0,ANA,0.0,1.0
birdj001,COL,2024-07-30,1.0,2,1,1,0,1,0,1,0,3.0,0.0,,ANA,0.0,1.0
blacp001,OAK,2024-07-26,5.0,5,4,4,1,2,1,0,0,15.0,0.0,1.0,ANA,0.0,2.0
blacp001,NYN,2024-08-02,6.0,6,1,1,2,6,1,0,1,43.0,,1.0,ANA,0.0,0.0
blanr001,HOU,2024-09-15,6.0,4,0,0,2,5,1,0,1,43.0,0.0,1.0,ANA,0.0,0.0
bowmm001,MIN,2024-04-26,1.1,1,1,1,3,2,0,0,0,7.0,0.0,,ANA,0.0,0.0
brasr001,LAN,2024-09-03,1.0,0,0,0,0,0,0,0,0,3.0,0.0,,ANA,0.0,0.0
brazh001,NYN,2024-08-03,0.2,3,3,3,1,2,0,1,0,-1.0,,,ANA,0.0,1.0
brieb001,DET,2024-06-27,1.1,1,0,0,0,2,0,0,0,10.0,0.0,,ANA,0.0,0.0
brieb001,DET,2024-06-29,0.2,2,2,2,1,0,0,0,0,-4.0,0.0,,ANA,0.0,0.0
britj003,SDN,2024-06-05,0.2,0,0,0,0,1,0,0,0,5.0,0.0,,ANA,0.0,0.0
brooa001,OAK,2024-06-24,5.0,4,1,1,2,2,0,0,0,18.0,0.0,,ANA,0.0,0.0
browh001,HOU,2024-06-08,6.0,2,0,0,4,7,1,0,1,49.0,0.0,1.0,ANA,0.0,0.0
buehw001,LAN,2024-09-03,5.0,5,2,2,2,6,0,0,0,27.0,0.0,1.0,ANA,0.0,2.0
burkb001,ANA,2024-08-16,1.2,0,0,0,2,2,1,0,0,17.0,0.0,,ATL,1.0,0.0
burkb001,ANA,2024-08-18,1.0,0,0,0,0,2,0,0,0,9.0,0.0,,ATL,1.0,0.0
burkb001,ANA,2024-08-31,1.0,1,0,0,0,2,0,0,0,9.0,0.0,,SEA,1.0,0.0
burkb001,ANA,2024-09-01,1.0,1,0,0,1,1,0,0,0,6.0,0.0,,SEA,1.0,0.0
burkb001,ANA,2024-09-03,0.1,1,0,0,0,1,0,0,0,4.0,0.0,,LAN,1.0,0.0
burkb001,ANA,2024-09-13,1.0,2,1,1,1,0,0,0,0,0.0,0.0,,HOU,1.0,1.0
burkb001,ANA,2024-09-17,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,CHA,1.0,0.0
burkb001,ANA,2024-09-18,1.0,0,0,0,2,0,0,0,0,3.0,0.0,,CHA,1.0,0.0
burkb001,ANA,2024-09-28,1.0,3,2,2,0,2,0,0,0,3.0,0.0,,TEX,1.0,0.0
burrr002,TOR,2024-08-13,1.0,0,0,0,0,3,0,0,0,12.0,0.0,,ANA,0.0,0.0
buttj001,NYN,2024-08-02,2.0,0,0,0,0,3,0,0,0,15.0,,,ANA,0.0,0.0
cabrg001,TOR,2024-08-12,0.1,0,0,0,0,0,0,0,0,1.0,0.0,,ANA,0.0,0.0
campi001,BOS,2024-04-05,1.0,0,0,0,0,0,0,0,0,3.0,0.0,,ANA,0.0,0.0
campi001,BOS,2024-04-06,0.1,1,0,0,1,0,0,0,0,1.0,0.0,,ANA,0.0,0.0
canng001,ANA,2024-04-05,4.2,5,4,4,3,4,0,0,0,14.0,0.0,1.0,BOS,1.0,3.0
canng001,ANA,2024-04-23,5.0,5,3,3,2,4,1,0,0,24.0,0.0,1.0,BAL,1.0,0.0
canng001,ANA,2024-04-29,5.0,3,4,4,5,1,0,0,0,6.0,0.0,1.0,PHI,1.0,0.0
canng001,ANA,2024-05-10,5.2,3,0,0,2,3,0,0,0,26.0,0.0,1.0,KCA,1.0,0.0
canng001,ANA,2024-05-15,6.0,5,1,1,3,5,1,0,1,40.0,0.0,1.0,SLN,1.0,1.0
canng001,ANA,2024-05-28,5.0,9,3,3,2,5,0,0,0,21.0,0.0,1.0,NYA,1.0,1.0
canng001,ANA,2024-06-07,6.1,7,3,3,2,2,0,1,1,20.0,0.0,1.0,HOU,1.0,0.0
canng001,ANA,2024-06-18,5.0,8,6,4,2,4,0,1,0,15.0,0.0,1.0,MIL,1.0,1.0
canng001,ANA,2024-06-24,7.0,5,1,1,1,5,1,0,1,43.0,0.0,1.0,OAK,1.0,1.0
canng001,ANA,2024-06-29,6.0,6,5,4,2,4,0,0,0,18.0,0.0,1.0,DET,1.0,1.0
canng001,ANA,2024-07-10,4.1,7,2,2,2,3,0,0,0,16.0,0.0,1.0,TEX,1.0,1.0
canng001,ANA,2024-07-30,6.0,6,6,6,2,6,0,0,0,18.0,0.0,1.0,COL,1.0,1.0
canng001,ANA,2024-08-04,5.0,3,2,1,4,8,1,0,0,42.0,0.0,1.0,NYN,1.0,0.0
canng001,ANA,2024-08-17,4.1,8,7,7,1,3,0,1,0,1.0,0.0,1.0,ATL,1.0,2.0
canng001,ANA,2024-09-04,6.2,4,1,1,4,7,1,0,1,48.0,0.0,1.0,LAN,1.0,0.0
canng001,ANA,2024-09-17,6.0,3,0,0,2,6,1,0,1,46.0,0.0,1.0,CHA,1.0,0.0
