date,game,retro_id,home,order,starter,team,opp,PA,AB,SAC,HBP,BB,S,D,T,HR,TB,H,SO,RBI,R,CS,SB,fanduel_pts
2025-03-18,0,amaym001,1.0,8.0,1,CHN,LAN,3,3,0,0,0,0,1,0,0,2,1,1,1,0,0,0,9.5
2025-03-18,0,bertj001,1.0,9.0,1,CHN,LAN,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,9.0
2025-03-18,0,buscm003,1.0,4.0,1,CHN,LAN,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025-03-18,0,confm001,0.0,7.0,1,LAN,CHN,4,4,0,0,0,0,1,0,0,2,1,1,0,0,0,0,6.0
2025-03-18,0,crowp001,1.0,7.0,1,CHN,LAN,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2025-03-18,0,edmat001,0.0,2.0,1,LAN,CHN,5,5,0,0,0,1,0,0,0,1,1,0,1,0,0,0,6.5
2025-03-18,0,happi001,1.0,1.0,1,CHN,LAN,4,3,0,0,1,1,0,0,0,1,1,2,0,0,0,0,6.0
2025-03-18,0,herne001,0.0,6.0,1,LAN,CHN,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2025-03-18,0,hernt002,0.0,3.0,1,LAN,CHN,5,4,0,0,1,1,0,0,0,1,1,1,1,1,0,0,12.7
2025-03-18,0,muncm001,0.0,5.0,1,LAN,CHN,5,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,6.0
2025-03-18,0,ohtas001,0.0,1.0,1,LAN,CHN,5,5,0,0,0,1,1,0,0,3,2,1,0,2,0,0,15.4
2025-03-18,0,pagea001,0.0,9.0,1,LAN,CHN,4,2,0,0,2,0,0,0,0,0,0,2,0,1,0,0,9.2
2025-03-18,0,rojam002,0.0,8.0,1,LAN,CHN,4,3,1,0,0,1,0,0,0,1,1,1,0,0,0,0,3.0
2025-03-18,0,shawm002,1.0,5.0,1,CHN,LAN,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0
2025-03-18,0,smitw003,0.0,4.0,1,LAN,CHN,5,2,0,0,3,1,0,0,0,1,1,0,1,0,0,0,15.5
2025-03-18,0,suzus001,1.0,2.0,1,CHN,LAN,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2025-03-18,0,swand001,1.0,6.0,1,CHN,LAN,3,3,0,0,0,1,0,0,0,1,1,1,0,1,0,0,6.2
2025-03-18,0,tuckk001,1.0,3.0,1,CHN,LAN,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025-03-18,0,turnj001,,,0,CHN,LAN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025-03-19,0,bertj001,1.0,9.0,1,CHN,LAN,4,4,0,0,0,3,0,0,0,3,3,0,0,1,0,1,18.2
2025-03-19,0,buscm003,1.0,4.0,1,CHN,LAN,4,3,0,0,1,0,0,0,0,0,0,3,0,0,0,1,9.0
2025-03-19,0,confm001,0.0,7.0,1,LAN,CHN,4,3,0,0,1,1,0,0,0,1,1,1,0,0,0,0,6.0
2025-03-19,0,crowp001,1.0,7.0,1,CHN,LAN,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0
2025-03-19,0,edmat001,0.0,2.0,1,LAN,CHN,5,5,0,0,0,0,0,0,1,4,1,2,1,1,0,0,18.7
2025-03-19,0,happi001,1.0,1.0,1,CHN,LAN,5,4,0,0,1,1,0,0,0,1,1,1,1,0,0,0,9.5
2025-03-19,0,herne001,0.0,6.0,1,LAN,CHN,4,3,1,0,0,0,0,0,1,4,1,1,3,1,0,0,25.7
2025-03-19,0,hernt002,0.0,3.0,1,LAN,CHN,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2025-03-19,0,kellc002,1.0,8.0,1,CHN,LAN,4,3,0,0,1,1,0,0,0,1,1,0,0,1,0,0,9.2
2025-03-19,0,muncm001,0.0,5.0,1,LAN,CHN,4,4,0,0,0,0,1,0,0,2,1,1,0,1,0,0,9.2
2025-03-19,0,ohtas001,0.0,1.0,1,LAN,CHN,5,3,0,0,2,0,0,0,1,4,1,0,1,1,0,0,24.7
2025-03-19,0,pagea001,0.0,9.0,1,LAN,CHN,4,3,0,0,1,0,1,0,0,2,1,2,0,0,0,0,9.0
2025-03-19,0,rojam002,0.0,8.0,1,LAN,CHN,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0
2025-03-19,0,shawm002,1.0,5.0,1,CHN,LAN,5,5,0,0,0,1,0,0,0,1,1,2,0,1,0,0,6.2
2025-03-19,0,smitw003,0.0,4.0,1,LAN,CHN,4,2,0,0,2,0,1,0,0,2,1,0,0,2,0,0,18.4
2025-03-19,0,suzus001,1.0,2.0,1,CHN,LAN,5,4,0,0,1,0,0,0,0,0,0,3,0,0,0,0,3.0
2025-03-19,0,swand001,1.0,6.0,1,CHN,LAN,4,3,0,0,1,0,1,0,0,2,1,1,1,0,0,0,12.5
2025-03-19,0,tuckk001,1.0,3.0,1,CHN,LAN,5,4,0,0,1,0,1,0,0,2,1,0,1,0,0,0,12.5
2025-03-19,0,turnj001,,,0,CHN,LAN,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
2025-03-27,0,abrac001,1.0,1.0,1,WAS,PHI,5,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3.5
2025-03-27,0,abrew002,0.0,7.0,1,BOS,TEX,4,3,0,0,1,1,0,0,2,9,3,0,4,3,0,0,53.6
2025-03-27,0,acunl001,0.0,8.0,1,NYN,HOU,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0
2025-03-27,0,adamw002,0.0,2.0,1,SFN,CIN,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0
2025-03-27,0,adelj001,0.0,8.0,1,ANA,CHA,3,3,0,0,0,1,0,0,0,1,1,1,0,0,0,0,3.0
2025-03-27,0,albio001,0.0,5.0,1,ATL,SDN,5,5,0,0,0,0,0,0,1,4,1,0,3,1,0,0,25.7
2025-03-27,0,alonp001,0.0,3.0,1,NYN,HOU,4,2,0,0,2,1,0,0,0,1,1,0,0,0,0,0,9.0
2025-03-27,0,altuj001,1.0,1.0,1,HOU,NYN,4,4,0,0,0,1,0,0,0,1,1,3,0,0,0,0,3.0
2025-03-27,0,alvay001,1.0,3.0,1,HOU,NYN,4,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,6.0
2025-03-27,0,amayj001,1.0,8.0,1,CHA,ANA,4,4,0,0,0,1,0,0,0,1,1,1,0,1,0,0,6.2
2025-03-27,0,amaym001,0.0,9.0,1,CHN,ARI,5,5,0,0,0,0,2,0,0,4,2,1,5,0,0,0,29.5
2025-03-27,0,andet001,0.0,5.0,1,ANA,CHA,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0
2025-03-27,0,andum001,0.0,5.0,1,ATH,SEA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025-03-27,0,arcio002,0.0,8.0,1,ATL,SDN,4,4,0,0,0,1,0,0,0,1,1,2,0,0,0,0,3.0
2025-03-27,0,arenn001,1.0,4.0,1,SLN,MIN,4,4,0,0,0,1,0,0,1,5,2,0,1,1,0,0,21.7
2025-03-27,0,ariag002,0.0,8.0,1,CLE,KCA,4,4,0,0,0,0,1,0,0,2,1,1,0,1,0,0,9.2
2025-03-27,0,arozr001,1.0,4.0,1,SEA,ATH,4,3,0,0,1,0,0,0,1,4,1,1,1,1,0,0,21.7
2025-03-27,0,arral001,1.0,2.0,1,SDN,ATL,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3.5
2025-03-27,0,badeh001,0.0,9.0,1,MIN,SLN,4,4,0,0,0,0,1,0,1,6,2,0,2,1,0,0,28.2
2025-03-27,0,baezj001,0.0,7.0,1,DET,LAN,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025-03-27,0,bailp001,0.0,6.0,1,SFN,CIN,4,4,0,0,0,1,0,0,0,1,1,2,1,1,0,0,9.7
2025-03-27,0,baldd001,0.0,7.0,1,ATL,SDN,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0
2025-03-27,0,bartj003,0.0,4.0,1,PIT,MIA,5,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.2
2025-03-27,0,bauej001,,,0,MIL,NYA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9.0
2025-03-27,0,bellc002,1.0,3.0,1,NYA,MIL,4,2,1,0,1,1,0,0,0,1,1,1,1,0,0,0,9.5
2025-03-27,0,bellj005,1.0,4.0,1,WAS,PHI,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2025-03-27,0,benia002,1.0,3.0,1,CHA,ANA,4,4,0,0,0,0,0,0,1,4,1,2,3,1,0,0,25.7
2025-03-27,0,bettm001,1.0,2.0,1,LAN,DET,4,3,0,0,1,1,0,0,0,1,1,0,0,1,0,0,9.2
2025-03-27,0,bichb001,1.0,1.0,1,TOR,BAL,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025-03-27,0,biggc002,1.0,8.0,1,KCA,CLE,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
2025-03-27,0,bledj001,0.0,3.0,1,ATH,SEA,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025-03-27,0,blisr001,1.0,8.0,1,SEA,ATH,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,12.0
2025-03-27,0,bogax001,1.0,4.0,1,SDN,ATL,4,3,0,0,1,1,0,0,0,1,1,1,0,0,0,1,12.0
2025-03-27,0,bohma001,0.0,3.0,1,PHI,WAS,5,5,0,0,0,1,1,0,0,3,2,2,2,1,0,0,19.2
2025-03-27,0,brega001,0.0,3.0,1,BOS,TEX,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2025-03-27,0,bridj001,1.0,3.0,1,MIA,PIT,4,3,0,0,1,1,0,0,0,1,1,0,0,0,0,0,6.0
2025-03-27,0,burgj001,1.0,5.0,1,TEX,BOS,4,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.2
2025-03-27,0,burla001,1.0,5.0,1,SLN,MIN,4,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3.0
