date,game,retro_id,home,order,starter,team,opp,PA,AB,SAC,HBP,BB,S,D,T,HR,TB,H,SO,RBI,R,CS,SB,fanduel_pts
2024-03-20,0,bettm001,0.0,1.0,1,LAN,SDN,5,4,0,0,1,2,0,0,0,2,2,0,1,0,0,0,12.5
2024-03-20,0,bogax001,1.0,1.0,1,SDN,LAN,4,4,0,0,0,2,0,0,0,2,2,0,1,0,0,0,9.5
2024-03-20,0,campl002,1.0,7.0,1,SDN,LAN,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-03-20,0,cronj001,1.0,3.0,1,SDN,LAN,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0
2024-03-20,0,freef001,0.0,3.0,1,LAN,SDN,5,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,9.0
2024-03-20,0,herne001,,,0,LAN,SDN,3,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,6.5
2024-03-20,0,hernt002,0.0,6.0,1,LAN,SDN,5,5,0,0,0,1,0,0,0,1,1,2,0,2,0,0,9.4
2024-03-20,0,heywj001,0.0,8.0,1,LAN,SDN,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.5
2024-03-20,0,kim-h002,1.0,5.0,1,SDN,LAN,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
2024-03-20,0,lux-g001,0.0,9.0,1,LAN,SDN,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.2
2024-03-20,0,machm001,1.0,4.0,1,SDN,LAN,4,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.2
2024-03-20,0,merrj002,1.0,9.0,1,SDN,LAN,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-03-20,0,muncm001,0.0,5.0,1,LAN,SDN,5,3,0,0,2,1,0,0,0,1,1,2,0,1,0,0,12.2
2024-03-20,0,ohtas001,0.0,2.0,1,LAN,SDN,5,5,0,0,0,2,0,0,0,2,2,0,1,0,0,1,15.5
2024-03-20,0,outmj002,0.0,7.0,1,LAN,SDN,5,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,9.2
2024-03-20,0,paulg001,,,0,SDN,LAN,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2024-03-20,0,profj001,1.0,6.0,1,SDN,LAN,3,2,0,0,1,1,0,0,0,1,1,1,0,0,0,0,6.0
2024-03-20,0,smitw003,0.0,4.0,1,LAN,SDN,5,4,0,0,1,1,0,0,0,1,1,1,0,0,0,0,6.0
2024-03-20,0,tatif002,1.0,2.0,1,SDN,LAN,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2024-03-20,0,wadet002,1.0,8.0,1,SDN,LAN,3,2,0,0,1,1,0,0,0,1,1,1,0,1,0,0,9.2
2024-03-21,0,azocj001,,,0,SDN,LAN,2,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3.0
2024-03-21,0,bettm001,1.0,1.0,1,LAN,SDN,6,5,0,0,1,2,1,0,1,8,4,0,6,2,0,0,54.4
2024-03-21,0,bogax001,0.0,1.0,1,SDN,LAN,6,5,0,0,1,2,0,0,0,2,2,2,2,3,0,0,25.6
2024-03-21,0,campl002,0.0,7.0,1,SDN,LAN,6,6,0,0,0,1,2,0,0,5,3,0,2,2,0,0,28.4
2024-03-21,0,cronj001,0.0,3.0,1,SDN,LAN,6,4,1,1,0,3,0,1,0,6,4,0,4,2,0,0,41.4
2024-03-21,0,freef001,1.0,3.0,1,LAN,SDN,6,4,0,0,2,1,0,0,0,1,1,2,0,0,0,0,9.0
2024-03-21,0,hernt002,1.0,6.0,1,LAN,SDN,5,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,6.0
2024-03-21,0,heywj001,1.0,8.0,1,LAN,SDN,5,5,0,0,0,2,0,0,0,2,2,0,1,3,0,0,19.1
2024-03-21,0,kim-h002,0.0,5.0,1,SDN,LAN,6,4,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12.5
2024-03-21,0,lux-g001,1.0,9.0,1,LAN,SDN,5,5,0,0,0,2,0,0,0,2,2,1,0,2,0,0,12.4
2024-03-21,0,machm001,0.0,4.0,1,SDN,LAN,6,4,0,0,2,0,0,0,1,4,1,1,3,2,0,0,34.9
2024-03-21,0,merrj002,0.0,9.0,1,SDN,LAN,5,5,0,0,0,1,1,0,0,3,2,3,0,2,0,0,15.4
2024-03-21,0,muncm001,1.0,5.0,1,LAN,SDN,6,5,1,0,0,1,1,0,0,3,2,3,0,1,0,0,12.2
2024-03-21,0,ohtas001,1.0,2.0,1,LAN,SDN,6,5,1,0,0,1,0,0,0,1,1,0,1,1,0,0,9.7
2024-03-21,0,outmj002,1.0,7.0,1,LAN,SDN,5,3,0,1,1,0,0,0,0,0,0,0,1,1,0,0,12.7
2024-03-21,0,profj001,0.0,6.0,1,SDN,LAN,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0
2024-03-21,0,rosae002,,,0,SDN,LAN,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2024-03-21,0,smitw003,1.0,4.0,1,LAN,SDN,6,6,0,0,0,3,1,0,0,5,4,1,2,1,0,0,25.2
2024-03-21,0,tatif002,0.0,2.0,1,SDN,LAN,6,4,0,1,1,3,0,0,0,3,3,0,1,2,0,0,24.9
