date,game,retro_id,home,order,starter,team,opp,PA,AB,SAC,HBP,BB,S,D,T,HR,TB,H,SO,RBI,R,CS,SB,fanduel_pts
2021-04-01,0,abrej003,0.0,3.0,1,CHA,ANA,4,4,0,0,0,1,0,0,0,1,1,2,0,0,0,0,3.0
2021-04-01,0,acunr001,0.0,1.0,1,ATL,PHI,5,4,0,0,1,1,1,0,0,3,2,1,0,0,0,0,12.0
2021-04-01,0,adamw002,0.0,7.0,1,TBA,MIA,4,4,0,0,0,1,0,0,0,1,1,2,0,0,0,0,3.0
2021-04-01,0,adrie001,,,0,ATL,PHI,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-04-01,0,aguij001,1.0,3.0,1,MIA,TBA,4,4,0,0,0,2,0,0,0,2,2,0,0,0,0,0,6.0
2021-04-01,0,albeh001,,,0,KCA,TEX,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-04-01,0,albio001,0.0,2.0,1,ATL,PHI,5,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2021-04-01,0,alcas001,1.0,9.0,1,MIA,TBA,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2021-04-01,0,alfaj002,1.0,7.0,1,MIA,TBA,3,3,0,0,0,1,0,0,0,1,1,1,0,0,0,1,9.0
2021-04-01,0,alfoa002,0.0,8.0,1,PIT,CHN,5,3,0,0,2,0,0,0,0,0,0,3,0,1,1,1,15.2
2021-04-01,0,altuj001,0.0,1.0,1,HOU,OAK,5,4,0,0,1,1,0,0,0,1,1,0,0,2,0,0,12.4
2021-04-01,0,alvay001,0.0,6.0,1,HOU,OAK,5,3,1,1,0,0,1,0,0,2,1,0,3,0,0,0,19.5
2021-04-01,0,andeb006,1.0,5.0,1,MIA,TBA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-04-01,0,andet001,0.0,1.0,1,CHA,ANA,4,4,0,0,0,1,0,0,0,1,1,2,0,1,0,0,6.2
2021-04-01,0,andre001,1.0,9.0,1,OAK,HOU,3,3,0,0,0,0,1,0,0,2,1,1,0,0,0,0,6.0
2021-04-01,0,aquia001,,,0,CIN,SLN,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2021-04-01,0,arcio002,,,0,MIL,MIN,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.5
2021-04-01,0,arenn001,0.0,3.0,1,SLN,CIN,5,5,0,0,0,2,0,0,0,2,2,2,1,1,0,0,12.7
2021-04-01,0,arozr001,0.0,3.0,1,TBA,MIA,4,4,0,0,0,1,0,0,0,1,1,1,0,0,0,0,3.0
2021-04-01,0,arral001,0.0,1.0,1,MIN,MIL,6,5,0,0,1,2,0,0,0,2,2,1,1,0,0,0,12.5
2021-04-01,0,astuw001,,,0,MIN,MIL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2021-04-01,0,baezj001,1.0,6.0,1,CHN,PIT,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0
2021-04-01,0,barna001,0.0,8.0,1,LAN,COL,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6.0
2021-04-01,0,barnt001,1.0,8.0,1,CIN,SLN,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.2
2021-04-01,0,bauej001,,,0,CLE,DET,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-04-01,0,beatm001,,,0,LAN,COL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2021-04-01,0,bellc002,0.0,4.0,1,LAN,COL,5,4,0,0,1,1,1,0,0,3,2,0,1,1,0,0,18.7
2021-04-01,0,beltb001,0.0,5.0,1,SFN,SEA,5,3,1,0,1,1,0,0,0,1,1,0,1,0,0,0,9.5
2021-04-01,0,benia002,1.0,2.0,1,KCA,TEX,6,5,0,0,1,1,0,0,0,1,1,2,0,2,0,0,12.4
2021-04-01,0,bettm001,0.0,1.0,1,LAN,COL,6,6,0,0,0,1,1,0,0,3,2,1,0,1,0,0,12.2
2021-04-01,0,bichb001,0.0,3.0,1,TOR,NYA,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0
2021-04-01,0,biggc002,0.0,2.0,1,TOR,NYA,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0
2021-04-01,0,blacc001,1.0,4.0,1,COL,LAN,4,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,6.2
2021-04-01,0,blana002,,,0,CIN,SLN,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2021-04-01,0,bohma001,1.0,5.0,1,PHI,ATL,5,3,1,0,1,0,0,0,0,0,0,1,1,0,0,0,6.5
2021-04-01,0,boted002,1.0,8.0,1,CHN,PIT,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0
2021-04-01,0,bradj001,,,0,MIL,MIN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-04-01,0,branm003,0.0,2.0,1,HOU,OAK,5,4,0,0,1,1,1,0,1,7,3,0,1,2,0,0,33.9
2021-04-01,0,brega001,0.0,3.0,1,HOU,OAK,5,4,0,0,1,0,1,0,1,6,2,0,2,2,0,0,34.4
2021-04-01,0,brucj001,1.0,8.0,1,NYA,TOR,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0
2021-04-01,0,bryak001,1.0,4.0,1,CHN,PIT,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0
2021-04-01,0,bumgm001,0.0,9.0,1,ARI,SDN,2,2,0,0,0,0,1,0,0,2,1,1,0,0,0,0,6.0
2021-04-01,0,buxtb001,0.0,6.0,1,MIN,MIL,5,3,0,0,2,0,0,0,1,4,1,2,2,1,0,1,34.2
2021-04-01,0,cabra002,0.0,5.0,1,ARI,SDN,5,5,0,0,0,1,0,0,1,5,2,1,3,1,0,0,28.7
2021-04-01,0,cabrm001,1.0,4.0,1,DET,CLE,4,4,0,0,0,0,0,0,1,4,1,0,2,1,0,0,22.2
2021-04-01,0,cainl001,1.0,6.0,1,MIL,MIN,5,5,0,0,0,1,0,0,0,1,1,1,0,0,0,0,3.0
2021-04-01,0,candj002,1.0,2.0,1,DET,CLE,4,4,0,0,0,1,0,0,0,1,1,3,0,1,0,0,6.2
2021-04-01,0,canhm001,1.0,1.0,1,OAK,HOU,4,4,0,0,0,1,0,0,0,1,1,1,0,0,0,0,3.0
2021-04-01,0,carav001,1.0,8.0,1,SDN,ARI,4,4,0,0,0,2,0,0,0,2,2,1,3,0,0,0,16.5
2021-04-01,0,carld002,0.0,7.0,1,SLN,CIN,4,3,0,0,1,0,0,0,1,4,1,2,3,1,0,0,28.7
2021-04-01,0,carpm002,,,0,SLN,CIN,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2021-04-01,0,castl003,1.0,9.0,1,CIN,SLN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-04-01,0,castn001,1.0,2.0,1,CIN,SLN,5,5,0,0,0,1,1,0,1,7,3,0,2,2,0,0,34.4
2021-04-01,0,castw003,1.0,3.0,1,DET,CLE,4,4,0,0,0,1,0,0,0,1,1,1,0,0,0,0,3.0
2021-04-01,0,cavej001,,,0,MIN,MIL,5,4,0,0,1,0,0,0,0,0,0,3,0,1,0,0,6.2
2021-04-01,0,chany001,0.0,7.0,1,CLE,DET,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-04-01,0,chapm001,1.0,4.0,1,OAK,HOU,4,3,1,0,0,0,0,0,0,0,0,2,1,0,0,0,3.5
2021-04-01,0,chisj001,1.0,6.0,1,MIA,TBA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-04-01,0,collz001,0.0,8.0,1,CHA,ANA,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-04-01,0,contw001,1.0,2.0,1,CHN,PIT,4,3,1,0,0,0,0,0,0,0,0,1,1,2,0,1,15.9
2021-04-01,0,coopg002,,,0,MIA,TBA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
2021-04-01,0,corrc001,0.0,5.0,1,HOU,OAK,5,3,0,1,1,1,0,0,0,1,1,0,0,0,0,0,9.0
2021-04-01,0,crawb001,0.0,8.0,1,SFN,SEA,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-04-01,0,crawj002,1.0,9.0,1,SEA,SFN,4,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,6.2
2021-04-01,0,cronc002,1.0,5.0,1,COL,LAN,4,4,0,0,0,1,1,0,0,3,2,0,0,2,0,0,15.4
2021-04-01,0,cronj001,1.0,6.0,1,SDN,ARI,4,2,0,0,2,1,0,1,0,4,2,0,0,3,0,0,27.6
2021-04-01,0,cruzn002,,,0,MIN,MIL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2021-04-01,0,dahld001,0.0,2.0,1,TEX,KCA,6,5,0,0,1,2,1,0,0,4,3,2,0,2,0,0,21.4
2021-04-01,0,darnt001,0.0,5.0,1,ATL,PHI,4,4,0,0,0,1,0,0,0,1,1,2,0,0,0,0,3.0
2021-04-01,0,darvy001,1.0,9.0,1,SDN,ARI,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0
2021-04-01,0,dazay001,,,0,COL,LAN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-04-01,0,dejop001,0.0,4.0,1,SLN,CIN,5,5,0,0,0,1,0,0,0,1,1,1,1,1,0,0,9.7
2021-04-01,0,diaze005,1.0,6.0,1,COL,LAN,4,4,0,0,0,1,0,0,0,1,1,2,0,0,0,0,3.0
2021-04-01,0,diazy001,0.0,5.0,1,TBA,MIA,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0
2021-04-01,0,dicka001,,,0,SFN,SEA,1,1,0,0,0,0,0,0,1,4,1,0,1,1,0,0,18.7
2021-04-01,0,dickc002,1.0,1.0,1,MIA,TBA,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-04-01,0,donaj001,0.0,2.0,1,MIN,MIL,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,6.0
2021-04-01,0,dozih001,1.0,6.0,1,KCA,TEX,5,4,0,0,1,0,0,0,0,0,0,2,1,1,0,0,9.7
2021-04-01,0,dubom001,0.0,9.0,1,SFN,SEA,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-04-01,0,duffm002,,,0,CHN,PIT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-04-01,0,duvaa001,1.0,4.0,1,MIA,TBA,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2021-04-01,0,eatoa002,0.0,2.0,1,CHA,ANA,4,4,0,0,0,0,0,0,1,4,1,1,2,1,0,0,22.2
2021-04-01,0,edmat001,0.0,1.0,1,SLN,CIN,5,5,0,0,0,1,0,0,0,1,1,0,0,1,0,0,6.2
2021-04-01,0,escoe001,0.0,6.0,1,ARI,SDN,4,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3.2
2021-04-01,0,evanp001,,,0,PIT,CHN,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
2021-04-01,0,farmk001,,,0,CIN,SLN,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2021-04-01,0,flahj002,0.0,9.0,1,SLN,CIN,3,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,9.2
2021-04-01,0,fletd002,1.0,1.0,1,ANA,CHA,4,4,0,0,0,1,0,0,0,1,1,2,0,1,0,0,6.2
2021-04-01,0,florw001,0.0,6.0,1,SFN,SEA,5,5,0,0,0,0,2,0,0,4,2,0,1,1,0,0,18.7
2021-04-01,0,fowld001,1.0,9.0,1,ANA,CHA,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0
2021-04-01,0,fowld002,,,0,PIT,CHN,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,9.0
