player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Andrew Benintendi,Chicago White Sox,$2700,3.3,4.02,0.43,0.9,0.6,0.19,0.01,0.14,0.52,0,0,0.31,0.9,0.247,0.309,0.43,0.738,8.9,TB @ CHW
Yandy Diaz,Tampa Bay Rays,$3200,4.0,4.79,0.6,1.23,0.89,0.23,0,0.19,0.84,0.01,0.01,0.45,0.43,0.295,0.366,0.505,0.871,12.8,TB @ CHW
Mike Tauchman,Chicago White Sox,$2700,3.07,4.47,0.38,0.94,0.77,0.14,0.01,0.06,0.38,0.02,0.01,0.48,1.14,0.245,0.334,0.345,0.679,8.3,TB @ CHW
Brandon Lowe,Tampa Bay Rays,$3400,4.03,4.68,0.68,1.12,0.59,0.27,0.01,0.3,0.82,0.02,0.05,0.43,1.13,0.271,0.342,0.574,0.916,13.7,TB @ CHW
Josh Lowe,Tampa Bay Rays,$3100,3.81,4.46,0.56,1.05,0.64,0.26,0.02,0.18,0.65,0.13,0.04,0.29,0.95,0.263,0.321,0.477,0.798,11.8,TB @ CHW
Nick Fortes,Tampa Bay Rays,$2200,3.32,4.02,0.31,0.86,0.66,0.18,0.02,0.07,0.45,0,0.01,0.2,0.66,0.233,0.274,0.369,0.643,7.3,TB @ CHW
Lenyn Sosa,Chicago White Sox,$2700,3.22,4.25,0.37,0.94,0.61,0.17,0,0.2,0.5,0,0,0.14,1.21,0.235,0.262,0.434,0.696,8.7,TB @ CHW
Curtis Mead,Chicago White Sox,$2400,2.5,3.91,0.33,0.72,0.62,0.07,0.01,0.06,0.31,0.01,0.01,0.2,1,0.198,0.242,0.286,0.527,6,TB @ CHW
Dominic Fletcher,Chicago White Sox,$2200,1.68,3.58,0.17,0.57,0.42,0.17,0.01,0,0.17,0,0.01,0.05,0.91,0.169,0.185,0.236,0.42,3.7,TB @ CHW
Junior Caminero,Tampa Bay Rays,$3700,3.41,4.57,0.67,1.14,0.73,0.28,0,0.21,0.69,0.06,0.03,0.35,0.81,0.277,0.343,0.519,0.861,12.6,TB @ CHW
Jake Mangum,Tampa Bay Rays,$2800,3.21,4.35,0.5,1.14,0.93,0.23,0.03,0.02,0.33,0.1,0.03,0.23,0.57,0.29,0.342,0.398,0.74,9,TB @ CHW
Chase Meidroth,Chicago White Sox,$2300,2.74,3.69,0.29,0.79,0.65,0.15,0.03,0.01,0.22,0.05,0.05,0.31,0.8,0.24,0.311,0.328,0.639,6.3,TB @ CHW
Edgar Quero,Chicago White Sox,$2500,2.84,3.8,0.31,0.84,0.53,0.27,0,0.06,0.39,0,0.01,0.27,0.69,0.24,0.295,0.371,0.665,7.1,TB @ CHW
Chandler Simpson,Tampa Bay Rays,$3000,3.57,4.9,0.71,1.33,1.17,0.14,0.05,0.02,0.34,0.17,0.08,0.37,0.54,0.298,0.355,0.375,0.73,10.7,TB @ CHW
