player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Mike Trout,Los Angeles Angels,$3000,4.17,4.42,0.58,1.02,0.56,0.2,0.02,0.27,0.71,0.01,0.01,0.56,1.11,0.266,0.365,0.555,0.919,12.5,WSH @ LAA
Josh Bell,Washington Nationals,$2700,3.52,4.37,0.46,0.95,0.73,0.11,0.01,0.15,0.53,0.01,0,0.45,0.74,0.247,0.325,0.412,0.737,9.5,WSH @ LAA
Taylor Ward,Los Angeles Angels,$3000,3.17,4.31,0.44,0.77,0.42,0.16,0.02,0.18,0.62,0.02,0.02,0.39,0.99,0.2,0.275,0.393,0.667,9.5,WSH @ LAA
Nathaniel Lowe,Washington Nationals,$3100,3.61,4.48,0.5,0.99,0.64,0.19,0.02,0.19,0.63,0.02,0,0.56,1.1,0.257,0.354,0.486,0.84,11.2,WSH @ LAA
Luis Rengifo,Los Angeles Angels,$2400,2.79,3.87,0.39,0.78,0.61,0.12,0.04,0.05,0.26,0.06,0.03,0.19,0.6,0.217,0.261,0.323,0.584,6.7,WSH @ LAA
LaMonte Wade Jr,Los Angeles Angels,$2200,3.23,3.98,0.37,0.74,0.5,0.22,0.04,0.02,0.24,0.03,0.01,0.46,0.76,0.213,0.307,0.331,0.638,7.1,WSH @ LAA
Jo Adell,Los Angeles Angels,$3000,3.63,4.09,0.48,0.85,0.47,0.19,0.02,0.23,0.74,0.02,0.01,0.33,1.1,0.232,0.302,0.494,0.796,10.9,WSH @ LAA
Luis Garcia,Washington Nationals,$3100,3.81,4.59,0.69,1.29,0.84,0.34,0.07,0.06,0.53,0.16,0.04,0.21,0.64,0.304,0.345,0.469,0.814,11.8,WSH @ LAA
Riley Adams,Washington Nationals,$2300,3.17,4.03,0.29,0.73,0.39,0.26,0.01,0.11,0.47,0,0,0.16,1.36,0.19,0.225,0.361,0.586,7.3,WSH @ LAA
C.J. Abrams,Washington Nationals,$3500,3.74,4.81,0.76,1.22,0.73,0.33,0.05,0.15,0.58,0.16,0.04,0.34,0.95,0.281,0.341,0.495,0.836,13.1,WSH @ LAA
Logan O'Hoppe,Los Angeles Angels,$3000,3.67,4.2,0.53,1.07,0.62,0.24,0.01,0.23,0.69,0,0,0.21,1.27,0.272,0.315,0.523,0.839,11,WSH @ LAA
Zach Neto,Los Angeles Angels,$3300,3.79,4.65,0.58,1.28,0.84,0.27,0.01,0.25,0.54,0.17,0.03,0.12,1.02,0.289,0.312,0.545,0.857,12.5,WSH @ LAA
Nolan Schanuel,Los Angeles Angels,$3000,3.73,4.53,0.61,1.22,0.91,0.21,0.05,0.11,0.47,0.07,0.05,0.41,0.41,0.305,0.377,0.475,0.851,11.2,WSH @ LAA
Jacob Young,Washington Nationals,$2200,4.09,3.92,0.5,0.96,0.8,0.14,0.04,0.03,0.37,0.15,0.07,0.35,0.45,0.277,0.351,0.378,0.729,9,WSH @ LAA
James Wood,Washington Nationals,$3900,3.0,4.7,0.59,0.93,0.61,0.2,0.02,0.14,0.6,0.11,0.04,0.68,1.42,0.237,0.349,0.415,0.765,11.7,WSH @ LAA
Daylen Lile,Washington Nationals,$2400,2.92,4.14,0.38,0.82,0.59,0.21,0.01,0.05,0.32,0.02,0.02,0.25,0.9,0.217,0.272,0.329,0.601,7,WSH @ LAA
Christian Moore,Los Angeles Angels,$2400,3.58,3.76,0.38,0.79,0.47,0.15,0.03,0.2,0.44,0,0.01,0.29,1.06,0.232,0.29,0.494,0.784,8.6,WSH @ LAA
Brady House,Washington Nationals,$2600,3.23,4.26,0.45,0.95,0.77,0.13,0,0.08,0.4,0.11,0.02,0.22,0.88,0.244,0.291,0.343,0.634,8.4,WSH @ LAA
Freddie Freeman,Los Angeles Dodgers,$3700,3.24,4.51,0.75,1.11,0.73,0.31,0.03,0.13,0.64,0.02,0,0.44,0.75,0.279,0.348,0.492,0.84,12,LAD @ KC
Salvador Perez,Kansas City Royals,$2800,3.75,4.11,0.5,1.02,0.66,0.22,0.03,0.17,0.72,0,0,0.2,0.88,0.271,0.309,0.495,0.804,10.5,LAD @ KC
Miguel Rojas,Los Angeles Dodgers,$2300,3.22,3.96,0.34,1.01,0.77,0.24,0.01,0.03,0.42,0.01,0.02,0.17,0.45,0.274,0.311,0.383,0.694,7.4,LAD @ KC
Mookie Betts,Los Angeles Dodgers,$3400,3.32,4.74,0.79,1.2,0.88,0.31,0.01,0.05,0.45,0.07,0.03,0.46,0.55,0.293,0.367,0.427,0.794,11.3,LAD @ KC
Enrique Hernandez,Los Angeles Dodgers,$2500,3.4,4.07,0.43,0.84,0.61,0.13,0,0.13,0.52,0,0.01,0.33,1.11,0.228,0.298,0.373,0.67,8.5,LAD @ KC
Teoscar Hernandez,Los Angeles Dodgers,$3500,3.71,4.4,0.62,1.09,0.68,0.16,0,0.29,0.84,0.09,0.04,0.35,0.88,0.272,0.33,0.541,0.872,13,LAD @ KC
Shohei Ohtani,Los Angeles Dodgers,$4800,3.52,4.85,0.91,1.25,0.78,0.18,0.04,0.35,0.87,0.13,0.02,0.63,0.99,0.308,0.406,0.656,1.062,16.9,LAD @ KC
Will Smith,Los Angeles Dodgers,$3300,3.12,4.62,0.51,0.86,0.57,0.18,0.02,0.14,0.59,0.02,0.01,0.58,0.87,0.217,0.322,0.39,0.711,10.3,LAD @ KC
Tommy Edman,Los Angeles Dodgers,$2900,3.97,4.18,0.66,1.08,0.68,0.22,0.01,0.2,0.68,0.09,0.01,0.16,0.78,0.28,0.313,0.501,0.814,11.5,LAD @ KC
Jonathan India,Kansas City Royals,$2700,3.07,4.55,0.48,0.95,0.68,0.2,0.01,0.07,0.3,0.01,0.01,0.45,0.73,0.236,0.317,0.345,0.662,8.3,LAD @ KC
Kyle Isbel,Kansas City Royals,$2400,3.13,3.66,0.44,0.94,0.71,0.21,0.01,0.06,0.34,0.04,0.04,0.13,0.49,0.272,0.304,0.4,0.704,7.5,LAD @ KC
Bobby Witt Jr.,Kansas City Royals,$3800,3.39,4.44,0.67,1.12,0.73,0.24,0.04,0.16,0.6,0.27,0.09,0.31,0.91,0.278,0.335,0.488,0.822,12.9,LAD @ KC
Drew Waters,Kansas City Royals,$2400,3.83,3.88,0.55,0.92,0.8,0.1,0.02,0.08,0.31,0.19,0.04,0.27,0.89,0.264,0.329,0.394,0.723,9.2,LAD @ KC
Vinnie Pasquantino,Kansas City Royals,$3000,3.13,4.33,0.45,1.03,0.73,0.2,0.01,0.14,0.58,0.01,0,0.23,0.73,0.257,0.296,0.429,0.725,9.4,LAD @ KC
Maikel Garcia,Kansas City Royals,$3400,3.47,4.22,0.6,1.07,0.77,0.17,0.07,0.14,0.47,0.22,0.06,0.41,0.42,0.287,0.354,0.497,0.852,11.8,LAD @ KC
Andy Pages,Los Angeles Dodgers,$3200,3.88,4.29,0.59,1.09,0.63,0.24,0.01,0.26,0.8,0.03,0.03,0.27,0.61,0.279,0.328,0.561,0.889,12.4,LAD @ KC
John Rave,Kansas City Royals,$2100,3.43,3.77,0.39,0.65,0.45,0.14,0.01,0.07,0.41,0.06,0.01,0.34,1.07,0.194,0.27,0.311,0.581,7.2,LAD @ KC
Jac Caglianone,Kansas City Royals,$2500,3.2,4,0.43,0.78,0.55,0.18,0.02,0.09,0.46,0,0,0.31,0.88,0.214,0.278,0.369,0.647,8,LAD @ KC
Eugenio Suarez,Arizona Diamondbacks,$3800,3.32,4.28,0.76,1.04,0.58,0.28,0,0.23,0.66,0.02,0.04,0.46,0.98,0.28,0.364,0.549,0.913,12.6,MIA @ ARI
Ketel Marte,Arizona Diamondbacks,$4000,3.42,4.61,0.78,1.17,0.7,0.27,0,0.23,0.68,0.09,0.03,0.55,0.86,0.297,0.385,0.555,0.94,13.7,MIA @ ARI
Lourdes Gurriel,Arizona Diamondbacks,$2800,4.32,4.17,0.72,1.09,0.75,0.21,0.06,0.13,0.63,0.12,0.05,0.34,0.65,0.295,0.363,0.507,0.87,12.1,MIA @ ARI
Josh Naylor,Arizona Diamondbacks,$3500,3.46,4.39,0.66,1.09,0.73,0.23,0.03,0.13,0.64,0.15,0.05,0.47,0.58,0.285,0.36,0.473,0.833,12.1,MIA @ ARI
Jesus Sanchez,Miami Marlins,$3100,3.32,4.57,0.58,1.08,0.79,0.19,0.03,0.1,0.44,0.09,0.07,0.39,1.19,0.268,0.338,0.411,0.749,10.3,MIA @ ARI
Pavin Smith,Arizona Diamondbacks,$2900,4.34,4.5,0.66,1,0.6,0.23,0.02,0.2,0.73,0.02,0.01,0.6,0.99,0.266,0.376,0.503,0.879,12.6,MIA @ ARI
Geraldo Perdomo,Arizona Diamondbacks,$3300,4.12,4.72,0.8,1.12,0.81,0.2,0.03,0.16,0.72,0.1,0.03,0.67,0.62,0.284,0.39,0.491,0.881,13.6,MIA @ ARI
Otto Lopez,Miami Marlins,$2800,3.71,4.46,0.61,1.12,0.81,0.26,0.01,0.09,0.4,0.12,0.04,0.37,0.49,0.283,0.344,0.44,0.784,10.4,MIA @ ARI
Jake McCarthy,Arizona Diamondbacks,$2300,3.35,4.06,0.35,0.9,0.75,0.12,0.01,0.05,0.49,0.06,0.01,0.21,0.58,0.24,0.292,0.322,0.614,7.7,MIA @ ARI
Jose Herrera,Arizona Diamondbacks,$2400,2.5,3.83,0.33,0.63,0.53,0.08,0.01,0.03,0.33,0,0,0.41,0.91,0.19,0.275,0.255,0.53,6,MIA @ ARI
Alek Thomas,Arizona Diamondbacks,$2500,3.76,3.95,0.53,0.96,0.64,0.24,0.01,0.11,0.6,0.03,0.01,0.17,0.7,0.264,0.305,0.436,0.741,9.4,MIA @ ARI
Kyle Stowers,Miami Marlins,$2800,3.29,4.24,0.42,0.84,0.54,0.2,0.03,0.14,0.44,0.01,0.02,0.4,1.44,0.224,0.312,0.423,0.735,9.2,MIA @ ARI
Xavier Edwards,Miami Marlins,$2900,3.62,4.68,0.49,1.3,1.17,0.12,0.08,0,0.35,0.23,0.08,0.43,0.58,0.31,0.377,0.395,0.772,10.5,MIA @ ARI
Dane Myers,Miami Marlins,$2800,3.0,3.79,0.47,0.9,0.68,0.17,0,0.07,0.51,0.13,0.01,0.12,1.08,0.249,0.278,0.367,0.644,8.4,MIA @ ARI
Connor Norby,Miami Marlins,$2700,3.19,3.91,0.47,0.83,0.58,0.15,0.02,0.12,0.47,0.09,0.05,0.21,0.93,0.228,0.271,0.385,0.656,8.6,MIA @ ARI
Eric Wagaman,Miami Marlins,$2600,3.04,4.13,0.46,0.95,0.63,0.28,0.01,0.04,0.3,0.03,0,0.31,0.79,0.253,0.316,0.377,0.693,7.9,MIA @ ARI
Liam Hicks,Miami Marlins,$2600,3.96,4.02,0.53,1.03,0.61,0.28,0.01,0.15,0.61,0,0.01,0.32,0.7,0.285,0.344,0.492,0.836,10.3,MIA @ ARI
Agustin Ramirez,Miami Marlins,$3000,4.03,4.35,0.61,1.14,0.72,0.19,0.03,0.26,0.71,0,0.06,0.3,0.75,0.286,0.339,0.562,0.901,12.1,MIA @ ARI
Carlos Santana,Cleveland Guardians,$3000,2.93,4.22,0.49,0.91,0.61,0.17,0.02,0.12,0.3,0.07,0.02,0.4,0.72,0.242,0.319,0.392,0.711,8.8,STL @ CLE
Nolan Arenado,St. Louis Cardinals,$3000,2.73,4.33,0.43,0.87,0.63,0.19,0.01,0.09,0.41,0.01,0.01,0.32,0.41,0.223,0.291,0.364,0.654,8.2,STL @ CLE
Jose Ramirez,Cleveland Guardians,$3600,3.19,4.33,0.53,1.2,0.89,0.2,0.01,0.13,0.59,0.19,0.08,0.31,0.69,0.304,0.359,0.467,0.827,11.5,STL @ CLE
Willson Contreras,St. Louis Cardinals,$3200,3.62,4.55,0.49,0.91,0.53,0.2,0.02,0.25,0.63,0.04,0.03,0.51,1.31,0.23,0.32,0.507,0.827,11.6,STL @ CLE
Lane Thomas,Cleveland Guardians,$2700,3.15,4.11,0.4,0.71,0.5,0.11,0.03,0.09,0.35,0.17,0.03,0.42,1.2,0.201,0.295,0.329,0.624,8.5,STL @ CLE
Lars Nootbaar,St. Louis Cardinals,$3100,2.94,4.44,0.46,0.81,0.58,0.14,0,0.12,0.4,0.05,0.01,0.62,1.12,0.216,0.327,0.353,0.68,9.1,STL @ CLE
Brendan Donovan,St. Louis Cardinals,$3000,3.9,4.88,0.56,1.22,0.86,0.27,0.02,0.13,0.65,0.07,0.07,0.42,0.77,0.276,0.338,0.446,0.784,11.7,STL @ CLE
Steven Kwan,Cleveland Guardians,$3000,3.4,4.55,0.56,1.11,0.87,0.21,0.02,0.06,0.49,0.13,0.01,0.32,0.57,0.269,0.326,0.387,0.713,10.2,STL @ CLE
Gabriel Arias,Cleveland Guardians,$2600,2.69,3.77,0.37,0.68,0.47,0.14,0.03,0.07,0.33,0.08,0.04,0.23,1.29,0.195,0.253,0.324,0.578,7,STL @ CLE
Nolan Gorman,St. Louis Cardinals,$2700,4.15,4.22,0.56,0.92,0.57,0.24,0,0.17,0.66,0.01,0.02,0.57,1.18,0.261,0.369,0.49,0.859,11.2,STL @ CLE
Nolan Jones,Cleveland Guardians,$2500,2.68,3.89,0.33,0.66,0.53,0.12,0,0.04,0.25,0.1,0.03,0.38,1.17,0.196,0.288,0.274,0.562,6.7,STL @ CLE
Alec Burleson,St. Louis Cardinals,$2800,4.04,4.66,0.55,1.24,0.82,0.27,0.01,0.15,0.59,0.03,0.03,0.37,0.6,0.296,0.36,0.48,0.84,11.3,STL @ CLE
Bo Naylor,Cleveland Guardians,$2700,2.93,3.66,0.42,0.67,0.37,0.18,0.01,0.14,0.41,0.01,0.02,0.34,1.25,0.206,0.284,0.4,0.683,7.9,STL @ CLE
Masyn Winn,St. Louis Cardinals,$2900,3.55,4.77,0.61,1.16,0.92,0.18,0.06,0.08,0.42,0.15,0.08,0.18,0.82,0.258,0.291,0.389,0.68,10.3,STL @ CLE
Kyle Manzardo,Cleveland Guardians,$2800,3.25,4.44,0.44,0.9,0.56,0.2,0.04,0.14,0.46,0.01,0,0.33,1.15,0.224,0.289,0.403,0.692,9.1,STL @ CLE
Victor Scott II,St. Louis Cardinals,$2500,3.76,3.99,0.55,0.79,0.53,0.22,0.05,0.03,0.22,0.31,0.02,0.4,1.23,0.222,0.303,0.353,0.656,9.4,STL @ CLE
Pedro Pages,St. Louis Cardinals,$2400,3.79,4.1,0.41,0.87,0.57,0.21,0.01,0.15,0.55,0,0.03,0.32,1.23,0.233,0.3,0.432,0.732,9.1,STL @ CLE
Daniel Schneemann,Cleveland Guardians,$2700,2.93,4,0.41,0.7,0.41,0.18,0.02,0.12,0.38,0.07,0.03,0.27,1.32,0.191,0.253,0.356,0.609,7.9,STL @ CLE
Donovan Solano,Seattle Mariners,$2300,3.48,4.04,0.4,0.96,0.79,0.14,0.03,0.07,0.42,0,0,0.22,0.67,0.261,0.315,0.392,0.707,8,SEA @ TEX
Marcus Semien,Texas Rangers,$2800,3.25,4.16,0.43,0.96,0.76,0.17,0.03,0.08,0.44,0.07,0.04,0.39,0.73,0.26,0.333,0.404,0.738,9.1,SEA @ TEX
Jorge Polanco,Seattle Mariners,$2900,3.07,4.38,0.48,0.93,0.68,0.2,0.01,0.09,0.41,0.08,0.02,0.3,1.01,0.233,0.293,0.369,0.663,8.9,SEA @ TEX
Corey Seager,Texas Rangers,$2900,3.0,4.27,0.41,0.87,0.6,0.2,0.01,0.13,0.46,0,0.01,0.37,1.01,0.228,0.297,0.409,0.706,8.7,SEA @ TEX
J.P. Crawford,Seattle Mariners,$3000,3.3,4.71,0.57,1,0.79,0.16,0.02,0.08,0.4,0.12,0.06,0.49,0.98,0.243,0.324,0.362,0.685,9.9,SEA @ TEX
Adolis Garcia,Texas Rangers,$2900,3.41,4.05,0.44,0.73,0.32,0.19,0.01,0.25,0.66,0.04,0.01,0.21,1.47,0.194,0.246,0.463,0.708,9.9,SEA @ TEX
Randy Arozarena,Seattle Mariners,$3100,2.81,4.27,0.43,0.69,0.48,0.13,0,0.13,0.45,0.05,0.04,0.49,1.63,0.187,0.289,0.347,0.636,8.7,SEA @ TEX
Sam Haggerty,Texas Rangers,$2700,3.19,3.72,0.46,0.75,0.47,0.16,0.04,0.09,0.42,0.13,0.03,0.31,0.75,0.226,0.3,0.388,0.688,8.6,SEA @ TEX
Jonah Heim,Texas Rangers,$2500,2.68,3.61,0.33,0.71,0.46,0.16,0.01,0.1,0.39,0.02,0.01,0.16,0.93,0.209,0.242,0.358,0.601,6.7,SEA @ TEX
Luke Raley,Seattle Mariners,$2900,2.28,4.15,0.29,0.74,0.53,0.18,0.01,0.04,0.23,0.08,0.02,0.36,1.28,0.197,0.271,0.289,0.56,6.6,SEA @ TEX
Cal Raleigh,Seattle Mariners,$3800,2.79,4.49,0.53,1,0.67,0.17,0,0.19,0.51,0.05,0.01,0.4,1.25,0.251,0.331,0.442,0.774,10.6,SEA @ TEX
Julio Rodriguez,Seattle Mariners,$3200,3.16,4.6,0.48,1.06,0.77,0.23,0.03,0.1,0.55,0.17,0.02,0.14,1.14,0.243,0.263,0.393,0.656,10.1,SEA @ TEX
Josh Smith,Texas Rangers,$3000,3.23,4.5,0.48,1.08,0.79,0.22,0.01,0.12,0.35,0.1,0.08,0.3,0.92,0.264,0.325,0.424,0.749,9.7,SEA @ TEX
Josh Jung,Texas Rangers,$2800,2.5,3.83,0.41,0.75,0.54,0.14,0.01,0.08,0.38,0.02,0.01,0.17,1.09,0.21,0.256,0.328,0.583,7,SEA @ TEX
Evan Carter,Texas Rangers,$3100,2.32,3.94,0.43,0.73,0.48,0.16,0.01,0.09,0.26,0.06,0.03,0.29,0.95,0.203,0.269,0.333,0.602,7.2,SEA @ TEX
Wyatt Langford,Texas Rangers,$3100,3.52,4.39,0.47,0.99,0.63,0.23,0.02,0.17,0.61,0.15,0.04,0.26,1.37,0.243,0.296,0.448,0.743,10.9,SEA @ TEX
Ben Williamson,Seattle Mariners,$2300,2.91,3.82,0.42,0.71,0.55,0.15,0.01,0.05,0.3,0.03,0.01,0.25,0.88,0.207,0.269,0.316,0.585,6.7,SEA @ TEX
Cole Young,Seattle Mariners,$2200,2.91,3.93,0.27,0.73,0.53,0.18,0.02,0.04,0.39,0,0,0.22,0.9,0.204,0.259,0.308,0.566,6.4,SEA @ TEX
Carlos Correa,Minnesota Twins,$2800,3.36,4.42,0.45,1.11,0.77,0.3,0.03,0.1,0.33,0.01,0.03,0.3,0.79,0.278,0.338,0.468,0.806,9.4,MIN @ DET
