player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Yoan Moncada,Los Angeles Angels,$2600,3.88,4.38,0.41,0.98,0.64,0.22,0.01,0.16,0.65,0.01,0.01,0.39,1.12,0.246,0.313,0.439,0.752,10.1,BAL @ LAA
Ryan O'Hearn,Baltimore Orioles,$3000,3.7,4.44,0.65,1.1,0.77,0.23,0.01,0.15,0.48,0.06,0.03,0.38,0.59,0.279,0.35,0.466,0.817,11.1,BAL @ LAA
Cedric Mullins,Baltimore Orioles,$3300,3.48,4.32,0.64,0.94,0.63,0.12,0.03,0.19,0.56,0.12,0.04,0.5,0.89,0.251,0.34,0.468,0.808,11.5,BAL @ LAA
Taylor Ward,Los Angeles Angels,$2800,3.57,4.27,0.51,0.92,0.54,0.16,0,0.23,0.49,0,0.01,0.43,0.86,0.242,0.318,0.467,0.786,10,BAL @ LAA
Luis Rengifo,Los Angeles Angels,$2400,3.5,4.05,0.47,0.95,0.74,0.15,0.01,0.1,0.33,0.11,0.04,0.22,0.56,0.254,0.297,0.396,0.693,8.4,BAL @ LAA
Jo Adell,Los Angeles Angels,$2500,3.64,3.94,0.41,0.78,0.49,0.1,0,0.2,0.49,0.11,0.03,0.27,1.06,0.218,0.281,0.421,0.702,9.1,BAL @ LAA
Jorge Mateo,Baltimore Orioles,$2300,3.57,3.99,0.52,0.74,0.46,0.18,0.04,0.08,0.38,0.09,0.04,0.22,0.81,0.205,0.263,0.352,0.616,8.2,BAL @ LAA
Ryan Mountcastle,Baltimore Orioles,$2600,3.46,4.55,0.41,0.91,0.62,0.2,0,0.14,0.46,0.01,0,0.37,0.99,0.224,0.297,0.393,0.69,9,BAL @ LAA
Adley Rutschman,Baltimore Orioles,$3000,4.0,4.77,0.64,1.2,0.78,0.27,0,0.19,0.68,0,0,0.44,0.66,0.282,0.348,0.485,0.833,12,BAL @ LAA
Emmanuel Rivera,Baltimore Orioles,$2200,3.59,4.1,0.41,1.09,0.87,0.18,0.03,0.04,0.33,0.02,0.01,0.29,0.58,0.291,0.342,0.394,0.736,7.9,BAL @ LAA
Gunnar Henderson,Baltimore Orioles,$3100,4.39,4.66,0.76,1.31,0.88,0.24,0.01,0.26,0.6,0.04,0.02,0.47,0.86,0.318,0.391,0.592,0.983,13.6,BAL @ LAA
Logan O'Hoppe,Los Angeles Angels,$2900,3.17,4.16,0.52,1,0.69,0.16,0.01,0.15,0.42,0.01,0.02,0.32,1.09,0.265,0.331,0.429,0.76,9.2,BAL @ LAA
Zach Neto,Los Angeles Angels,$3300,4.18,4.6,0.72,1.31,0.88,0.26,0.02,0.23,0.74,0.14,0.03,0.22,1.15,0.306,0.351,0.558,0.909,13.8,BAL @ LAA
Nolan Schanuel,Los Angeles Angels,$2600,3.69,4.49,0.52,0.95,0.79,0.13,0,0.09,0.4,0.06,0.01,0.58,0.76,0.253,0.36,0.372,0.732,9.6,BAL @ LAA
Kyren Paris,Los Angeles Angels,$2600,4.08,3.83,0.52,0.9,0.51,0.2,0.02,0.23,0.54,0.04,0.06,0.32,1.1,0.26,0.329,0.545,0.874,10.6,BAL @ LAA
Heston Kjerstad,Baltimore Orioles,$2500,3.56,4.21,0.38,0.88,0.66,0.12,0.01,0.15,0.5,0.04,0.01,0.31,1,0.232,0.296,0.401,0.696,8.9,BAL @ LAA
Jackson Holliday,Baltimore Orioles,$2700,3.85,4.88,0.49,1.11,0.86,0.17,0.03,0.11,0.5,0.09,0,0.43,1.07,0.254,0.321,0.395,0.715,10.4,BAL @ LAA
Matthew Lugo,Los Angeles Angels,$2000,3.4,3.72,0.44,0.77,0.61,0.12,0.01,0.06,0.27,0.03,0.02,0.27,0.79,0.227,0.286,0.336,0.622,6.8,BAL @ LAA
Jason Heyward,San Diego Padres,$2800,3.68,4.26,0.64,0.86,0.55,0.17,0.01,0.17,0.65,0.01,0.01,0.34,0.78,0.223,0.289,0.422,0.711,10.3,SD @ COL
Manny Machado,San Diego Padres,$3900,4.15,4.82,1.03,1.39,0.9,0.3,0.05,0.22,0.95,0.14,0.03,0.37,0.73,0.318,0.371,0.583,0.954,16.2,SD @ COL
Xander Bogaerts,San Diego Padres,$3500,3.43,4.59,0.85,1.08,0.8,0.17,0.04,0.1,0.66,0.11,0.04,0.43,0.62,0.264,0.332,0.411,0.743,12,SD @ COL
Elias Diaz,San Diego Padres,$3200,2.97,4.15,0.51,0.9,0.64,0.21,0,0.12,0.68,0,0,0.27,0.58,0.237,0.29,0.404,0.694,9.5,SD @ COL
Ryan McMahon,Colorado Rockies,$3200,3.72,4.37,0.65,0.96,0.54,0.2,0.01,0.24,0.67,0.03,0.06,0.47,1.25,0.254,0.337,0.503,0.84,11.9,SD @ COL
Nick Martini,Colorado Rockies,$2700,2.93,3.93,0.46,0.75,0.57,0.14,0.01,0.09,0.57,0,0,0.2,0.9,0.205,0.254,0.34,0.594,7.9,SD @ COL
Fernando Tatis Jr.,San Diego Padres,$4500,3.93,5.04,1.02,1.37,0.85,0.31,0.04,0.24,1.11,0.2,0.04,0.55,0.88,0.313,0.386,0.585,0.971,17.7,SD @ COL
Luis Arraez,San Diego Padres,$3200,4.44,4.93,0.91,1.51,1.17,0.32,0.01,0.07,0.71,0.24,0.07,0.25,0.49,0.329,0.371,0.465,0.835,14.2,SD @ COL
Jake Cronenworth,San Diego Padres,$3400,4.0,4.48,0.86,1.09,0.72,0.26,0.02,0.16,0.87,0.02,0,0.52,0.59,0.29,0.38,0.517,0.897,13.6,SD @ COL
Mickey Moniak,Colorado Rockies,$2800,2.75,4.04,0.54,0.84,0.61,0.17,0.05,0.05,0.31,0.06,0.04,0.15,1.05,0.221,0.265,0.344,0.609,7.7,SD @ COL
Alan Trejo,Colorado Rockies,$2600,2.81,3.82,0.37,0.76,0.47,0.23,0,0.09,0.46,0,0.01,0.18,0.97,0.217,0.262,0.368,0.63,7.3,SD @ COL
Gavin Sheets,San Diego Padres,$3300,3.12,4.37,0.58,1.05,0.75,0.23,0.01,0.09,0.55,0.03,0.02,0.44,0.83,0.276,0.357,0.428,0.784,10.3,SD @ COL
Michael Toglia,Colorado Rockies,$3000,3.93,4.15,0.71,0.88,0.58,0.12,0.02,0.24,0.77,0.04,0.02,0.27,1.5,0.234,0.297,0.487,0.783,11.8,SD @ COL
Brenton Doyle,Colorado Rockies,$3400,3.74,4.6,0.72,1.12,0.74,0.28,0.02,0.13,0.73,0.17,0.06,0.32,1.1,0.267,0.327,0.446,0.773,12.7,SD @ COL
Hunter Goodman,Colorado Rockies,$3300,2.82,4.26,0.56,0.95,0.67,0.21,0.03,0.09,0.53,0.01,0.01,0.3,1.21,0.241,0.296,0.401,0.697,9.3,SD @ COL
Jackson Merrill,San Diego Padres,$4200,3.64,4.71,1.05,1.26,0.71,0.36,0.02,0.21,0.95,0.09,0.02,0.32,0.71,0.294,0.346,0.546,0.892,15.3,SD @ COL
Jordan Beck,Colorado Rockies,$3300,3.42,4.49,0.7,0.92,0.62,0.2,0.02,0.12,0.64,0.24,0.06,0.21,1.66,0.223,0.265,0.382,0.646,11.3,SD @ COL
Adael Amador,Colorado Rockies,$2800,2.71,3.71,0.48,0.68,0.46,0.2,0.02,0.04,0.47,0.05,0.01,0.25,0.74,0.202,0.263,0.322,0.584,7.6,SD @ COL
Freddie Freeman,Los Angeles Dodgers,$4200,4.12,4.66,0.91,1.48,0.92,0.29,0.02,0.37,1.02,0.02,0.01,0.49,0.71,0.361,0.432,0.746,1.178,17.3,LAD @ ARI
