player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Zack Littell,Cincinnati Reds,0.24-0.48,$7800,2.87,0.24,0.48,4.8,1,0,5.49,5.31,3.27,2.93,0.99,1.56,3.88,1.25,,22.4,CIN @ MIL
Quinn Priester,Milwaukee Brewers,0.43-0.2,$9000,3.47,0.43,0.2,2.94,1,0,5.71,4.34,2.23,1.87,0.47,1.59,4.93,1.04,,31.2,CIN @ MIL
Yu Darvish,San Diego Padres,0.33-0.27,$7900,3.65,0.33,0.27,3.23,1,0,5.07,4.54,1.96,1.82,0.86,1.46,5.08,1.18,,28.8,ARI @ SD
Zac Gallen,Arizona Diamondbacks,0.31-0.4,$9100,3.14,0.31,0.4,3.88,1,0,5.57,5.38,2.71,2.4,0.82,2.08,5.21,1.34,,28.6,ARI @ SD
A.J. Puk,Arizona Diamondbacks,0.02-0.02,$5500,0.25,0.02,0.02,3.34,0,0.21,0.4,0.34,0.16,0.15,0.09,0.1,0.16,1.12,,1.4,ARI @ SD
Mason Miller,San Diego Padres,0.03-0.03,$5500,0.44,0.03,0.03,2.7,0,0.28,0.53,0.42,0.17,0.16,0.05,0.25,0.36,1.26,,2.4,ARI @ SD
Aroldis Chapman,Boston Red Sox,0.02-0.03,$5500,0.33,0.02,0.03,1.58,0,0.24,0.44,0.29,0.08,0.08,0.02,0.14,0.2,0.98,,1.8,DET @ BOS
Casey Mize,Detroit Tigers,0.38-0.29,$8900,2.88,0.38,0.29,4.67,1,0,5.35,5.24,3.05,2.78,0.76,1.5,4.57,1.26,,25.6,DET @ BOS
Jason Foley,Detroit Tigers,0.02-0.03,$5500,0.31,0.02,0.03,3.28,0,0.26,0.49,0.42,0.19,0.18,0.04,0.17,0.21,1.21,,1.7,DET @ BOS
Kyle Harrison,Boston Red Sox,0.27-0.36,$7600,3.22,0.27,0.36,5.06,1,0,5.07,4.86,3.21,2.85,0.75,1.81,4.94,1.31,,24.5,DET @ BOS
Kenley Jansen,Los Angeles Angels,0.02-0.02,$5500,0.27,0.02,0.02,2.74,0,0.22,0.41,0.33,0.14,0.13,0.06,0.14,0.19,1.14,,1.5,HOU @ LAA
Kyle Hendricks,Los Angeles Angels,0.27-0.37,$7000,2.91,0.27,0.37,4.69,1,0,4.99,5.14,2.87,2.6,0.78,1.53,3.38,1.34,,20.4,HOU @ LAA
Josh Hader,Houston Astros,0.03-0.03,$5500,0.38,0.03,0.03,2.31,0,0.28,0.52,0.38,0.14,0.13,0.08,0.17,0.26,1.07,,2.1,HOU @ LAA
Jason Alexander,Houston Astros,0.3-0.29,$7700,3.08,0.3,0.29,3.93,1,0,4.79,4.55,2.4,2.09,0.67,1.61,4.16,1.29,,23.7,HOU @ LAA
Felipe Vazquez,Pittsburgh Pirates,0.02-0.02,N/A,N/A,0.02,0.02,3.3,0,0.21,0.39,0.34,0.16,0.14,0.04,0.14,0.18,1.22,,1.4,PIT @ ATL
Mitch Keller,Pittsburgh Pirates,0.3-0.37,$8600,2.84,0.3,0.37,4.24,1,0,5.27,4.97,2.68,2.48,0.77,1.5,4.16,1.23,,24.4,PIT @ ATL
Alexis Diaz,Atlanta Braves,0.03-0.03,$5500,0.29,0.03,0.03,7.51,0,0.29,0.54,0.71,0.49,0.45,0.16,0.35,0.38,1.97,,1.6,PIT @ ATL
Joey Wentz,Atlanta Braves,0.3-0.3,$8000,3.49,0.3,0.3,3.58,1,0,5.33,4.52,2.44,2.12,0.47,1.72,4.76,1.17,,27.9,PIT @ ATL
Tanner Scott,Los Angeles Dodgers,0.02-0.03,$5500,0.27,0.02,0.03,4.36,0,0.25,0.46,0.45,0.24,0.22,0.08,0.16,0.21,1.32,,1.5,LAD @ SEA
Andres Munoz,Seattle Mariners,0.02-0.03,$5500,0.38,0.02,0.03,1.57,0,0.25,0.47,0.31,0.09,0.08,0.02,0.2,0.26,1.09,,2.1,LAD @ SEA
George Kirby,Seattle Mariners,0.26-0.36,$10000,3.0,0.26,0.36,3.76,1,0,5.57,5.24,2.54,2.33,0.75,1.46,5.63,1.2,,30,LAD @ SEA
Emmet Sheehan,Los Angeles Dodgers,0.36-0.27,$9500,3.34,0.36,0.27,3.06,1,0,5.18,4.22,1.98,1.76,0.69,1.8,5.81,1.16,,31.7,LAD @ SEA
Chris Martin,Texas Rangers,0.02-0.03,$5500,0.27,0.02,0.03,3.05,0,0.25,0.47,0.39,0.17,0.16,0.06,0.08,0.16,1,,1.5,TEX @ CLE
Emmanuel Clase,Cleveland Guardians,0.02-0.03,$5500,0.29,0.02,0.03,2.84,0,0.25,0.46,0.37,0.16,0.15,0.02,0.11,0.17,1.04,,1.6,TEX @ CLE
Jack Leiter,Texas Rangers,0.33-0.3,$8500,3.36,0.33,0.3,3.48,1,0,5.48,4.62,2.31,2.12,0.6,2.25,4.94,1.25,,28.6,TEX @ CLE
Slade Cecconi,Cleveland Guardians,0.28-0.35,$8800,3.05,0.28,0.35,4.14,1,0,5.61,5.41,2.86,2.58,0.73,1.58,4.74,1.25,,26.8,TEX @ CLE
Adrian Houser,Tampa Bay Rays,0.35-0.29,$8400,3.06,0.35,0.29,3.85,1,0,5.3,5.01,2.66,2.27,0.71,1.94,4.28,1.31,,25.7,TB @ TOR
Jeff Hoffman,Toronto Blue Jays,0.02-0.03,$5500,0.29,0.02,0.03,4.09,0,0.25,0.47,0.45,0.23,0.22,0.1,0.17,0.25,1.3,,1.6,TB @ TOR
Shane Bieber,Toronto Blue Jays,0.3-0.37,$9400,3.16,0.3,0.37,3.95,1,0,5.58,5.18,2.9,2.45,0.83,1.48,5.49,1.19,,29.7,TB @ TOR
Pete Fairbanks,Tampa Bay Rays,0.02-0.03,$5500,0.29,0.02,0.03,2.99,0,0.24,0.46,0.37,0.16,0.15,0.05,0.15,0.19,1.14,,1.6,TB @ TOR
German Marquez,Colorado Rockies,0.2-0.48,$6700,2.81,0.2,0.48,5.12,1,0,4.95,5.49,3.11,2.82,0.84,1.63,3.38,1.44,,18.8,COL @ SF
Trevor McDonald,San Francisco Giants,0.48-0.23,$6000,5.2,0.48,0.23,3.17,1,0,5.65,5.19,2.24,1.99,0.53,1.39,5.11,1.16,,31.2,COL @ SF
Trevor May,Oakland Athletics,0.02-0.03,N/A,N/A,0.02,0.03,3.3,0,0.26,0.49,0.42,0.19,0.18,0.04,0.17,0.22,1.22,,1.7,KC @ OAK
Carlos Estevez,Kansas City Royals,0.02-0.03,$5500,0.31,0.02,0.03,2.49,0,0.24,0.44,0.34,0.13,0.12,0.04,0.14,0.19,1.09,,1.7,KC @ OAK
David Bednar,New York Yankees,0.03-0.03,$5500,0.36,0.03,0.03,2.88,0,0.32,0.59,0.48,0.2,0.19,0.05,0.18,0.22,1.12,,2,BAL @ NYY
Trevor Rogers,Baltimore Orioles,0.23-0.37,$10400,2.47,0.23,0.37,4.41,1,0,5.21,5.37,2.92,2.55,0.58,1.93,4.92,1.4,,25.7,BAL @ NYY
Felix Bautista,Baltimore Orioles,0.02-0.02,$5500,0.29,0.02,0.02,2.7,0,0.18,0.34,0.27,0.11,0.1,0.03,0.21,0.24,1.41,,1.6,BAL @ NYY
Will Warren,New York Yankees,0.38-0.2,$8100,3.59,0.38,0.2,3.66,1,0,5.28,4.55,2.36,2.15,0.64,1.91,5.2,1.22,,29.1,BAL @ NYY
Sandy Alcantara,Miami Marlins,0.34-0.34,$8200,3.17,0.34,0.34,4.71,1,0,5.67,5.86,3.28,2.97,0.84,2.13,4.69,1.41,,26,NYM @ MIA
Ryan Helsley,New York Mets,0.02-0.03,$5500,0.29,0.02,0.03,4.2,0,0.25,0.46,0.44,0.23,0.21,0.06,0.19,0.25,1.36,,1.6,NYM @ MIA
Calvin Faucher,Miami Marlins,0.02-0.03,$5500,0.31,0.02,0.03,3.32,0,0.25,0.47,0.41,0.19,0.17,0.05,0.19,0.23,1.25,,1.7,NYM @ MIA
Brandon Sproat,New York Mets,0.27-0.31,$8700,2.48,0.27,0.31,5,1,0,4.65,4.78,2.87,2.58,0.87,1.82,4.2,1.42,,21.6,NYM @ MIA
