player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Aroldis Chapman,Boston Red Sox,0.03-0.03,$5500,0.42,0.03,0.03,1.45,0,0.29,0.53,0.35,0.09,0.09,0.03,0.18,0.25,0.99,,2.3,PIT @ BOS
Felipe Vazquez,Pittsburgh Pirates,0.02-0.02,N/A,N/A,0.02,0.02,3.3,0,0.21,0.4,0.34,0.16,0.15,0.04,0.14,0.18,1.22,,1.4,PIT @ BOS
Lucas Giolito,Boston Red Sox,0.35-0.27,$9200,3.18,0.35,0.27,3.8,1,0,5.87,5.08,2.75,2.48,0.63,1.57,4.92,1.13,,29.3,PIT @ BOS
Mitch Keller,Pittsburgh Pirates,0.27-0.35,$8000,3.04,0.27,0.35,4.79,1,0,5.49,5.42,3.15,2.92,0.64,1.64,4.31,1.29,,24.3,PIT @ BOS
Max Scherzer,Toronto Blue Jays,0.21-0.42,$9000,2.84,0.21,0.42,4.71,1,0,5.27,5.36,3.09,2.76,1.09,1.57,5.12,1.31,,25.6,MIL @ TOR
Jeff Hoffman,Toronto Blue Jays,0.02-0.03,$5500,0.27,0.02,0.03,4.67,0,0.24,0.45,0.46,0.26,0.23,0.11,0.16,0.24,1.36,,1.5,MIL @ TOR
Brandon Woodruff,Milwaukee Brewers,0.4-0.23,$9800,3.1,0.4,0.23,4.29,1,0,5.29,4.7,2.81,2.52,0.96,1.84,6.03,1.24,,30.4,MIL @ TOR
Trevor Megill,Milwaukee Brewers,0.02-0.03,$5500,0.33,0.02,0.03,2.57,0,0.26,0.48,0.37,0.15,0.14,0.03,0.17,0.23,1.14,,1.8,MIL @ TOR
Sandy Alcantara,Miami Marlins,0.3-0.42,$7900,3.09,0.3,0.42,4.45,1,0,5.6,6.01,3.01,2.76,0.77,2.07,4.17,1.44,,24.4,MIA @ NYM
Ryan Helsley,New York Mets,0.03-0.03,$5500,0.38,0.03,0.03,3.99,0,0.32,0.59,0.55,0.28,0.26,0.07,0.25,0.32,1.35,,2.1,MIA @ NYM
Calvin Faucher,Miami Marlins,0.02-0.02,$5500,0.24,0.02,0.02,3.26,0,0.18,0.34,0.29,0.13,0.12,0.03,0.14,0.17,1.26,,1.3,MIA @ NYM
Kodai Senga,New York Mets,0.35-0.26,$8900,3.15,0.35,0.26,3.39,1,0,5.37,4.32,2.25,2.02,0.46,2.17,4.67,1.21,,28,MIA @ NYM
Martin Perez,Chicago White Sox,0.19-0.31,$8100,2.73,0.19,0.31,4.24,1,0,4.77,4.57,2.53,2.25,0.51,2.02,3.98,1.38,,22.1,NYY @ CHW
David Bednar,New York Yankees,0.03-0.03,$5500,0.35,0.03,0.03,2.95,0,0.29,0.55,0.45,0.2,0.18,0.04,0.17,0.21,1.14,,1.9,NYY @ CHW
Luis Gil,New York Yankees,0.34-0.22,$8600,3.06,0.34,0.22,4.46,1,0,5.21,4.56,2.93,2.58,0.56,2.4,5.02,1.34,,26.3,NYY @ CHW
Jordan Leasure,Chicago White Sox,0.02-0.02,$5500,0.24,0.02,0.02,4.57,0,0.21,0.38,0.38,0.21,0.19,0.07,0.2,0.21,1.51,,1.3,NYY @ CHW
Andres Munoz,Seattle Mariners,0.03-0.03,$5500,0.4,0.03,0.03,1.78,0,0.27,0.5,0.34,0.11,0.1,0.02,0.22,0.29,1.14,,2.2,SEA @ CLE
Emmanuel Clase,Cleveland Guardians,0.02-0.03,$5500,0.27,0.02,0.03,2.84,0,0.23,0.43,0.35,0.15,0.14,0.02,0.1,0.16,1.04,,1.5,SEA @ CLE
Tanner Bibee,Cleveland Guardians,0.32-0.35,$8200,3.45,0.32,0.35,3.99,1,0,5.72,5.4,2.7,2.53,0.94,1.6,4.88,1.22,,28.3,SEA @ CLE
Bryce Miller,Seattle Mariners,0.29-0.29,$7000,3.3,0.29,0.29,4.31,1,0,4.93,5.03,2.55,2.36,0.85,1.73,4.05,1.37,,23.1,SEA @ CLE
Brady Singer,Cincinnati Reds,0.34-0.32,$8800,3.51,0.34,0.32,3.66,1,0,5.48,4.47,2.42,2.23,0.67,1.71,5.72,1.13,,30.9,STL @ CIN
Andre Pallante,St. Louis Cardinals,0.34-0.38,$6500,3.58,0.34,0.38,4.4,1,0,5.42,5.5,2.93,2.65,0.44,1.91,3.71,1.37,,23.3,STL @ CIN
Kenley Jansen,Los Angeles Angels,0.02-0.02,$5500,0.22,0.02,0.02,3.04,0,0.17,0.31,0.26,0.12,0.11,0.05,0.11,0.15,1.17,,1.2,LAA @ HOU
Josh Hader,Houston Astros,0.03-0.04,$5500,0.45,0.03,0.04,2.31,0,0.33,0.62,0.46,0.17,0.16,0.1,0.2,0.31,1.07,,2.5,LAA @ HOU
Hunter Brown,Houston Astros,0.41-0.23,$10800,3.56,0.41,0.23,2.65,1,0,5.76,4.11,2.05,1.7,0.42,1.62,7.12,0.99,,38.4,LAA @ HOU
Jose Soriano,Los Angeles Angels,0.22-0.44,$8300,2.89,0.22,0.44,4.4,1,0,5.29,5.14,2.85,2.59,0.57,2.35,4.32,1.42,,24,LAA @ HOU
Michael Wacha,Kansas City Royals,0.28-0.44,$8500,3.11,0.28,0.44,4.09,1,0,5.75,5.22,2.88,2.61,0.61,1.64,4.44,1.19,,26.4,DET @ KC
Carlos Estevez,Kansas City Royals,0.02-0.02,$5500,0.25,0.02,0.02,2.56,0,0.2,0.37,0.29,0.11,0.1,0.03,0.12,0.16,1.1,,1.4,DET @ KC
Tarik Skubal,Detroit Tigers,0.42-0.28,$11200,3.39,0.42,0.28,2.93,1,0,5.91,4.8,2.1,1.92,0.49,1.33,6.92,1.04,,38,DET @ KC
Jason Foley,Detroit Tigers,0.03-0.03,$5500,0.36,0.03,0.03,3.28,0,0.3,0.56,0.48,0.22,0.2,0.05,0.2,0.24,1.21,,2,DET @ KC
Joe Ryan,Minnesota Twins,0.28-0.31,$9700,3.26,0.28,0.31,3.71,1,0,5.52,5.05,2.61,2.28,0.79,1.42,6.06,1.17,,31.6,SD @ MIN
David Morgan,San Diego Padres,0.11-0.12,$5500,2.0,0.11,0.12,4.07,1,0,2.16,1.92,1.15,0.98,0.28,1.04,2.05,1.37,,11,SD @ MIN
Brad Lord,Washington Nationals,0.22-0.37,$7500,2.95,0.22,0.37,4.4,1,0,4.92,5.07,2.68,2.41,0.57,1.75,3.9,1.39,,22.1,TB @ WSH
Ian Seymour,Tampa Bay Rays,0.29-0.19,$7100,3.28,0.29,0.19,3.44,1,0,4.21,3.8,1.77,1.61,0.47,1.1,4.1,1.16,,23.3,TB @ WSH
