player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Salvador Perez,Kansas City Royals,$2900,3.24,4.08,0.5,0.9,0.56,0.17,0,0.19,0.55,0,0,0.25,0.94,0.239,0.293,0.44,0.733,9.4,DET @ KC
Javier Baez,Detroit Tigers,$2700,3.37,3.91,0.5,0.95,0.67,0.24,0.03,0.09,0.39,0.12,0.04,0.11,0.9,0.263,0.297,0.442,0.739,9.1,DET @ KC
Adam Frazier,Kansas City Royals,$2500,2.88,3.97,0.43,0.86,0.66,0.16,0.01,0.05,0.35,0.05,0.01,0.17,0.87,0.233,0.272,0.328,0.6,7.2,DET @ KC
Gleyber Torres,Detroit Tigers,$3100,3.35,4.69,0.57,1.01,0.72,0.25,0,0.07,0.56,0.02,0.02,0.61,0.58,0.255,0.356,0.384,0.74,10.4,DET @ KC
Mike Yastrzemski,Kansas City Royals,$2900,3.9,4.53,0.6,0.87,0.51,0.19,0.02,0.22,0.55,0.06,0,0.47,1.15,0.22,0.309,0.464,0.773,11.3,DET @ KC
Zach McKinstry,Detroit Tigers,$2900,3.52,4.03,0.6,0.93,0.6,0.21,0.07,0.07,0.49,0.14,0.05,0.37,0.74,0.259,0.33,0.418,0.748,10.2,DET @ KC
Jonathan India,Kansas City Royals,$2600,2.92,3.86,0.41,0.89,0.62,0.25,0.01,0.05,0.32,0.01,0.01,0.35,0.81,0.261,0.328,0.394,0.722,7.6,DET @ KC
Kyle Isbel,Kansas City Royals,$2300,3.09,3.64,0.5,0.87,0.69,0.16,0.03,0.02,0.31,0.04,0.02,0.2,0.77,0.256,0.294,0.347,0.642,7.1,DET @ KC
Spencer Torkelson,Detroit Tigers,$3200,3.28,4.36,0.58,0.9,0.49,0.28,0.01,0.18,0.51,0,0,0.47,0.9,0.235,0.322,0.468,0.79,10.5,DET @ KC
Bobby Witt Jr.,Kansas City Royals,$3900,3.15,4.41,0.6,1.11,0.69,0.18,0.03,0.22,0.48,0.28,0.07,0.3,0.96,0.273,0.326,0.493,0.819,12.3,DET @ KC
Riley Greene,Detroit Tigers,$3700,3.73,4.47,0.72,1.23,0.81,0.21,0.04,0.27,0.82,0.02,0.01,0.37,1.05,0.303,0.362,0.597,0.958,13.8,DET @ KC
