player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Marcell Ozuna,Atlanta Braves,$3400,3.26,4.33,0.54,0.96,0.57,0.2,0.01,0.22,0.63,0,0,0.49,1.14,0.255,0.341,0.49,0.832,11.1,CIN @ ATL
Matt Olson,Atlanta Braves,$3100,3.55,4.21,0.52,0.91,0.44,0.28,0.02,0.19,0.69,0,0,0.47,0.99,0.247,0.335,0.491,0.826,11,CIN @ ATL
Ozzie Albies,Atlanta Braves,$2800,3.07,4.1,0.44,0.91,0.64,0.15,0.01,0.14,0.46,0.05,0.02,0.19,0.83,0.235,0.274,0.391,0.666,8.6,CIN @ ATL
Alex Verdugo,Atlanta Braves,$2800,3.46,4.55,0.61,1.06,0.76,0.21,0,0.1,0.5,0.05,0,0.27,0.61,0.254,0.303,0.381,0.684,9.7,CIN @ ATL
Jose Trevino,Cincinnati Reds,$2500,3.24,3.95,0.47,0.8,0.53,0.14,0.02,0.12,0.48,0,0.01,0.26,0.46,0.223,0.277,0.371,0.647,8.1,CIN @ ATL
Austin Riley,Atlanta Braves,$3400,3.71,4.44,0.68,1.06,0.6,0.21,0.01,0.28,0.71,0,0.01,0.37,1.28,0.271,0.351,0.557,0.908,12.6,CIN @ ATL
Jake Fraley,Cincinnati Reds,$2400,3.67,4.06,0.55,0.8,0.54,0.15,0.04,0.1,0.41,0.1,0.03,0.27,0.99,0.218,0.277,0.375,0.652,8.8,CIN @ ATL
Sean Murphy,Atlanta Braves,$3000,3.0,3.99,0.47,0.69,0.41,0.15,0,0.18,0.43,0,0.01,0.53,1,0.205,0.32,0.423,0.743,9,CIN @ ATL
Gavin Lux,Cincinnati Reds,$2700,3.41,4.39,0.5,0.93,0.61,0.21,0.03,0.09,0.45,0.07,0.01,0.35,1.11,0.237,0.304,0.378,0.681,9.2,CIN @ ATL
Eli White,Atlanta Braves,$2400,3.75,3.66,0.47,0.93,0.59,0.22,0.01,0.14,0.49,0.05,0.01,0.16,1.05,0.272,0.309,0.471,0.78,9,CIN @ ATL
TJ Friedl,Cincinnati Reds,$2700,4.04,4.73,0.53,0.92,0.59,0.24,0,0.15,0.54,0.15,0.08,0.42,0.73,0.219,0.299,0.394,0.693,10.9,CIN @ ATL
Nick Allen,Atlanta Braves,$2100,2.43,3.77,0.21,0.59,0.5,0.08,0,0.04,0.25,0.02,0.03,0.31,1.05,0.176,0.247,0.239,0.486,5.1,CIN @ ATL
Michael Harris II,Atlanta Braves,$2800,2.5,3.88,0.38,0.72,0.56,0.11,0.01,0.09,0.27,0.12,0.04,0.16,0.9,0.199,0.237,0.317,0.554,7,CIN @ ATL
Spencer Steer,Cincinnati Reds,$2700,3.96,4.17,0.64,0.84,0.43,0.23,0.04,0.15,0.46,0.14,0.01,0.42,0.96,0.229,0.31,0.44,0.75,10.7,CIN @ ATL
Matt McLain,Cincinnati Reds,$3100,3.29,4.62,0.56,0.91,0.57,0.22,0.02,0.13,0.4,0.13,0.05,0.39,1.43,0.225,0.306,0.396,0.702,10.2,CIN @ ATL
Elly De La Cruz,Cincinnati Reds,$3700,3.08,4.51,0.51,1.01,0.63,0.24,0.06,0.13,0.46,0.22,0.09,0.42,1.52,0.252,0.328,0.455,0.782,11.4,CIN @ ATL
Noelvi Marte,Cincinnati Reds,$3200,3.13,4.28,0.53,1.02,0.71,0.27,0.02,0.07,0.46,0.11,0.05,0.33,1.2,0.267,0.336,0.414,0.75,10,CIN @ ATL
Tyler Callihan,Cincinnati Reds,$2100,3.43,3.84,0.36,0.84,0.62,0.18,0.01,0.04,0.43,0,0.02,0.28,0.88,0.239,0.304,0.343,0.646,7.2,CIN @ ATL
Salvador Perez,Kansas City Royals,$2800,4.11,4.22,0.51,1.12,0.68,0.29,0.02,0.17,0.79,0,0.01,0.31,0.66,0.293,0.35,0.521,0.871,11.5,CHW @ KC
Michael Taylor,Chicago White Sox,$2500,3.0,3.74,0.4,0.75,0.48,0.17,0.04,0.07,0.31,0.11,0.01,0.21,1.27,0.22,0.273,0.356,0.629,7.5,CHW @ KC
Andrew Benintendi,Chicago White Sox,$2900,3.62,4.51,0.6,1.01,0.63,0.21,0.02,0.18,0.53,0.02,0.02,0.37,0.72,0.247,0.307,0.449,0.756,10.5,CHW @ KC
Luis Robert,Chicago White Sox,$3500,3.03,4.4,0.51,0.9,0.57,0.18,0.03,0.17,0.58,0.12,0.08,0.34,1.14,0.225,0.289,0.425,0.714,10.6,CHW @ KC
Andrew Vaughn,Chicago White Sox,$2500,3.2,4.18,0.38,0.9,0.61,0.17,0.01,0.12,0.51,0,0,0.19,0.87,0.227,0.265,0.368,0.633,8,CHW @ KC
