player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Jorge Polanco,Seattle Mariners,$3100,3.61,4.48,0.48,1.09,0.66,0.24,0.02,0.21,0.54,0.03,0,0.42,1.11,0.275,0.35,0.512,0.861,11.2,WSH @ SEA
Josh Bell,Washington Nationals,$2600,3.31,4.07,0.38,0.81,0.51,0.17,0,0.19,0.45,0,0.01,0.31,0.92,0.219,0.278,0.437,0.715,8.6,WSH @ SEA
J.P. Crawford,Seattle Mariners,$2800,3.64,4.6,0.51,0.97,0.65,0.26,0.02,0.1,0.38,0.05,0.01,0.57,0.86,0.25,0.358,0.418,0.775,10.2,WSH @ SEA
Rowdy Tellez,Seattle Mariners,$2600,2.85,4.04,0.37,0.89,0.66,0.17,0,0.08,0.31,0,0,0.37,0.85,0.245,0.319,0.368,0.687,7.4,WSH @ SEA
Nathaniel Lowe,Washington Nationals,$2900,3.24,4.4,0.44,0.9,0.55,0.22,0.01,0.16,0.49,0.01,0.01,0.36,1.21,0.225,0.295,0.418,0.713,9.4,WSH @ SEA
Dylan Moore,Seattle Mariners,$3100,2.74,3.82,0.39,0.87,0.55,0.29,0.02,0.05,0.36,0.13,0.07,0.32,0.99,0.252,0.32,0.406,0.726,8.5,WSH @ SEA
Randy Arozarena,Seattle Mariners,$3200,3.09,4.15,0.53,0.87,0.56,0.17,0,0.19,0.42,0.1,0,0.37,1.15,0.233,0.301,0.445,0.746,9.9,WSH @ SEA
Leody Taveras,Seattle Mariners,$2500,3.44,3.93,0.45,0.8,0.5,0.16,0.04,0.13,0.35,0.13,0.03,0.19,0.87,0.222,0.274,0.405,0.68,8.6,WSH @ SEA
Luis Garcia,Washington Nationals,$2900,3.55,4.18,0.54,1,0.62,0.19,0.01,0.2,0.45,0.1,0.02,0.26,0.69,0.258,0.309,0.471,0.78,10.3,WSH @ SEA
Keibert Ruiz,Washington Nationals,$2700,3.04,4.29,0.41,0.89,0.58,0.21,0.01,0.13,0.39,0,0,0.23,0.4,0.225,0.278,0.396,0.673,8.2,WSH @ SEA
Cal Raleigh,Seattle Mariners,$3900,2.44,4.26,0.45,0.79,0.45,0.19,0.02,0.17,0.44,0.04,0.02,0.49,1.16,0.214,0.308,0.428,0.736,9.5,WSH @ SEA
Julio Rodriguez,Seattle Mariners,$3400,2.65,4.37,0.38,1,0.78,0.18,0.01,0.09,0.36,0.12,0.01,0.37,0.93,0.252,0.319,0.388,0.706,9,WSH @ SEA
C.J. Abrams,Washington Nationals,$3600,2.89,4.62,0.45,0.95,0.56,0.27,0.01,0.11,0.39,0.29,0.04,0.29,0.98,0.226,0.29,0.372,0.662,10.4,WSH @ SEA
Robert Hassell III,Washington Nationals,$2200,2.95,3.96,0.28,0.81,0.63,0.13,0.02,0.06,0.25,0.03,0.03,0.24,1.1,0.228,0.292,0.335,0.626,6.5,WSH @ SEA
Jose Tena,Washington Nationals,$2300,3.48,3.85,0.33,0.99,0.74,0.22,0.03,0.06,0.35,0.07,0.04,0.24,0.76,0.279,0.321,0.422,0.743,8,WSH @ SEA
James Wood,Washington Nationals,$3900,2.97,4.51,0.59,1.08,0.65,0.26,0.02,0.18,0.55,0.12,0.03,0.39,1.32,0.266,0.331,0.482,0.814,11.6,WSH @ SEA
Ben Williamson,Seattle Mariners,$2500,2.44,3.71,0.26,0.74,0.56,0.18,0.01,0.05,0.32,0,0.03,0.2,0.81,0.22,0.265,0.34,0.605,6.1,WSH @ SEA
Daylen Lile,Washington Nationals,$2000,3.05,3.74,0.29,0.74,0.54,0.13,0.04,0.05,0.26,0,0.01,0.24,1.03,0.221,0.282,0.335,0.617,6.1,WSH @ SEA
Salvador Perez,Kansas City Royals,$2700,2.67,4.2,0.38,0.86,0.61,0.19,0.01,0.08,0.34,0,0.01,0.2,0.96,0.223,0.271,0.351,0.622,7.2,CIN @ KC
Austin Hays,Cincinnati Reds,$3500,3.29,4.49,0.55,1.21,0.78,0.35,0.02,0.14,0.65,0.06,0,0.22,1.23,0.29,0.332,0.499,0.831,11.5,CIN @ KC
Garrett Hampson,Cincinnati Reds,$2200,3.41,3.93,0.48,0.69,0.49,0.19,0.02,0.02,0.31,0.05,0.01,0.41,0.95,0.205,0.302,0.304,0.606,7.5,CIN @ KC
Connor Joe,Cincinnati Reds,$2200,3.64,4.15,0.44,0.93,0.71,0.22,0,0.05,0.35,0.02,0.01,0.38,0.9,0.248,0.317,0.356,0.674,8,CIN @ KC
Santiago Espinal,Cincinnati Reds,$2400,3.92,4.71,0.4,1.1,0.89,0.17,0.01,0.08,0.62,0.05,0.02,0.25,0.54,0.256,0.301,0.372,0.673,9.4,CIN @ KC
Tyler Stephenson,Cincinnati Reds,$2800,3.5,4.27,0.39,0.92,0.57,0.29,0,0.13,0.56,0.01,0.01,0.44,1.04,0.249,0.34,0.451,0.791,9.8,CIN @ KC
Jonathan India,Kansas City Royals,$2600,3.27,4.53,0.47,0.91,0.7,0.15,0.01,0.08,0.4,0.01,0.01,0.5,0.83,0.228,0.312,0.341,0.653,8.5,CIN @ KC
Kyle Isbel,Kansas City Royals,$2400,2.46,3.64,0.35,0.67,0.46,0.19,0.01,0.04,0.24,0.06,0.01,0.15,0.87,0.195,0.231,0.301,0.532,5.9,CIN @ KC
TJ Friedl,Cincinnati Reds,$2900,4.14,4.82,0.63,1.09,0.75,0.2,0.02,0.15,0.74,0.1,0.02,0.39,0.65,0.252,0.319,0.42,0.739,12,CIN @ KC
Bobby Witt Jr.,Kansas City Royals,$3900,3.44,4.42,0.65,1.14,0.61,0.28,0.04,0.22,0.53,0.31,0.03,0.33,0.86,0.282,0.339,0.539,0.878,13.4,CIN @ KC
Drew Waters,Kansas City Royals,$2500,2.68,3.97,0.31,0.77,0.49,0.24,0,0.05,0.3,0.07,0.02,0.21,1.06,0.207,0.255,0.32,0.575,6.7,CIN @ KC
Vinnie Pasquantino,Kansas City Royals,$2800,3.68,4.31,0.5,1.01,0.69,0.2,0,0.18,0.6,0,0.01,0.32,0.91,0.26,0.328,0.459,0.787,10.3,CIN @ KC
Maikel Garcia,Kansas City Royals,$3100,2.65,4.09,0.35,0.9,0.63,0.22,0.04,0.06,0.4,0.1,0.03,0.27,0.75,0.239,0.288,0.378,0.665,8.2,CIN @ KC
Michael Massey,Kansas City Royals,$2500,2.88,3.75,0.41,0.76,0.56,0.13,0,0.11,0.41,0.02,0.02,0.17,0.67,0.217,0.254,0.362,0.616,7.2,CIN @ KC
Spencer Steer,Cincinnati Reds,$2500,4.76,4.38,0.73,1.03,0.68,0.23,0.01,0.14,0.67,0.1,0.01,0.43,0.83,0.269,0.35,0.449,0.799,11.9,CIN @ KC
Matt McLain,Cincinnati Reds,$2900,3.86,4.04,0.61,0.92,0.55,0.21,0.03,0.18,0.62,0.08,0.03,0.34,1.3,0.257,0.329,0.488,0.817,11.2,CIN @ KC
Elly De La Cruz,Cincinnati Reds,$3700,2.84,4.6,0.53,0.85,0.55,0.19,0.04,0.11,0.44,0.26,0.07,0.38,1.43,0.207,0.279,0.36,0.638,10.5,CIN @ KC
John Rave,Kansas City Royals,$2000,3.5,3.86,0.33,0.79,0.59,0.18,0.02,0.03,0.45,0.01,0.01,0.27,1,0.227,0.285,0.325,0.611,7,CIN @ KC
Marcus Semien,Texas Rangers,$2800,3.29,4.12,0.49,0.86,0.56,0.19,0.02,0.14,0.46,0.04,0.02,0.33,0.89,0.232,0.297,0.423,0.72,9.2,TOR @ TEX
George Springer,Toronto Blue Jays,$2900,3.69,4.45,0.65,0.99,0.63,0.27,0.01,0.12,0.47,0.07,0.04,0.49,1,0.254,0.34,0.433,0.773,10.7,TOR @ TEX
Kyle Higashioka,Texas Rangers,$2600,3.42,3.79,0.48,0.91,0.59,0.17,0,0.17,0.47,0.02,0.01,0.21,0.88,0.258,0.308,0.459,0.767,8.9,TOR @ TEX
Anthony Santander,Toronto Blue Jays,$2700,3.96,4.23,0.53,0.86,0.47,0.16,0.02,0.25,0.63,0,0,0.36,1.03,0.23,0.306,0.499,0.805,10.7,TOR @ TEX
Adolis Garcia,Texas Rangers,$2900,3.07,3.9,0.43,0.85,0.54,0.18,0.01,0.15,0.5,0.05,0.02,0.26,1.15,0.239,0.295,0.425,0.72,8.9,TOR @ TEX
Vladimir Guerrero Jr.,Toronto Blue Jays,$3300,3.52,4.67,0.61,1.05,0.76,0.19,0,0.17,0.67,0.02,0,0.52,0.72,0.259,0.344,0.453,0.796,11.6,TOR @ TEX
Bo Bichette,Toronto Blue Jays,$2900,3.86,4.79,0.54,1.3,0.91,0.38,0.03,0.06,0.69,0.05,0.01,0.23,0.6,0.292,0.329,0.453,0.782,11.2,TOR @ TEX
