player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Cal Quantrill,Miami Marlins,0.26-0.29,$6900,3.03,0.26,0.29,3.91,1,0,4.52,4.38,2.2,1.97,0.64,1.47,3.41,1.29,,20.9,MIL @ MIA
Trevor Megill,Milwaukee Brewers,0.03-0.03,$5500,0.4,0.03,0.03,2.65,0,0.28,0.53,0.41,0.17,0.16,0.04,0.23,0.31,1.23,,2.2,MIL @ MIA
Calvin Faucher,Miami Marlins,0.02-0.02,$5500,0.27,0.02,0.02,4,0,0.22,0.4,0.37,0.19,0.18,0.02,0.18,0.23,1.39,,1.5,MIL @ MIA
Chad Patrick,Milwaukee Brewers,0.31-0.34,$8800,3.06,0.31,0.34,4.22,1,0,5.35,4.94,2.72,2.51,0.78,1.85,5.01,1.27,,26.9,MIL @ MIA
Ranger Suarez,Philadelphia Phillies,0.36-0.19,$10700,2.78,0.36,0.19,3.23,1,0,5.02,4.37,1.99,1.8,0.42,1.33,5.29,1.13,,29.7,CIN @ PHI
Jordan Romano,Philadelphia Phillies,0.03-0.03,$5500,0.25,0.03,0.03,6.95,0,0.28,0.53,0.67,0.45,0.41,0.1,0.24,0.3,1.7,,1.4,CIN @ PHI
Alexis Diaz,Cincinnati Reds,0.02-0.02,N/A,N/A,0.02,0.02,10.52,0,0.21,0.4,0.66,0.51,0.47,0.21,0.29,0.33,2.39,,0.9,CIN @ PHI
Nick Lodolo,Cincinnati Reds,0.22-0.46,$8600,2.67,0.22,0.46,4.93,1,0,5.42,5.79,3.34,2.97,0.89,1.61,4.25,1.36,,23,CIN @ PHI
Raisel Iglesias,Atlanta Braves,0.03-0.03,$5500,0.31,0.03,0.03,4.53,0,0.31,0.58,0.58,0.32,0.29,0.11,0.11,0.21,1.19,,1.7,BAL @ ATL
Aaron Bummer,Atlanta Braves,0.41-0.21,$5500,6.0,0.41,0.21,2.96,1,0,5.37,4.08,2.03,1.76,0.39,1.57,5.82,1.05,,33,BAL @ ATL
Dean Kremer,Baltimore Orioles,0.24-0.45,$8500,2.95,0.24,0.45,4.44,1,0,5.37,5.36,3.16,2.65,0.68,1.51,4.61,1.28,,25.1,BAL @ ATL
Felix Bautista,Baltimore Orioles,0.02-0.02,$5500,0.29,0.02,0.02,2.76,0,0.19,0.35,0.28,0.12,0.11,0.03,0.2,0.24,1.37,,1.6,BAL @ ATL
Aroldis Chapman,Boston Red Sox,0.02-0.03,$5500,0.35,0.02,0.03,1.75,0,0.24,0.44,0.3,0.09,0.09,0.03,0.16,0.23,1.04,,1.9,BOS @ WSH
Walker Buehler,Boston Red Sox,0.35-0.34,$7500,3.07,0.35,0.34,4.8,1,0,5.16,5.45,3.11,2.75,0.71,2.13,4.16,1.47,,23,BOS @ WSH
Kyle Finnegan,Washington Nationals,0.02-0.03,$5500,0.33,0.02,0.03,2.68,0,0.26,0.49,0.39,0.16,0.15,0.04,0.16,0.21,1.11,,1.8,BOS @ WSH
Mitchell Parker,Washington Nationals,0.34-0.38,$7400,3.05,0.34,0.38,4.73,1,0,5.16,5.5,3.04,2.71,0.77,1.92,3.83,1.44,,22.6,BOS @ WSH
Carlos Rodon,New York Yankees,0.4-0.29,$10000,3.29,0.4,0.29,3.59,1,0,5.37,4.46,2.39,2.14,0.91,2.3,6.34,1.26,,32.9,NYY @ NYM
Frankie Montas,New York Mets,0.18-0.31,$7700,2.4,0.18,0.31,4.43,1,0,3.8,3.76,2.15,1.87,0.62,1.54,3.62,1.39,,18.5,NYY @ NYM
Edwin Diaz,New York Mets,0.02-0.02,$5500,0.31,0.02,0.02,2.16,0,0.21,0.39,0.29,0.1,0.09,0.03,0.15,0.23,1.1,,1.7,NYY @ NYM
Devin Williams,New York Yankees,0.03-0.03,$5500,0.4,0.03,0.03,4.45,0,0.29,0.54,0.53,0.29,0.26,0.02,0.25,0.38,1.45,,2.2,NYY @ NYM
Michael Wacha,Kansas City Royals,0.29-0.41,$8300,2.71,0.29,0.41,5.1,1,0,5.4,5.75,3.38,3.06,1,1.63,4.02,1.37,,22.5,KC @ ARI
Carlos Estevez,Kansas City Royals,0.02-0.02,$5500,0.25,0.02,0.02,2.24,0,0.19,0.36,0.27,0.1,0.09,0.03,0.13,0.17,1.09,,1.4,KC @ ARI
A.J. Puk,Arizona Diamondbacks,0.03-0.03,$5500,0.36,0.03,0.03,3.33,0,0.3,0.57,0.49,0.23,0.21,0.12,0.15,0.24,1.13,,2,KC @ ARI
Ryne Nelson,Arizona Diamondbacks,0.33-0.22,$8700,2.79,0.33,0.22,4.31,1,0,4.64,4.18,2.46,2.23,0.56,1.39,4.44,1.2,,24.3,KC @ ARI
