player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Zack Littell,Tampa Bay Rays,0.29-0.33,$9200,2.74,0.29,0.33,4.05,1,0,5.46,4.9,2.71,2.46,0.83,1.45,4.25,1.16,,25.2,MIN @ TB
Chris Paddack,Minnesota Twins,0.29-0.36,$7800,3.19,0.29,0.36,4.36,1,0,5.36,5.4,2.79,2.59,0.79,1.54,4.39,1.3,,24.9,MIN @ TB
Pete Fairbanks,Tampa Bay Rays,0.02-0.03,$5500,0.4,0.02,0.03,2.83,0,0.25,0.47,0.38,0.16,0.15,0.02,0.21,0.36,1.26,,2.2,MIN @ TB
Jhoan Duran,Minnesota Twins,0.02-0.03,$5500,0.42,0.02,0.03,2.41,0,0.25,0.46,0.35,0.13,0.12,0.02,0.15,0.37,1.09,,2.3,MIN @ TB
Ryan Weathers,Miami Marlins,0.24-0.4,$8200,2.78,0.24,0.4,4.52,1,0,5.01,5.44,2.8,2.52,0.99,1.68,4.27,1.42,,22.8,MIA @ SD
Robert Suarez,San Diego Padres,0.03-0.03,$5500,0.47,0.03,0.03,2.62,0,0.31,0.58,0.46,0.18,0.17,0.03,0.19,0.39,1.11,,2.6,MIA @ SD
Calvin Faucher,Miami Marlins,0.02-0.02,$5500,0.29,0.02,0.02,4.22,0,0.19,0.35,0.33,0.18,0.16,0.01,0.18,0.3,1.47,,1.6,MIA @ SD
Randy Vasquez,San Diego Padres,0.39-0.25,$8400,3.18,0.39,0.25,3.33,1,0,5.44,4.95,2.26,2.01,0.73,1.55,4.09,1.19,,26.7,MIA @ SD
Andrew Heaney,Pittsburgh Pirates,0.2-0.44,$8600,2.57,0.2,0.44,5.57,1,0,5.28,5.33,3.55,3.27,0.89,1.93,4.46,1.37,,22.1,PIT @ ARI
A.J. Puk,Arizona Diamondbacks,0.03-0.03,$5500,0.47,0.03,0.03,3.26,0,0.31,0.59,0.5,0.23,0.21,0.09,0.19,0.44,1.17,,2.6,PIT @ ARI
David Bednar,Pittsburgh Pirates,0.02-0.02,$5500,0.22,0.02,0.02,5.47,0,0.18,0.34,0.38,0.23,0.21,0.05,0.13,0.22,1.49,,1.2,PIT @ ARI
Ryne Nelson,Arizona Diamondbacks,0.41-0.16,$7400,3.85,0.41,0.16,3.76,1,0,5.06,4.44,2.34,2.11,0.64,1.55,5.11,1.19,,28.5,PIT @ ARI
Kenley Jansen,Los Angeles Angels,0.02-0.02,$5500,0.25,0.02,0.02,4.11,0,0.18,0.33,0.31,0.16,0.15,0.05,0.11,0.25,1.29,,1.4,NYY @ LAA
Ryan Yarbrough,New York Yankees,0.36-0.15,$7500,2.83,0.36,0.15,3.94,1,0,4.26,3.89,2.02,1.87,0.56,1.41,3.49,1.24,,21.2,NYY @ LAA
Devin Williams,New York Yankees,0.03-0.03,$5500,0.62,0.03,0.03,3.65,0,0.32,0.6,0.54,0.26,0.24,0.01,0.34,0.73,1.45,,3.4,NYY @ LAA
Jack Kochanowicz,Los Angeles Angels,0.11-0.37,$7600,2.07,0.11,0.37,5.51,1,0,4.32,4.98,2.91,2.64,0.74,1.82,3.02,1.57,,15.7,NYY @ LAA
Tanner Scott,Los Angeles Dodgers,0.03-0.03,$5500,0.45,0.03,0.03,2.57,0,0.3,0.56,0.43,0.17,0.16,0.06,0.17,0.36,1.07,,2.5,LAD @ CLE
Emmanuel Clase,Cleveland Guardians,0.02-0.02,$5500,0.31,0.02,0.02,2.51,0,0.2,0.38,0.29,0.11,0.1,0.01,0.07,0.23,0.95,,1.7,LAD @ CLE
Gavin Williams,Cleveland Guardians,0.27-0.35,$8500,3.28,0.27,0.35,4.17,1,0,5.18,4.61,2.55,2.4,0.56,2.29,5.36,1.33,,27.9,LAD @ CLE
Yoshinobu Yamamoto,Los Angeles Dodgers,0.35-0.28,$10600,2.92,0.35,0.28,3.55,1,0,5.25,4.59,2.34,2.07,0.5,1.81,5.84,1.22,,31,LAD @ CLE
