player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Jose Iglesias,San Diego Padres,$2300,2.96,3.89,0.31,0.99,0.85,0.12,0.02,0.04,0.21,0.05,0.02,0.24,0.51,0.278,0.33,0.371,0.701,6.8,PHI @ SD
Martin Maldonado,San Diego Padres,$2100,2.86,3.67,0.24,0.65,0.48,0.13,0,0.08,0.35,0,0,0.24,1.26,0.193,0.251,0.309,0.56,6,PHI @ SD
Bryce Harper,Philadelphia Phillies,$3800,3.26,4.57,0.61,1.02,0.6,0.2,0.03,0.21,0.47,0.12,0.02,0.72,0.89,0.269,0.391,0.512,0.903,12.4,PHI @ SD
Manny Machado,San Diego Padres,$3300,2.88,4.34,0.38,1,0.67,0.21,0.01,0.15,0.46,0.06,0.01,0.31,1.02,0.255,0.318,0.44,0.757,9.5,PHI @ SD
Xander Bogaerts,San Diego Padres,$2900,2.41,4.11,0.39,0.85,0.69,0.12,0.01,0.05,0.22,0.09,0.04,0.28,0.63,0.228,0.287,0.316,0.603,7,PHI @ SD
Nick Castellanos,Philadelphia Phillies,$3100,3.42,4.35,0.5,1.05,0.7,0.17,0.03,0.22,0.48,0.06,0.02,0.24,0.93,0.261,0.313,0.505,0.817,10.6,PHI @ SD
J.T. Realmuto,Philadelphia Phillies,$2900,2.9,4.24,0.39,1.03,0.83,0.11,0.04,0.1,0.37,0.04,0.03,0.3,0.88,0.266,0.317,0.406,0.723,8.4,PHI @ SD
Kyle Schwarber,Philadelphia Phillies,$4300,3.05,4.68,0.69,0.89,0.44,0.21,0.01,0.28,0.63,0.05,0.01,0.72,1.32,0.228,0.357,0.519,0.876,13.1,PHI @ SD
Trea Turner,Philadelphia Phillies,$3700,3.24,4.79,0.58,1.23,0.81,0.25,0.03,0.16,0.38,0.21,0.05,0.43,0.84,0.287,0.356,0.482,0.838,12,PHI @ SD
Edmundo Sosa,Philadelphia Phillies,$2500,3.24,4.02,0.33,0.92,0.5,0.29,0.07,0.08,0.35,0,0.02,0.23,0.79,0.254,0.311,0.447,0.758,8.1,PHI @ SD
Fernando Tatis Jr.,San Diego Padres,$3700,3.24,4.56,0.47,1.01,0.64,0.18,0.04,0.19,0.62,0.18,0.04,0.5,0.93,0.255,0.342,0.48,0.822,12,PHI @ SD
Luis Arraez,San Diego Padres,$2700,3.0,4.22,0.39,1.17,0.93,0.24,0.02,0.05,0.29,0.05,0.02,0.15,0.55,0.292,0.319,0.415,0.734,8.1,PHI @ SD
Jake Cronenworth,San Diego Padres,$2800,2.89,3.78,0.33,0.81,0.56,0.14,0,0.12,0.35,0.06,0.03,0.45,0.75,0.247,0.342,0.407,0.749,8.1,PHI @ SD
Alec Bohm,Philadelphia Phillies,$2800,2.96,4.46,0.46,1.06,0.77,0.18,0.02,0.09,0.38,0.02,0.02,0.24,0.86,0.255,0.295,0.371,0.666,8.3,PHI @ SD
Gavin Sheets,San Diego Padres,$2800,2.79,4,0.31,0.81,0.54,0.13,0,0.16,0.41,0.01,0.02,0.24,0.94,0.224,0.283,0.4,0.683,7.8,PHI @ SD
Johan Rojas,Philadelphia Phillies,$2300,2.43,3.91,0.25,0.65,0.56,0.09,0.01,0.02,0.11,0.14,0.02,0.24,0.98,0.182,0.25,0.241,0.491,5.6,PHI @ SD
Jackson Merrill,San Diego Padres,$2900,2.59,4.45,0.34,0.96,0.72,0.21,0.01,0.06,0.23,0.01,0.02,0.36,1.05,0.243,0.318,0.36,0.678,7.5,PHI @ SD
Otto Kemp,Philadelphia Phillies,$2500,3.12,4.13,0.37,0.86,0.6,0.2,0.03,0.04,0.4,0.05,0.02,0.28,1.12,0.231,0.301,0.343,0.644,7.8,PHI @ SD
Paul Goldschmidt,New York Yankees,$2900,3.03,4.07,0.54,0.93,0.66,0.23,0,0.1,0.4,0.03,0.03,0.26,0.63,0.25,0.306,0.403,0.709,8.8,CHC @ NYY
Giancarlo Stanton,New York Yankees,$3100,3.03,4.29,0.53,0.83,0.5,0.19,0.01,0.15,0.55,0,0.01,0.41,1.25,0.218,0.297,0.394,0.691,9.4,CHC @ NYY
Aaron Judge,New York Yankees,$4800,2.83,4.51,0.7,1.12,0.79,0.13,0,0.24,0.73,0.13,0.03,0.54,0.94,0.295,0.396,0.532,0.928,13.6,CHC @ NYY
Dansby Swanson,Chicago Cubs,$2900,4.0,4.29,0.63,0.94,0.62,0.15,0.01,0.21,0.73,0.07,0.01,0.35,1.07,0.244,0.311,0.465,0.777,11.6,CHC @ NYY
Carson Kelly,Chicago Cubs,$2700,3.78,4.18,0.42,0.97,0.59,0.25,0.01,0.17,0.52,0,0,0.45,0.91,0.268,0.363,0.499,0.861,10.2,CHC @ NYY
Cody Bellinger,New York Yankees,$3000,3.43,4.4,0.52,1.02,0.69,0.18,0.03,0.14,0.53,0.08,0.01,0.35,0.65,0.259,0.322,0.435,0.756,10.3,CHC @ NYY
Ian Happ,Chicago Cubs,$3200,3.56,4.74,0.62,0.84,0.56,0.14,0.01,0.16,0.57,0.08,0.02,0.67,1.11,0.215,0.35,0.384,0.734,11.4,CHC @ NYY
Kyle Tucker,Chicago Cubs,$4000,3.33,4.62,0.78,0.91,0.45,0.24,0.01,0.22,0.68,0.13,0.01,0.68,0.75,0.238,0.354,0.488,0.842,13.3,CHC @ NYY
Nico Hoerner,Chicago Cubs,$2800,3.46,3.96,0.6,1.12,0.91,0.23,0.02,0.04,0.28,0.22,0.05,0.21,0.42,0.313,0.357,0.442,0.799,9.7,CHC @ NYY
Jazz Chisholm,New York Yankees,$3900,3.03,4.18,0.59,0.97,0.52,0.17,0.06,0.25,0.6,0.08,0.03,0.38,1.22,0.258,0.33,0.551,0.881,11.8,CHC @ NYY
Seiya Suzuki,Chicago Cubs,$3700,3.27,4.51,0.56,1,0.54,0.22,0.01,0.3,0.67,0.02,0.02,0.33,1.36,0.245,0.311,0.547,0.858,12.1,CHC @ NYY
Oswald Peraza,New York Yankees,$2100,2.81,3.73,0.33,0.6,0.42,0.17,0,0.05,0.29,0.02,0.02,0.24,1.04,0.178,0.241,0.28,0.521,5.9,CHC @ NYY
Anthony Volpe,New York Yankees,$2700,3.37,3.85,0.53,0.86,0.61,0.17,0.02,0.12,0.38,0.07,0.02,0.32,0.83,0.251,0.322,0.432,0.754,9.1,CHC @ NYY
Michael Busch,Chicago Cubs,$3400,3.56,4.07,0.59,1.01,0.56,0.28,0.03,0.23,0.6,0.05,0.07,0.42,1.05,0.284,0.371,0.595,0.966,12.1,CHC @ NYY
Jasson Dominguez,New York Yankees,$3300,3.7,4.62,0.75,1.05,0.71,0.19,0.05,0.12,0.53,0.15,0.03,0.49,1.21,0.264,0.359,0.429,0.787,12.2,CHC @ NYY
Austin Wells,New York Yankees,$3000,3.57,3.96,0.55,0.84,0.44,0.22,0,0.24,0.57,0.02,0.01,0.36,0.89,0.241,0.321,0.532,0.853,10.7,CHC @ NYY
Pete Crow-Armstrong,Chicago Cubs,$4200,2.74,4.4,0.54,0.93,0.56,0.22,0.03,0.2,0.51,0.2,0.05,0.34,1.15,0.23,0.295,0.474,0.769,11.5,CHC @ NYY
Matt Shaw,Chicago Cubs,$2500,3.56,3.85,0.55,0.82,0.6,0.17,0.02,0.07,0.33,0.14,0.05,0.37,0.89,0.246,0.331,0.389,0.72,8.9,CHC @ NYY
Christian Yelich,Milwaukee Brewers,$3400,3.65,4.35,0.66,1.07,0.69,0.2,0.03,0.19,0.56,0.18,0.07,0.44,1.08,0.28,0.354,0.512,0.866,12.4,WSH @ MIL
Josh Bell,Washington Nationals,$2700,3.07,4.41,0.41,0.93,0.71,0.16,0,0.12,0.35,0,0,0.4,0.9,0.233,0.303,0.384,0.686,8.3,WSH @ MIL
Nathaniel Lowe,Washington Nationals,$3200,2.69,4.3,0.46,0.91,0.59,0.25,0,0.1,0.44,0.01,0,0.32,1.21,0.233,0.291,0.384,0.676,8.6,WSH @ MIL
