Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
120000-119340,P,Tarik,Tarik Skubal,Skubal,43.92307692307692,26,11200,DET@KC,DET,KC,,,,Yes,,P
120000-135977,P,Garrett,Garrett Crochet,Crochet,43.592592592592595,27,11000,PIT@BOS,BOS,PIT,,,,,,P
120000-146687,P,Hunter,Hunter Brown,Brown,38.57692307692308,26,10800,LAA@HOU,HOU,LAA,,,,Yes,,P
120000-197980,P,Paul,Paul Skenes,Skenes,38.357142857142854,28,10700,PIT@BOS,PIT,BOS,,,,,,P
120000-187194,P,Bryan,Bryan Woo,Woo,37.84615384615385,26,10500,SEA@CLE,SEA,CLE,,,,,,P
120000-119329,P,Nick,Nick Lodolo,Lodolo,31.208333333333332,24,10400,STL@CIN,CIN,STL,,,,,,P
120000-82550,P,Hunter,Hunter Greene,Greene,35.642857142857146,14,10400,STL@CIN,CIN,STL,,,,,,P
120000-85599,P,Framber,Framber Valdez,Valdez,36.03846153846154,26,10400,LAA@HOU,HOU,LAA,,,,,,P
120000-119414,P,George,George Kirby,Kirby,31.666666666666668,18,10200,SEA@CLE,SEA,CLE,,,,,,P
120000-79091,P,Dylan,Dylan Cease,Cease,30.037037037037038,27,10100,SD@MIN,SD,MIN,,,,,,P
120000-102396,P,Logan,Logan Gilbert,Gilbert,33.1,20,10100,SEA@CLE,SEA,CLE,,,,,,P
120000-83190,P,Freddy,Freddy Peralta,Peralta,34.892857142857146,28,10000,MIL@TOR,MIL,TOR,,,,,,P
120000-80582,P,Brandon,Brandon Woodruff,Woodruff,37.333333333333336,9,9800,MIL@TOR,MIL,TOR,,,,Yes,,P
120000-82635,P,MacKenzie,MacKenzie Gore,Gore,31.22222222222222,27,9800,TB@WSH,WSH,TB,IL,Shoulder,,,,P
120000-83152,P,Pablo,Pablo Lopez,Lopez,31.818181818181817,11,9800,SD@MIN,MIN,SD,IL,Shoulder,,,,P
120000-119430,P,Joe,Joe Ryan,Ryan,35.23076923076923,26,9700,SD@MIN,MIN,SD,,,,Yes,,P
120000-79951,P,Nick,Nick Pivetta,Pivetta,35.888888888888886,27,9600,SD@MIN,SD,MIN,,,,,,P
120000-198912,P,Will,Will Warren,Warren,26,28,9600,NYY@CWS,NYY,CWS,,,,,,P
120000-82621,P,Clarke,Clarke Schmidt,Schmidt,30,14,9600,NYY@CWS,NYY,CWS,IL,Elbow,,,,P
120000-102001,P,Yusei,Yusei Kikuchi,Kikuchi,29.178571428571427,28,9600,LAA@HOU,LAA,HOU,,,,,,P
120000-102330,P,Kris,Kris Bubic,Bubic,34.5,20,9600,DET@KC,KC,DET,IL,Shoulder,,,,P
120000-52185,P,Max,Max Fried,Fried,34.48148148148148,27,9500,NYY@CWS,NYY,CWS,,,,,,P
120000-60633,P,Carlos,Carlos Rodon,Rodon,35.42857142857143,28,9500,NYY@CWS,NYY,CWS,,,,,,P
120000-82599,P,Edward,Edward Cabrera,Cabrera,30.125,24,9400,MIA@NYM,MIA,NYM,,,,,,P
120000-17064,P,Sonny,Sonny Gray,Gray,32.148148148148145,27,9400,STL@CIN,STL,CIN,,,,,,P
120000-197981,P,Jacob,Jacob Misiorowski,Misiorowski,29.5,10,9400,MIL@TOR,MIL,TOR,,,,,,P
120000-219653,P,Logan,Logan Henderson,Henderson,36.4,5,9300,MIL@TOR,MIL,TOR,IL,Elbow,,,,P
120000-119361,P,Drew,Drew Rasmussen,Rasmussen,27.153846153846153,26,9300,TB@WSH,TB,WSH,,,,,,P
120000-82554,P,Shane,Shane Bieber,Bieber,40,2,9300,MIL@TOR,TOR,MIL,,,,,,P
120000-82618,P,David,David Peterson,Peterson,30.346153846153847,26,9300,MIA@NYM,NYM,MIA,,,,,,P
120000-79270,P,Cole,Cole Ragans,Ragans,31,10,9300,DET@KC,KC,DET,IL,Shoulder,,,,P
120000-102407,P,Shane,Shane McClanahan,McClanahan,0,1,9200,TB@WSH,TB,WSH,IL,Triceps,,,,P
120000-135343,P,Max,Max Meyer,Meyer,27.833333333333332,12,9200,MIA@NYM,MIA,NYM,IL,Hip,,,,P
120000-219697,P,Noah,Noah Cameron,Cameron,28.31578947368421,19,9200,DET@KC,KC,DET,,,,,,P
120000-52198,P,Lucas,Lucas Giolito,Giolito,29.666666666666668,21,9200,PIT@BOS,BOS,PIT,,,,Yes,,P
120000-53067,P,Chris,Chris Bassitt,Bassitt,28.321428571428573,28,9200,MIL@TOR,TOR,MIL,,,,,,P
120000-117232,P,Michael,Michael King,King,31.454545454545453,11,9100,SD@MIN,SD,MIN,IL,Knee,,,,P
120000-85253,P,Casey,Casey Mize,Mize,27.130434782608695,23,9100,DET@KC,DET,KC,,,,,,P
