player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Marcus Stroman,New York Yankees,0.23-0.24,$6800,2.57,0.23,0.24,5.45,1,0,4.03,4.15,2.68,2.44,0.73,1.67,3.44,1.45,,17.5,OAK @ NYY
Luis Severino,Oakland Athletics,0.33-0.32,$7400,2.99,0.33,0.32,5.44,1,0,5.5,6.17,3.69,3.33,0.78,2.15,4.02,1.51,,22.1,OAK @ NYY
Devin Williams,New York Yankees,0.03-0.03,$5500,0.4,0.03,0.03,3.94,0,0.29,0.53,0.49,0.25,0.23,0.02,0.23,0.39,1.35,,2.2,OAK @ NYY
Mason Miller,Oakland Athletics,0.02-0.02,$5500,0.31,0.02,0.02,4.3,0,0.21,0.4,0.38,0.21,0.19,0.05,0.19,0.33,1.45,,1.7,OAK @ NYY
German Marquez,Colorado Rockies,0.25-0.44,$7100,2.79,0.25,0.44,5.5,1,0,5.04,5.5,3.41,3.08,0.87,1.83,3.7,1.45,,19.8,COL @ MIL
Tyler Kinley,Colorado Rockies,0.02-0.02,$5500,0.18,0.02,0.02,6.77,0,0.16,0.3,0.37,0.25,0.23,0.04,0.19,0.23,1.87,,1,COL @ MIL
Trevor Megill,Milwaukee Brewers,0.03-0.04,$5500,0.49,0.03,0.04,2.63,0,0.34,0.63,0.49,0.2,0.18,0.03,0.28,0.4,1.23,,2.7,COL @ MIL
Chad Patrick,Milwaukee Brewers,0.45-0.22,$8600,3.55,0.45,0.22,3.49,1,0,5.36,4.5,2.29,2.08,0.5,1.6,5.32,1.14,,30.5,COL @ MIL
Aroldis Chapman,Boston Red Sox,0.02-0.02,$5500,0.35,0.02,0.02,1.93,0,0.23,0.42,0.3,0.1,0.09,0.03,0.16,0.25,1.09,,1.9,TOR @ BOS
Jeff Hoffman,Toronto Blue Jays,0.03-0.03,$5500,0.33,0.03,0.03,4.45,0,0.27,0.51,0.5,0.27,0.25,0.11,0.15,0.29,1.28,,1.8,TOR @ BOS
Walker Buehler,Boston Red Sox,0.23-0.39,$7600,2.71,0.23,0.39,5.96,1,0,5.13,5.42,3.81,3.39,0.97,2.09,4.22,1.46,,20.6,TOR @ BOS
Eric Lauer,Toronto Blue Jays,0.34-0.29,$8300,2.72,0.34,0.29,5.13,1,0,4.73,4.59,2.95,2.7,0.79,1.58,4.34,1.3,,22.6,TOR @ BOS
Justin Verlander,San Francisco Giants,0.28-0.33,$7900,3.1,0.28,0.33,4.4,1,0,5.22,5.17,2.83,2.55,0.74,1.78,4.51,1.33,,24.5,SF @ CHW
Ryan Walker,San Francisco Giants,0.02-0.03,$5500,0.31,0.02,0.03,3.61,0,0.26,0.48,0.43,0.21,0.19,0.03,0.12,0.24,1.14,,1.7,SF @ CHW
Jordan Leasure,Chicago White Sox,0.02-0.03,$5500,0.27,0.02,0.03,4.84,0,0.24,0.45,0.46,0.26,0.24,0.08,0.23,0.26,1.54,,1.5,SF @ CHW
Jonathan Cannon,Chicago White Sox,0.26-0.31,$7500,2.97,0.26,0.31,4.21,1,0,4.83,4.41,2.49,2.26,0.64,1.68,3.87,1.26,,22.3,SF @ CHW
Pete Fairbanks,Tampa Bay Rays,0.03-0.03,$5500,0.4,0.03,0.03,2.39,0,0.28,0.51,0.39,0.15,0.14,0.01,0.22,0.29,1.18,,2.2,TB @ BAL
Dean Kremer,Baltimore Orioles,0.33-0.3,$8200,3.1,0.33,0.3,4.08,1,0,5.37,5.13,2.59,2.44,0.96,1.71,4.28,1.27,,25.4,TB @ BAL
Felix Bautista,Baltimore Orioles,0.02-0.02,$5500,0.35,0.02,0.02,2.76,0,0.22,0.42,0.33,0.14,0.13,0.03,0.23,0.29,1.35,,1.9,TB @ BAL
