player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Manny Machado,San Diego Padres,$3500,3.46,4.47,0.63,1.19,0.79,0.24,0.02,0.2,0.57,0.1,0.02,0.32,0.7,0.295,0.35,0.534,0.884,12.1,SD @ CHC
Xander Bogaerts,San Diego Padres,$2800,3.04,4.24,0.59,0.84,0.62,0.16,0.01,0.08,0.24,0.11,0.02,0.39,0.8,0.225,0.302,0.342,0.644,8.5,SD @ CHC
Dansby Swanson,Chicago Cubs,$2900,2.97,3.76,0.45,0.77,0.44,0.18,0.01,0.16,0.42,0.09,0.01,0.18,1.08,0.224,0.271,0.423,0.695,8.6,SD @ CHC
Carson Kelly,Chicago Cubs,$2700,3.96,3.98,0.5,0.9,0.45,0.3,0.03,0.2,0.53,0.01,0.02,0.39,1.01,0.255,0.336,0.545,0.881,10.7,SD @ CHC
Ian Happ,Chicago Cubs,$3300,3.67,4.31,0.56,0.85,0.49,0.16,0,0.28,0.67,0.06,0.01,0.58,1.19,0.234,0.342,0.529,0.87,12.1,SD @ CHC
Kyle Tucker,Chicago Cubs,$3800,2.95,4.2,0.68,0.89,0.46,0.22,0.03,0.2,0.52,0.06,0.02,0.43,0.77,0.244,0.327,0.488,0.815,11.2,SD @ CHC
Ryan O'Hearn,San Diego Padres,$3000,2.4,4.02,0.39,0.9,0.68,0.19,0.01,0.08,0.34,0,0.02,0.14,1.14,0.24,0.274,0.376,0.649,7.2,SD @ CHC
Fernando Tatis Jr.,San Diego Padres,$4100,3.02,4.69,0.7,0.99,0.71,0.19,0.03,0.15,0.59,0.16,0.02,0.58,0.85,0.247,0.34,0.439,0.779,12.4,SD @ CHC
Luis Arraez,San Diego Padres,$2700,3.15,4.58,0.39,1.26,1.1,0.17,0.01,0.04,0.32,0.12,0.1,0.15,0.55,0.288,0.315,0.369,0.683,8.5,SD @ CHC
Nico Hoerner,Chicago Cubs,$3000,3.73,4.42,0.6,1.22,0.98,0.18,0.06,0.07,0.45,0.22,0.08,0.27,0.41,0.307,0.359,0.456,0.815,11.2,SD @ CHC
Jake Cronenworth,San Diego Padres,$2700,2.41,3.91,0.3,0.69,0.56,0.13,0,0.05,0.32,0.03,0,0.35,0.79,0.2,0.278,0.296,0.575,6.5,SD @ CHC
Gavin Sheets,San Diego Padres,$2800,3.04,4.13,0.41,0.82,0.56,0.16,0.02,0.13,0.46,0,0.01,0.38,0.65,0.222,0.294,0.388,0.682,8.5,SD @ CHC
Seiya Suzuki,Chicago Cubs,$3600,3.14,4.09,0.57,0.8,0.44,0.12,0,0.25,0.68,0.09,0.01,0.46,1.15,0.223,0.315,0.469,0.784,11.3,SD @ CHC
Freddy Fermin,San Diego Padres,$2500,2.4,3.8,0.33,0.82,0.64,0.18,0.01,0.02,0.27,0,0.02,0.18,0.66,0.232,0.276,0.317,0.592,6,SD @ CHC
Michael Busch,Chicago Cubs,$3300,4.27,4.54,0.76,1.08,0.59,0.2,0.04,0.29,0.88,0.04,0.01,0.48,1.13,0.271,0.353,0.571,0.924,14.1,SD @ CHC
Pete Crow-Armstrong,Chicago Cubs,$3500,2.94,3.87,0.5,0.89,0.5,0.22,0.01,0.21,0.49,0.14,0.01,0.21,0.85,0.246,0.289,0.505,0.794,10.3,SD @ CHC
Jackson Merrill,San Diego Padres,$3300,2.52,4.35,0.36,1,0.66,0.28,0,0.1,0.42,0,0.01,0.21,0.79,0.246,0.289,0.4,0.689,8.3,SD @ CHC
Matt Shaw,Chicago Cubs,$2800,2.89,3.65,0.38,0.67,0.44,0.17,0,0.11,0.47,0.06,0.05,0.33,0.72,0.209,0.296,0.384,0.681,8.1,SD @ CHC
Jose Ramirez,Cleveland Guardians,$3900,3.21,4.25,0.6,1.03,0.57,0.22,0.04,0.22,0.66,0.21,0.07,0.26,0.77,0.262,0.315,0.514,0.829,12.5,DET @ CLE
Javier Baez,Detroit Tigers,$2600,3.46,3.94,0.47,0.92,0.61,0.22,0.04,0.11,0.41,0.11,0.03,0.16,1.28,0.249,0.285,0.438,0.723,9,DET @ CLE
