player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Pete Fairbanks,Tampa Bay Rays,0.03-0.04,$5500,0.4,0.03,0.04,3.21,0,0.34,0.64,0.54,0.25,0.23,0.08,0.2,0.26,1.16,,2.2,TB @ CHW
Jordan Leasure,Chicago White Sox,0.01-0.02,$5500,0.18,0.01,0.02,4.25,0,0.15,0.29,0.28,0.15,0.14,0.05,0.15,0.16,1.47,,1,TB @ CHW
Jose Berrios,Toronto Blue Jays,0.37-0.22,$8100,3.02,0.37,0.22,4.36,1,0,4.98,4.81,2.63,2.42,0.78,1.67,4.42,1.3,,24.5,HOU @ TOR
Jeff Hoffman,Toronto Blue Jays,0.03-0.03,$5500,0.33,0.03,0.03,4.32,0,0.27,0.51,0.49,0.26,0.24,0.11,0.17,0.26,1.31,,1.8,HOU @ TOR
Josh Hader,Houston Astros,0.02-0.02,$5500,0.31,0.02,0.02,2.31,0,0.23,0.42,0.32,0.12,0.11,0.07,0.14,0.21,1.07,,1.7,HOU @ TOR
Jason Alexander,Houston Astros,0.22-0.41,$7100,3.06,0.22,0.41,5.85,1,0,5.05,5.61,3.64,3.28,1.07,1.99,4.6,1.51,,21.7,HOU @ TOR
Nick Pivetta,San Diego Padres,0.42-0.22,$10000,3.72,0.42,0.22,2.53,1,0,5.79,4.46,1.8,1.63,0.68,1.47,6.63,1.02,,37.2,CIN @ SD
Andrew Abbott,Cincinnati Reds,0.24-0.45,$9200,3.03,0.24,0.45,3.9,1,0,5.53,5.22,2.63,2.4,0.98,1.78,5.18,1.26,,27.9,CIN @ SD
Felipe Vazquez,Pittsburgh Pirates,0.03-0.03,N/A,N/A,0.03,0.03,3.3,0,0.3,0.56,0.48,0.22,0.2,0.05,0.2,0.25,1.22,,2,PIT @ BAL
Tyler Wells,Baltimore Orioles,0.21-0.44,$7600,3.33,0.21,0.44,4.22,1,0,5.17,4.85,2.78,2.42,0.96,1.68,4.75,1.26,,25.3,PIT @ BAL
Felix Bautista,Baltimore Orioles,0.02-0.02,$5500,0.31,0.02,0.02,2.7,0,0.2,0.38,0.3,0.12,0.11,0.03,0.23,0.27,1.41,,1.7,PIT @ BAL
Paul Skenes,Pittsburgh Pirates,0.45-0.21,$10800,3.33,0.45,0.21,2.76,1,0,5.64,4.72,2.02,1.73,0.42,1.58,6.5,1.12,,36,PIT @ BAL
Blake Snell,Los Angeles Dodgers,0.46-0.2,$9100,3.66,0.46,0.2,2.8,1,0,5.43,4.48,1.95,1.69,0.43,1.96,5.84,1.19,,33.3,COL @ LAD
Kyle Freeland,Colorado Rockies,0.21-0.45,$6700,2.76,0.21,0.45,5.04,1,0,4.75,5.48,2.91,2.66,0.85,1.56,3.25,1.48,,18.5,COL @ LAD
Jake Irvin,Washington Nationals,0.31-0.35,$6400,3.34,0.31,0.35,5.04,1,0,5.11,5.45,3.17,2.86,0.85,1.86,3.8,1.43,,21.4,WSH @ MIA
Eury Perez,Miami Marlins,0.31-0.29,$7200,3.24,0.31,0.29,4.33,1,0,4.87,4.98,2.56,2.35,0.88,1.64,4.23,1.36,,23.3,WSH @ MIA
Chris Sale,Atlanta Braves,0.37-0.31,$10700,3.2,0.37,0.31,3.63,1,0,5.51,4.5,2.45,2.22,0.63,1.62,6.67,1.11,,34.2,CHC @ ATL
Ryan Pressly,Chicago Cubs,0.02-0.02,N/A,N/A,0.02,0.02,4.23,0,0.23,0.42,0.41,0.22,0.2,0.06,0.16,0.21,1.34,,1.4,CHC @ ATL
Jameson Taillon,Chicago Cubs,0.27-0.29,$8800,2.22,0.27,0.29,4.64,1,0,4.58,4.53,2.7,2.36,0.65,1.29,3.26,1.27,,19.5,CHC @ ATL
Alexis Diaz,Atlanta Braves,0.03-0.03,$5500,0.24,0.03,0.03,8.4,0,0.27,0.51,0.72,0.51,0.47,0.17,0.31,0.35,2.04,,1.3,CHC @ ATL
Carlos Estevez,Kansas City Royals,0.02-0.03,$5500,0.31,0.02,0.03,2.49,0,0.24,0.46,0.35,0.14,0.13,0.04,0.15,0.2,1.09,,1.7,KC @ CLE
Emmanuel Clase,Cleveland Guardians,0.02-0.03,$5500,0.29,0.02,0.03,2.84,0,0.25,0.47,0.38,0.16,0.15,0.02,0.11,0.17,1.04,,1.6,KC @ CLE
Jonathan Bowlan,Kansas City Royals,0.11-0.19,$5500,2.87,0.11,0.19,4.16,1,0,3.21,2.99,1.64,1.49,0.34,1.39,3.01,1.36,,15.8,KC @ CLE
Logan Allen,Cleveland Guardians,0.31-0.2,$6900,4.23,0.31,0.2,3.21,1,0,5.72,4.95,2.31,2.04,0.53,1.98,4.63,1.21,,29.2,KC @ CLE
Logan Gilbert,Seattle Mariners,0.45-0.23,$10200,3.4,0.45,0.23,3.13,1,0,5.47,4.51,2.04,1.9,0.64,1.31,6.4,1.06,,34.7,STL @ SEA
