Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
118290-101839,P,Logan,Logan Webb,Webb,40.35294117647059,17,11000,SF@CWS,SF,CWS,,,,,,P
118290-135977,P,Garrett,Garrett Crochet,Crochet,43.76470588235294,17,10800,TOR@BOS,BOS,TOR,,,,,,P
118290-197980,P,Paul,Paul Skenes,Skenes,37.94117647058823,17,10800,NYM@PIT,PIT,NYM,,,,,,P
118290-53029,P,Robbie,Robbie Ray,Ray,36.875,16,10600,SF@CWS,SF,CWS,,,,Yes,,P
118290-198625,P,Yoshinobu,Yoshinobu Yamamoto,Yamamoto,35.75,16,10500,LAD@KC,LAD,KC,,,,,,P
118290-102396,P,Logan,Logan Gilbert,Gilbert,33.333333333333336,9,10500,SEA@TEX,SEA,TEX,,,,,,P
118290-182153,P,Kodai,Kodai Senga,Senga,35.46153846153846,13,10400,NYM@PIT,NYM,PIT,IL,Hamstring,,,,P
118290-79091,P,Dylan,Dylan Cease,Cease,31.11764705882353,17,10300,SD@CIN,SD,CIN,,,,,,P
118290-187194,P,Bryan,Bryan Woo,Woo,36,15,10200,SEA@TEX,SEA,TEX,,,,Yes,,P
118290-13233,P,Nathan,Nathan Eovaldi,Eovaldi,34.84615384615385,13,10200,SEA@TEX,TEX,SEA,,,,,,P
118290-52183,P,Tyler,Tyler Glasnow,Glasnow,21.2,5,10200,LAD@KC,LAD,KC,IL,Shoulder,,,,P
118290-117232,P,Michael,Michael King,King,34.3,10,10000,SD@CIN,SD,CIN,IL,Shoulder,,,,P
118290-17064,P,Sonny,Sonny Gray,Gray,35.1875,16,10000,STL@CLE,STL,CLE,,,,,,P
118290-68488,P,Blake,Blake Snell,Snell,19.5,2,10000,LAD@KC,LAD,KC,IL,Shoulder,,,,P
118290-52859,P,Jacob,Jacob deGrom,deGrom,36.625,16,10000,SEA@TEX,TEX,SEA,,,,,,P
118290-185606,P,Gavin,Gavin Stone,Stone,28.4,25,9900,LAD@KC,LAD,KC,IL,Shoulder,,,,P
118290-101881,P,Merrill,Merrill Kelly,Kelly,32.8235294117647,17,9900,MIA@ARI,ARI,MIA,,,,,,P
118290-165512,P,Andrew,Andrew Abbott,Abbott,35.30769230769231,13,9800,SD@CIN,CIN,SD,,,,Yes,,P
118290-102330,P,Kris,Kris Bubic,Bubic,38.06666666666667,15,9800,LAD@KC,KC,LAD,,,,,,P
118290-135647,P,Ryan,Ryan Pepiot,Pepiot,31,17,9700,TB@BAL,TB,BAL,,,,,,P
118290-82550,P,Hunter,Hunter Greene,Greene,35.27272727272727,11,9700,SD@CIN,CIN,SD,IL,Groin,,,,P
118290-82604,P,Corbin,Corbin Burnes,Burnes,33.72727272727273,11,9600,MIA@ARI,ARI,MIA,IL,Elbow,,,,P
118290-83190,P,Freddy,Freddy Peralta,Peralta,32.64705882352941,17,9600,COL@MIL,MIL,COL,,,,,,P
118290-53067,P,Chris,Chris Bassitt,Bassitt,31.375,16,9500,TOR@BOS,TOR,BOS,,,,Yes,,P
118290-102294,P,Grayson,Grayson Rodriguez,Rodriguez,35.6,20,9500,TB@BAL,BAL,TB,IL,Lat,,,,P
118290-11328,P,Martin,Martin Perez,Perez,26.75,4,9400,SF@CWS,CWS,SF,IL,Elbow,,,,P
118290-197981,P,Jacob,Jacob Misiorowski,Misiorowski,40.333333333333336,3,9400,COL@MIL,MIL,COL,,,,,,P
118290-219653,P,Logan,Logan Henderson,Henderson,40,4,9300,COL@MIL,MIL,COL,,,,,,P
118290-79270,P,Cole,Cole Ragans,Ragans,31,10,9300,LAD@KC,KC,LAD,IL,Shoulder,,,,P
118290-102407,P,Shane,Shane McClanahan,McClanahan,0,1,9200,TB@BAL,TB,BAL,IL,Triceps,,,,P
118290-135343,P,Max,Max Meyer,Meyer,27.833333333333332,12,9200,MIA@ARI,MIA,ARI,IL,Hip,,,,P
118290-82554,P,Shane,Shane Bieber,Bieber,58,5,9200,STL@CLE,CLE,STL,IL,Elbow,,,,P
118290-82618,P,David,David Peterson,Peterson,31,16,9200,NYM@PIT,NYM,PIT,,,,,,P
118290-60639,P,Jose,Jose Berrios,Berrios,31.176470588235293,17,9100,TOR@BOS,TOR,BOS,,,,,,P
118290-79109,P,Tyler,Tyler Mahle,Mahle,28.785714285714285,14,9100,SEA@TEX,TEX,SEA,IL,Shoulder,,,,P
118290-79951,P,Nick,Nick Pivetta,Pivetta,34.875,16,9000,SD@CIN,SD,CIN,,,,,,P
118290-119329,P,Nick,Nick Lodolo,Lodolo,29.125,16,9000,SD@CIN,CIN,SD,,,,,,P
118290-80582,P,Brandon,Brandon Woodruff,Woodruff,,0,9000,COL@MIL,MIL,COL,IL,Elbow,,,,P
118290-38000,P,Kevin,Kevin Gausman,Gausman,30.5,16,9000,TOR@BOS,TOR,BOS,,,,,,P
118290-79232,P,Clay,Clay Holmes,Holmes,29.625,16,9000,NYM@PIT,NYM,PIT,,,,,,P
118290-185501,P,Tanner,Tanner Bibee,Bibee,28.875,16,8900,STL@CLE,CLE,STL,,,,,,P
118290-146725,P,Jared,Jared Jones,Jones,30.59090909090909,22,8900,NYM@PIT,PIT,NYM,IL,Elbow,,,,P
118290-179725,P,Luis,Luis Ortiz,Ortiz,29.3125,16,8900,STL@CLE,CLE,STL,,,,,,P
118290-52165,P,Sean,Sean Manaea,Manaea,31.083333333333332,36,8800,NYM@PIT,NYM,PIT,IL,Elbow,,,,P
118290-154714,P,Tylor,Tylor Megill,Megill,29.714285714285715,14,8800,NYM@PIT,NYM,PIT,IL,Elbow,,,,P
118290-146663,P,Slade,Slade Cecconi,Cecconi,29.571428571428573,7,8800,STL@CLE,CLE,STL,,,,Yes,,P
118290-85251,P,Zac,Zac Gallen,Gallen,24.647058823529413,17,8800,MIA@ARI,ARI,MIA,,,,,,P
118290-79162,P,Luis,Luis Castillo,Castillo,27.8125,16,8800,SEA@TEX,SEA,TEX,,,,,,P
118290-119414,P,George,George Kirby,Kirby,23.714285714285715,7,8700,SEA@TEX,SEA,TEX,,,,,,P
118290-82594,P,Dustin,Dustin May,May,26.4,15,8700,LAD@KC,LAD,KC,,,,,,P
118290-83166,P,Zack,Zack Littell,Littell,27.75,16,8700,TB@BAL,TB,BAL,,,,Yes,,P
118290-102395,P,Ryan,Ryan Weathers,Weathers,24.4,5,8700,MIA@ARI,MIA,ARI,IL,Lat,,,,P
118290-16931,P,Yu,Yu Darvish,Darvish,28.77777777777778,18,8600,SD@CIN,SD,CIN,IL,Elbow,,,,P
118290-5427,P,Clayton,Clayton Kershaw,Kershaw,24.5,8,8600,LAD@KC,LAD,KC,,,,,,P
118290-71034,P,Seth,Seth Lugo,Lugo,30.571428571428573,14,8600,LAD@KC,KC,LAD,,,,Yes,,P
118290-165706,P,Jack,Jack Leiter,Leiter,21.692307692307693,13,8600,SEA@TEX,TEX,SEA,,,,,,P
118290-102408,P,Matthew,Matthew Liberatore,Liberatore,28.266666666666666,15,8500,STL@CLE,STL,CLE,,,,,,P
118290-102458,P,Kutter,Kutter Crawford,Crawford,27.96969696969697,33,8500,TOR@BOS,BOS,TOR,IL,Wrist,,,,P
118290-37999,P,Michael,Michael Wacha,Wacha,28.25,16,8500,LAD@KC,KC,LAD,,,,,,P
118290-66766,P,Adrian,Adrian Houser,Houser,31.666666666666668,6,8500,SF@CWS,CWS,SF,,,,Yes,,P
118290-79217,P,Mitch,Mitch Keller,Keller,26.823529411764707,17,8500,NYM@PIT,PIT,NYM,,,,,,P
118290-165698,P,Taj,Taj Bradley,Bradley,26.5625,16,8500,TB@BAL,TB,BAL,,,,,,P
118290-219697,P,Noah,Noah Cameron,Cameron,28.11111111111111,9,8400,LAD@KC,KC,LAD,,,,,,P
118290-52142,P,Eduardo,Eduardo Rodriguez,Rodriguez,25.53846153846154,13,8400,MIA@ARI,ARI,MIA,,,,,,P
118290-52198,P,Lucas,Lucas Giolito,Giolito,25.7,10,8400,TOR@BOS,BOS,TOR,,,,Yes,,P
118290-222787,P,Roki,Roki Sasaki,Sasaki,16.375,8,8400,LAD@KC,LAD,KC,IL,Shoulder,,,,P
118290-165518,P,Gavin,Gavin Williams,Williams,27.0625,16,8400,STL@CLE,CLE,STL,,,,,,P
118290-119361,P,Drew,Drew Rasmussen,Rasmussen,28.625,16,8300,TB@BAL,TB,BAL,,,,,,P
118290-199728,P,Landen,Landen Roupp,Roupp,27.125,16,8300,SF@CWS,SF,CWS,,,,,,P
118290-79226,P,Eric,Eric Lauer,Lauer,21.727272727272727,11,8300,TOR@BOS,TOR,BOS,,,,,,P
118290-220840,P,Shane,Shane Smith,Smith,25.2,15,8300,SF@CWS,CWS,SF,,,,,,P
118290-119409,P,Quinn,Quinn Priester,Priester,22.714285714285715,14,8200,COL@MIL,MIL,COL,,,,Yes,,P
118290-203678,P,Hayden,Hayden Birdsong,Birdsong,15.666666666666666,18,8200,SF@CWS,SF,CWS,,,,,,P
118290-222782,P,Chase,Chase Burns,Burns,30,1,8200,SD@CIN,CIN,SD,,,,,,P
118290-163680,P,Brayan,Brayan Bello,Bello,25.76923076923077,13,8200,TOR@BOS,BOS,TOR,,,,,,P
118290-21099,P,Jose,Jose Quintana,Quintana,25.90909090909091,11,8100,COL@MIL,MIL,COL,,,,,,P
118290-82630,P,Shane,Shane Baz,Baz,29.375,16,8100,TB@BAL,TB,BAL,,,,,,P
118290-79168,P,Walker,Walker Buehler,Buehler,20.846153846153847,13,8100,TOR@BOS,BOS,TOR,,,,,,P
118290-5466,P,Charlie,Charlie Morton,Morton,19.333333333333332,18,8100,TB@BAL,BAL,TB,,,,,,P
118290-102343,P,Tony,Tony Gonsolin,Gonsolin,26.285714285714285,7,8100,LAD@KC,LAD,KC,IL,Elbow,,,,P
118290-198879,P,Rhett,Rhett Lowder,Lowder,27,6,8000,SD@CIN,CIN,SD,IL,Forearm,,,,P
118290-164497,P,Ryne,Ryne Nelson,Nelson,17.11764705882353,18,8000,MIA@ARI,ARI,MIA,,,,,,P
118290-82775,P,Nestor,Nestor Cortes,Cortes,17,2,8000,COL@MIL,MIL,COL,IL,Elbow,,,,P
118290-68523,P,Joe,Joe Musgrove,Musgrove,28.45,20,8000,SD@CIN,SD,CIN,IL,Elbow,,,,P
118290-185701,P,Brandon,Brandon Pfaadt,Pfaadt,24.266666666666666,16,8000,MIA@ARI,ARI,MIA,,,,Yes,,P
118290-5481,P,Max,Max Scherzer,Scherzer,12,2,8000,TOR@BOS,TOR,BOS,,,,,,P
118290-163700,P,Kyle,Kyle Bradish,Bradish,32.625,8,8000,TB@BAL,BAL,TB,IL,Elbow,,,,P
118290-194677,P,Easton,Easton Lucas,Lucas,21.4,5,7900,TOR@BOS,TOR,BOS,IL,Undisclosed,,,,P
118290-219663,P,Chad,Chad Patrick,Patrick,26,17,7900,COL@MIL,MIL,COL,,,,,,P
118290-219724,P,Ryan,Ryan Bergert,Bergert,14.666666666666666,9,7900,SD@CIN,SD,CIN,IL,Forearm,,,,P
118290-82599,P,Edward,Edward Cabrera,Cabrera,25.76923076923077,13,7900,MIA@ARI,MIA,ARI,,,,,,P
118290-68482,P,Zach,Zach Eflin,Eflin,23.454545454545453,11,7900,TB@BAL,BAL,TB,,,,Yes,,P
118290-60632,P,Kyle,Kyle Freeland,Freeland,20,15,7900,COL@MIL,COL,MIL,,,,,,P
118290-5202,P,Justin,Justin Verlander,Verlander,21.75,12,7800,SF@CWS,SF,CWS,,,,,,P
118290-79245,P,Sandy,Sandy Alcantara,Alcantara,18.266666666666666,15,7800,MIA@ARI,MIA,ARI,,,,Yes,,P
118290-52728,P,Michael,Michael Lorenzen,Lorenzen,24.1875,17,7800,LAD@KC,KC,LAD,,,,,,P
118290-185896,P,Cody,Cody Bradford,Bradford,29.785714285714285,14,7800,SEA@TEX,TEX,SEA,IL,Elbow,,,,P
118290-198362,P,Stephen,Stephen Kolek,Kolek,25.2,10,7800,SD@CIN,SD,CIN,,,,,,P
118290-165655,P,Bubba,Bubba Chandler,Chandler,,0,7800,NYM@PIT,PIT,NYM,,,,,,P
118290-102344,P,Brady,Brady Singer,Singer,26.9375,16,7800,SD@CIN,CIN,SD,,,,,,P
118290-82582,P,Griffin,Griffin Canning,Canning,24.8125,16,7700,NYM@PIT,NYM,PIT,IL,Achilles,,,,P
118290-211874,P,Kumar,Kumar Rocker,Rocker,17.625,8,7700,SEA@TEX,TEX,SEA,,,,Yes,,P
118290-226322,P,Logan,Logan Evans,Evans,25.142857142857142,7,7700,SEA@TEX,SEA,TEX,,,,,,P
118290-165689,P,Bryce,Bryce Miller,Miller,18.2,10,7700,SEA@TEX,SEA,TEX,IL,Elbow,,,,P
118290-135650,P,Landon,Landon Knack,Knack,20.11111111111111,9,7600,LAD@KC,LAD,KC,,,,,,P
118290-82638,P,Jordan,Jordan Hicks,Hicks,14.153846153846153,13,7600,TOR@BOS,BOS,TOR,IL,Toe,,,,P
118290-52167,P,Andrew,Andrew Heaney,Heaney,22.75,16,7600,NYM@PIT,PIT,NYM,,,,,,P
118290-226810,P,Blade,Blade Tidwell,Tidwell,5.666666666666667,3,7600,NYM@PIT,NYM,PIT,,,,,,P
118290-170315,P,Davis,Davis Martin,Martin,23.928571428571427,14,7500,SF@CWS,CWS,SF,IL,Forearm,,,,P
118290-119441,P,Alek,Alek Manoah,Manoah,27,6,7500,TOR@BOS,TOR,BOS,IL,Elbow,,,,P
118290-211765,P,Richard,Richard Fitts,Fitts,17.833333333333332,6,7500,TOR@BOS,BOS,TOR,,,,,,P
118290-97300,P,John,John Means,Means,28,5,7500,STL@CLE,CLE,STL,IL,Elbow,,,,P
118290-79118,P,Triston,Triston McKenzie,McKenzie,2,4,7500,STL@CLE,CLE,STL,,,,,,P
118290-79123,P,Tyler,Tyler Alexander,Alexander,7.666666666666667,27,7500,SF@CWS,CWS,SF,,,,,,P
118290-13664,P,Patrick,Patrick Corbin,Corbin,23.857142857142858,14,7500,SEA@TEX,TEX,SEA,,,,,,P
118290-165573,P,Alec,Alec Marsh,Marsh,24.423076923076923,26,7500,LAD@KC,KC,LAD,IL,Shoulder,,,,P
118290-204632,P,Tanner,Tanner Gordon,Gordon,22.333333333333332,3,7500,COL@MIL,COL,MIL,IL,Oblique,,,,P
118290-200581,P,Jonathan,Jonathan Cannon,Cannon,22.083333333333332,12,7500,SF@CWS,CWS,SF,IL,Back,,,,P
118290-102447,P,Dean,Dean Kremer,Kremer,24.75,16,7400,TB@BAL,BAL,TB,,,,,,P
118290-17121,P,Miles,Miles Mikolas,Mikolas,21.2,15,7400,STL@CLE,STL,CLE,,,,Yes,,P
118290-203679,P,Valente,Valente Bellozo,Bellozo,13.307692307692308,13,7400,MIA@ARI,MIA,ARI,,,,,,P
118290-68564,P,Erick,Erick Fedde,Fedde,22.25,16,7400,STL@CLE,STL,CLE,,,,,,P
118290-60646,P,Ben,Ben Lively,Lively,20.555555555555557,9,7400,STL@CLE,CLE,STL,IL,Elbow,,,,P
118290-161450,P,Janson,Janson Junk,Junk,20.714285714285715,7,7400,MIA@ARI,MIA,ARI,,,,,,P
118290-165561,P,Chayce,Chayce McDermott,McDermott,11.5,2,7400,TB@BAL,BAL,TB,,,,,,P
118290-204505,P,Justin,Justin Wrobleski,Wrobleski,23.666666666666668,6,7400,LAD@KC,LAD,KC,,,,,,P
118290-220895,P,Tomoyuki,Tomoyuki Sugano,Sugano,22.625,16,7400,TB@BAL,BAL,TB,,,,,,P
118290-202541,P,Cade,Cade Povich,Povich,23.615384615384617,13,7400,TB@BAL,BAL,TB,IL,Hip,,,,P
118290-145625,P,Bailey,Bailey Falter,Falter,22.9375,16,7300,NYM@PIT,PIT,NYM,,,,Yes,,P
118290-219668,P,Hunter,Hunter Dobbins,Dobbins,21.833333333333332,12,7300,TOR@BOS,BOS,TOR,IL,Elbow,,,,P
118290-82557,P,Aaron,Aaron Civale,Civale,18.375,8,7300,SF@CWS,CWS,SF,,,,,,P
118290-82607,P,Trevor,Trevor Rogers,Rogers,31.333333333333332,3,7300,TB@BAL,BAL,TB,,,,,,P
118290-185490,P,Logan,Logan Allen,Allen,20.933333333333334,15,7300,STL@CLE,CLE,STL,,,,,,P
118290-63781,P,Frankie,Frankie Montas,Montas,30,1,7200,NYM@PIT,NYM,PIT,,,,,,P
118290-53590,P,Nick,Nick Martinez,Martinez,23.444444444444443,18,7200,SD@CIN,CIN,SD,,,,,,P
118290-70470,P,Albert,Albert Suarez,Suarez,11,1,7200,TB@BAL,BAL,TB,IL,Shoulder,,,,P
118290-80859,P,Paul,Paul Blackburn,Blackburn,10.6,5,7200,NYM@PIT,NYM,PIT,,,,Yes,,P
118290-165543,P,Sean,Sean Burke,Burke,23.5625,16,7200,SF@CWS,CWS,SF,,,,,,P
118290-165659,P,Mike,Mike Burrows,Burrows,20.285714285714285,7,7200,NYM@PIT,PIT,NYM,,,,,,P
118290-135268,P,Emerson,Emerson Hancock,Hancock,20.142857142857142,14,7100,SEA@TEX,SEA,TEX,,,,,,P
118290-160939,P,Jacob,Jacob Latz,Latz,11.375,17,7100,SEA@TEX,TEX,SEA,,,,,,P
118290-197914,P,Nick,Nick Frasso,Frasso,0,2,7100,LAD@KC,LAD,KC,,,,,,P
118290-118202,P,Kyle,Kyle Hart,Hart,14.5,6,7100,SD@CIN,SD,CIN,,,,,,P
118290-202608,P,Carlos,Carlos Rodriguez,Rodriguez,13,1,7100,COL@MIL,MIL,COL,IL,Forearm,,,,P
118290-53607,P,Anthony,Anthony DeSclafani,DeSclafani,9.333333333333334,3,7000,MIA@ARI,ARI,MIA,,,,,,P
118290-219659,P,Brandon,Brandon Young,Young,13.666666666666666,3,7000,TB@BAL,BAL,TB,,,,,,P
