player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Carlos Estevez,Kansas City Royals,0.02-0.02,$5500,0.29,0.02,0.02,2.6,0,0.22,0.42,0.32,0.13,0.12,0.04,0.14,0.18,1.11,,1.6,DET @ KC
Jack Flaherty,Detroit Tigers,0.36-0.29,$8900,3.64,0.36,0.29,3.82,1,0,5.46,4.62,2.61,2.32,0.71,1.56,6.29,1.13,,32.4,DET @ KC
Jason Foley,Detroit Tigers,0.03-0.03,$5500,0.33,0.03,0.03,3.28,0,0.28,0.51,0.44,0.2,0.19,0.05,0.18,0.22,1.21,,1.8,DET @ KC
Stephen Kolek,Kansas City Royals,0.25-0.34,$7600,2.86,0.25,0.34,3.86,1,0,4.93,4.57,2.39,2.11,0.44,1.39,3.4,1.21,,21.7,DET @ KC
Chris Martin,Texas Rangers,0.02-0.03,$5500,0.29,0.02,0.03,2.53,0,0.25,0.46,0.35,0.14,0.13,0.05,0.07,0.15,0.93,,1.6,TEX @ OAK
Trevor May,Oakland Athletics,0.02-0.03,N/A,N/A,0.02,0.03,3.3,0,0.25,0.47,0.4,0.19,0.17,0.04,0.17,0.21,1.22,,1.6,TEX @ OAK
Merrill Kelly,Texas Rangers,0.39-0.28,$8800,2.98,0.39,0.28,4.4,1,0,5.26,5.03,2.76,2.57,0.89,1.81,4.76,1.3,,26.2,TEX @ OAK
Mason Barnett,Oakland Athletics,0.25-0.37,N/A,N/A,0.25,0.37,4.66,1,0,5,5.06,2.82,2.59,0.78,2.13,3.56,1.44,,20.7,TEX @ OAK
Trevor Rogers,Baltimore Orioles,0.33-0.34,$10700,2.64,0.33,0.34,3.69,1,0,5.6,5.48,2.72,2.29,0.47,1.67,4.81,1.28,,28.2,BAL @ SF
Felix Bautista,Baltimore Orioles,0.03-0.03,$5500,0.42,0.03,0.03,2.7,0,0.27,0.5,0.4,0.16,0.15,0.04,0.31,0.36,1.41,,2.3,BAL @ SF
Ryan Walker,San Francisco Giants,0.02-0.02,$5500,0.27,0.02,0.02,3.3,0,0.23,0.43,0.37,0.17,0.16,0.03,0.11,0.18,1.12,,1.5,BAL @ SF
Carson Seymour,San Francisco Giants,0.25-0.35,$6100,3.79,0.25,0.35,4.7,1,0,4.92,5,2.72,2.57,0.69,2.15,4.47,1.45,,23.1,BAL @ SF
David Bednar,New York Yankees,0.03-0.03,$5500,0.36,0.03,0.03,3.04,0,0.31,0.58,0.48,0.21,0.19,0.04,0.19,0.23,1.16,,2,NYY @ CHW
Jordan Leasure,Chicago White Sox,0.02-0.02,$5500,0.22,0.02,0.02,4.64,0,0.19,0.35,0.36,0.2,0.18,0.07,0.18,0.2,1.52,,1.2,NYY @ CHW
Shane Smith,Chicago White Sox,0.16-0.44,$7000,3.33,0.16,0.44,4.86,1,0,5.11,5.09,3.05,2.76,0.72,2.05,4.63,1.4,,23.3,NYY @ CHW
Cam Schlittler,New York Yankees,0.46-0.22,$9100,3.24,0.46,0.22,3.76,1,0,5.32,4.62,2.51,2.22,0.5,2.28,5.29,1.3,,29.5,NYY @ CHW
Nick Pivetta,San Diego Padres,0.41-0.31,$9600,3.46,0.41,0.31,3.47,1,0,5.81,4.99,2.51,2.24,0.72,1.63,5.97,1.14,,33.2,SD @ MIN
Taj Bradley,Minnesota Twins,0.24-0.35,$9000,2.91,0.24,0.35,3.79,1,0,5.13,4.78,2.36,2.16,0.66,1.74,4.71,1.27,,26.2,SD @ MIN
Andres Munoz,Seattle Mariners,0.03-0.04,$5500,0.49,0.03,0.04,1.78,0,0.32,0.6,0.42,0.13,0.12,0.03,0.27,0.35,1.14,,2.7,SEA @ CLE
Emmanuel Clase,Cleveland Guardians,0.02-0.02,$5500,0.22,0.02,0.02,2.84,0,0.18,0.33,0.26,0.11,0.1,0.01,0.08,0.12,1.04,,1.2,SEA @ CLE
Logan Gilbert,Seattle Mariners,0.43-0.2,$10100,3.34,0.43,0.2,2.86,1,0,5.3,4.19,1.9,1.68,0.51,1.29,6.04,1.03,,33.7,SEA @ CLE
Gavin Williams,Cleveland Guardians,0.23-0.48,$8500,3.02,0.23,0.48,4.72,1,0,5.28,4.74,3.06,2.77,0.71,2.67,5.17,1.4,,25.7,SEA @ CLE
Kenley Jansen,Los Angeles Angels,0.02-0.02,$5500,0.24,0.02,0.02,3.09,0,0.19,0.35,0.29,0.13,0.12,0.05,0.12,0.16,1.17,,1.3,LAA @ HOU
Kyle Hendricks,Los Angeles Angels,0.17-0.47,$6300,2.98,0.17,0.47,5.62,1,0,5.01,5.62,3.45,3.13,0.91,1.73,3.66,1.47,,18.8,LAA @ HOU
Josh Hader,Houston Astros,0.03-0.03,$5500,0.42,0.03,0.03,2.31,0,0.31,0.58,0.43,0.16,0.15,0.09,0.19,0.29,1.07,,2.3,LAA @ HOU
Spencer Arrighetti,Houston Astros,0.42-0.17,$7300,4.26,0.42,0.17,3.43,1,0,5.45,4.63,2.25,2.08,0.52,1.91,5.51,1.2,,31.1,LAA @ HOU
Eduardo Rodriguez,Arizona Diamondbacks,0.26-0.34,$7600,3.25,0.26,0.34,4.43,1,0,5.29,5.27,2.83,2.61,0.99,2.27,4.55,1.42,,24.7,ARI @ LAD
Tyler Glasnow,Los Angeles Dodgers,0.28-0.27,$9200,3.21,0.28,0.27,3.74,1,0,5.15,4.55,2.41,2.14,0.96,2.06,5.71,1.28,,29.5,ARI @ LAD
A.J. Puk,Arizona Diamondbacks,0.02-0.02,$5500,0.22,0.02,0.02,3.34,0,0.19,0.36,0.31,0.14,0.13,0.08,0.09,0.14,1.12,,1.2,ARI @ LAD
Alexis Diaz,Los Angeles Dodgers,0.03-0.03,$5500,0.25,0.03,0.03,7.23,0,0.31,0.57,0.74,0.5,0.46,0.2,0.27,0.31,1.77,,1.4,ARI @ LAD
Javier Assad,Chicago Cubs,0.4-0.21,$7500,3.11,0.4,0.21,5.09,1,0,5.18,4.98,3.28,2.93,0.71,1.43,4.19,1.24,,23.3,CHC @ COL
McCade Brown,Colorado Rockies,0.16-0.35,$6000,2.73,0.16,0.35,6.13,1,0,4.5,4.67,3.51,3.07,0.71,1.72,3.32,1.42,,16.4,CHC @ COL
