Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
118301-101839,P,Logan,Logan Webb,Webb,40.35294117647059,17,11000,SF@CWS,SF,CWS,,,,,0,P
118301-16960,P,Zack,Zack Wheeler,Wheeler,42.75,16,10900,PHI@ATL,PHI,ATL,,,,,0,P
118301-12477,P,Chris,Chris Sale,Sale,39.8,15,10800,PHI@ATL,ATL,PHI,IL,Ribs,,,0,P
118301-135977,P,Garrett,Garrett Crochet,Crochet,43.76470588235294,17,10800,TOR@BOS,BOS,TOR,,,,,0,P
118301-197980,P,Paul,Paul Skenes,Skenes,37.94117647058823,17,10800,NYM@PIT,PIT,NYM,,,,,,P
118301-53029,P,Robbie,Robbie Ray,Ray,36.88235294117647,17,10600,SF@CWS,SF,CWS,,,,,0,P
118301-198625,P,Yoshinobu,Yoshinobu Yamamoto,Yamamoto,35.75,16,10500,LAD@KC,LAD,KC,,,,,0,P
118301-102396,P,Logan,Logan Gilbert,Gilbert,33.333333333333336,9,10500,SEA@TEX,SEA,TEX,,,,,,P
118301-83157,P,Ranger,Ranger Suarez,Suarez,39.9,10,10400,PHI@ATL,PHI,ATL,,,,Yes,,P
118301-182153,P,Kodai,Kodai Senga,Senga,35.46153846153846,13,10400,NYM@PIT,NYM,PIT,IL,Hamstring,,,0,P
118301-79091,P,Dylan,Dylan Cease,Cease,31.11764705882353,17,10300,SD@CIN,SD,CIN,,,,,,P
118301-13233,P,Nathan,Nathan Eovaldi,Eovaldi,34.84615384615385,13,10200,SEA@TEX,TEX,SEA,,,,,,P
118301-187194,P,Bryan,Bryan Woo,Woo,36.8125,16,10200,SEA@TEX,SEA,TEX,,,,,,P
118301-52183,P,Tyler,Tyler Glasnow,Glasnow,21.2,5,10200,LAD@KC,LAD,KC,IL,Shoulder,,,0,P
118301-52185,P,Max,Max Fried,Fried,39.94117647058823,17,10200,ATH@NYY,NYY,ATH,,,,,0,P
118301-146687,P,Hunter,Hunter Brown,Brown,42.9375,16,10200,CHC@HOU,HOU,CHC,,,,,,P
118301-117232,P,Michael,Michael King,King,34.3,10,10000,SD@CIN,SD,CIN,IL,Shoulder,,,,P
118301-68488,P,Blake,Blake Snell,Snell,19.5,2,10000,LAD@KC,LAD,KC,IL,Shoulder,,,0,P
118301-52859,P,Jacob,Jacob deGrom,deGrom,36.625,16,10000,SEA@TEX,TEX,SEA,,,,,,P
118301-185606,P,Gavin,Gavin Stone,Stone,28.4,25,9900,LAD@KC,LAD,KC,IL,Shoulder,,,0,P
118301-60633,P,Carlos,Carlos Rodon,Rodon,38.411764705882355,17,9900,ATH@NYY,NYY,ATH,,,,,0,P
118301-60647,P,Aaron,Aaron Nola,Nola,24.555555555555557,9,9900,PHI@ATL,PHI,ATL,IL,Ribs,,,0,P
118301-165512,P,Andrew,Andrew Abbott,Abbott,34.5,14,9800,SD@CIN,CIN,SD,,,,,0,P
118301-135647,P,Ryan,Ryan Pepiot,Pepiot,31,17,9700,TB@BAL,TB,BAL,,,,,0,P
118301-82550,P,Hunter,Hunter Greene,Greene,35.27272727272727,11,9700,SD@CIN,CIN,SD,IL,Groin,,,0,P
118301-82621,P,Clarke,Clarke Schmidt,Schmidt,32.07692307692308,13,9700,ATH@NYY,NYY,ATH,,,,,0,P
118301-85599,P,Framber,Framber Valdez,Valdez,38.25,16,9700,CHC@HOU,HOU,CHC,,,,Yes,,P
118301-164503,P,Spencer,Spencer Schwellenbach,Schwellenbach,37.411764705882355,17,9600,PHI@ATL,ATL,PHI,,,,,0,P
118301-83190,P,Freddy,Freddy Peralta,Peralta,32.64705882352941,17,9600,COL@MIL,MIL,COL,,,,,,P
118301-118225,P,Cristopher,Cristopher Sanchez,Sanchez,36.375,16,9600,PHI@ATL,PHI,ATL,,,,,0,P
118301-79280,P,Jesus,Jesus Luzardo,Luzardo,33.411764705882355,17,9500,PHI@ATL,PHI,ATL,,,,,0,P
118301-162445,P,Spencer,Spencer Strider,Strider,32.25,8,9500,PHI@ATL,ATL,PHI,,,,Yes,,P
118301-53067,P,Chris,Chris Bassitt,Bassitt,29,17,9500,TOR@BOS,TOR,BOS,,,,,0,P
118301-102294,P,Grayson,Grayson Rodriguez,Rodriguez,35.6,20,9500,TB@BAL,BAL,TB,IL,Lat,,,,P
118301-197981,P,Jacob,Jacob Misiorowski,Misiorowski,40.333333333333336,3,9400,COL@MIL,MIL,COL,,,,,,P
118301-11328,P,Martin,Martin Perez,Perez,26.75,4,9400,SF@CWS,CWS,SF,IL,Elbow,,,0,P
118301-79270,P,Cole,Cole Ragans,Ragans,31,10,9300,LAD@KC,KC,LAD,IL,Shoulder,,,,P
118301-63136,P,Matthew,Matthew Boyd,Boyd,32.875,16,9300,CHC@HOU,CHC,HOU,,,,,,P
118301-198885,P,Spencer,Spencer Arrighetti,Arrighetti,22.5,2,9300,CHC@HOU,HOU,CHC,IL,Thumb,,,,P
118301-219653,P,Logan,Logan Henderson,Henderson,40,4,9300,COL@MIL,MIL,COL,,,,,,P
118301-102330,P,Kris,Kris Bubic,Bubic,38.06666666666667,15,9300,LAD@KC,KC,LAD,,,,Yes,,P
118301-102407,P,Shane,Shane McClanahan,McClanahan,0,1,9200,TB@BAL,TB,BAL,IL,Triceps,,,0,P
118301-82618,P,David,David Peterson,Peterson,31,16,9200,NYM@PIT,NYM,PIT,,,,,0,P
118301-68491,P,Reynaldo,Reynaldo Lopez,Lopez,9,1,9200,PHI@ATL,ATL,PHI,IL,Shoulder,,,0,P
118301-79109,P,Tyler,Tyler Mahle,Mahle,28.785714285714285,14,9100,SEA@TEX,TEX,SEA,IL,Shoulder,,,,P
118301-79207,P,Grant,Grant Holmes,Holmes,30.352941176470587,17,9100,PHI@ATL,ATL,PHI,,,,,0,P
118301-60639,P,Jose,Jose Berrios,Berrios,31.176470588235293,17,9100,TOR@BOS,TOR,BOS,,,,,0,P
