Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
120209-135977,P,Garrett,Garrett Crochet,Crochet,42.357142857142854,28,11000,BOS@ARI,BOS,ARI,,,,,,P
120209-13233,P,Nathan,Nathan Eovaldi,Eovaldi,37.45454545454545,22,10700,HOU@TEX,TEX,HOU,IL,Shoulder,,,,P
120209-187194,P,Bryan,Bryan Woo,Woo,37,27,10600,SEA@ATL,SEA,ATL,,,,,,P
120209-17064,P,Sonny,Sonny Gray,Gray,31.428571428571427,28,10500,SF@STL,STL,SF,,,,,,P
120209-82607,P,Trevor,Trevor Rogers,Rogers,40.57142857142857,14,10500,LAD@BAL,BAL,LAD,,,,Yes,,P
120209-12477,P,Chris,Chris Sale,Sale,40.64705882352941,17,10400,SEA@ATL,ATL,SEA,,,,,,P
120209-101839,P,Logan,Logan Webb,Webb,37.3448275862069,29,10400,SF@STL,SF,STL,,,,,,P
120209-198625,P,Yoshinobu,Yoshinobu Yamamoto,Yamamoto,35.96153846153846,26,10400,LAD@BAL,LAD,BAL,,,,Yes,,P
120209-102396,P,Logan,Logan Gilbert,Gilbert,33.42857142857143,21,10300,SEA@ATL,SEA,ATL,,,,,,P
120209-146687,P,Hunter,Hunter Brown,Brown,38.407407407407405,27,10200,HOU@TEX,HOU,TEX,,,,Yes,,P
120209-163680,P,Brayan,Brayan Bello,Bello,30.08,25,10200,BOS@ARI,BOS,ARI,,,,,,P
120209-119414,P,George,George Kirby,Kirby,29.36842105263158,19,10100,SEA@ATL,SEA,ATL,,,,,,P
120209-119430,P,Joe,Joe Ryan,Ryan,35.96296296296296,27,10100,MIN@KC,MIN,KC,,,,Yes,,P
120209-52859,P,Jacob,Jacob deGrom,deGrom,35.26923076923077,26,10000,HOU@TEX,TEX,HOU,,,,Yes,,P
120209-163700,P,Kyle,Kyle Bradish,Bradish,33.5,2,10000,LAD@BAL,BAL,LAD,,,,,,P
120209-185606,P,Gavin,Gavin Stone,Stone,28.4,25,9900,LAD@BAL,LAD,BAL,IL,Shoulder,,,,P
120209-53029,P,Robbie,Robbie Ray,Ray,33,29,9900,SF@STL,SF,STL,,,,,,P
120209-198872,P,Hurston,Hurston Waldrep,Waldrep,38.333333333333336,6,9800,SEA@ATL,ATL,SEA,,,,Yes,,P
120209-232379,P,Parker,Parker Messick,Messick,32,3,9800,CLE@TB,CLE,TB,,,,,,P
120209-52183,P,Tyler,Tyler Glasnow,Glasnow,28.357142857142858,14,9800,LAD@BAL,LAD,BAL,DTD,Back,,,,P
120209-83152,P,Pablo,Pablo Lopez,Lopez,31.5,12,9800,MIN@KC,MIN,KC,,,,,,P
120209-85599,P,Framber,Framber Valdez,Valdez,35.48148148148148,27,9800,HOU@TEX,HOU,TEX,,,,,,P
120209-79951,P,Nick,Nick Pivetta,Pivetta,35.714285714285715,28,9600,SD@COL,SD,COL,,,,,,P
120209-164503,P,Spencer,Spencer Schwellenbach,Schwellenbach,37.411764705882355,17,9600,SEA@ATL,ATL,SEA,IL,Elbow,,,,P
120209-82604,P,Corbin,Corbin Burnes,Burnes,33.72727272727273,11,9600,BOS@ARI,ARI,BOS,IL,Elbow,,,,P
120209-102330,P,Kris,Kris Bubic,Bubic,34.5,20,9600,MIN@KC,KC,MIN,IL,Shoulder,,,,P
120209-102294,P,Grayson,Grayson Rodriguez,Rodriguez,35.6,20,9500,LAD@BAL,BAL,LAD,IL,Elbow,,,,P
120209-193326,P,Jacob,Jacob Lopez,Lopez,26.714285714285715,21,9400,ATH@LAA,ATH,LAA,IL,Elbow,,,,P
120209-79091,P,Dylan,Dylan Cease,Cease,29.928571428571427,28,9400,SD@COL,SD,COL,,,,,,P
120209-198915,P,Luis,Luis Morales,Morales,31,6,9300,ATH@LAA,ATH,LAA,,,,,,P
120209-209173,P,Zebby,Zebby Matthews,Matthews,27.153846153846153,13,9300,MIN@KC,MIN,KC,,,,,,P
120209-232240,P,Payton,Payton Tolle,Tolle,17,2,9300,BOS@ARI,BOS,ARI,,,,,,P
120209-79270,P,Cole,Cole Ragans,Ragans,31,10,9300,MIN@KC,KC,MIN,IL,Shoulder,,,,P
120209-102407,P,Shane,Shane McClanahan,McClanahan,0,1,9200,CLE@TB,TB,CLE,IL,Triceps,,,,P
120209-219697,P,Noah,Noah Cameron,Cameron,27.95,20,9200,MIN@KC,KC,MIN,,,,,,P
120209-119361,P,Drew,Drew Rasmussen,Rasmussen,26.59259259259259,27,9200,CLE@TB,TB,CLE,,,,,,P
120209-68491,P,Reynaldo,Reynaldo Lopez,Lopez,9,1,9200,SEA@ATL,ATL,SEA,IL,Shoulder,,,,P
120209-52198,P,Lucas,Lucas Giolito,Giolito,30.272727272727273,22,9100,BOS@ARI,BOS,ARI,,,,Yes,,P
120209-85251,P,Zac,Zac Gallen,Gallen,28.17241379310345,29,9100,BOS@ARI,ARI,BOS,,,,,,P
120209-79109,P,Tyler,Tyler Mahle,Mahle,28.785714285714285,14,9100,HOU@TEX,TEX,HOU,IL,Shoulder,,,,P
