player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Edwin Diaz,New York Mets,0.03-0.03,$5500,0.55,0.03,0.03,3.63,0,0.27,0.5,0.44,0.22,0.2,0.07,0.21,0.63,1.32,,3,NYM @ ARI
Zac Gallen,Arizona Diamondbacks,0.26-0.31,$8900,3.01,0.26,0.31,4.49,1,0,4.93,4.54,2.81,2.46,0.67,1.69,5.37,1.26,,26.8,NYM @ ARI
A.J. Puk,Arizona Diamondbacks,0.02-0.03,$5500,0.4,0.02,0.03,3.23,0,0.23,0.43,0.37,0.17,0.15,0.05,0.15,0.4,1.19,,2.2,NYM @ ARI
David Peterson,New York Mets,0.34-0.3,$8600,2.97,0.34,0.3,4.41,1,0,5.34,4.93,3.07,2.62,0.53,2,4.53,1.3,,25.5,NYM @ ARI
Zack Wheeler,Philadelphia Phillies,0.41-0.29,$11000,3.22,0.41,0.29,3.31,1,0,6.1,5.08,2.52,2.25,0.66,1.44,6.29,1.07,,35.4,PHI @ TB
Pete Fairbanks,Tampa Bay Rays,0.02-0.03,$5500,0.36,0.02,0.03,3.08,0,0.23,0.43,0.36,0.16,0.15,0.03,0.18,0.35,1.24,,2,PHI @ TB
Jordan Romano,Philadelphia Phillies,0.03-0.03,$5500,0.29,0.03,0.03,7.76,0,0.27,0.5,0.67,0.47,0.43,0.14,0.18,0.41,1.71,,1.6,PHI @ TB
Drew Rasmussen,Tampa Bay Rays,0.22-0.35,$8200,3.17,0.22,0.35,3.89,1,0,4.9,4.44,2.26,2.12,0.72,1.22,4.92,1.15,,26,PHI @ TB
Pablo Lopez,Minnesota Twins,0.32-0.2,$9500,3.25,0.32,0.2,3.04,1,0,5.08,4.23,1.9,1.71,0.55,1.14,5.58,1.06,,30.9,BAL @ MIN
Jhoan Duran,Minnesota Twins,0.03-0.03,$5500,0.51,0.03,0.03,2.85,0,0.29,0.53,0.43,0.18,0.17,0.03,0.19,0.52,1.16,,2.8,BAL @ MIN
Felix Bautista,Baltimore Orioles,0.02-0.02,$5500,0.36,0.02,0.02,2.82,0,0.21,0.4,0.32,0.14,0.12,0.02,0.17,0.34,1.24,,2,BAL @ MIN
Cade Povich,Baltimore Orioles,0.24-0.37,$7100,3.32,0.24,0.37,4.52,1,0,5.12,4.9,2.86,2.57,0.86,2.13,4.4,1.37,,23.6,BAL @ MIN
Devin Williams,New York Yankees,0.02-0.03,$5500,0.55,0.02,0.03,4.07,0,0.25,0.47,0.44,0.23,0.21,0.01,0.28,0.7,1.54,,3,SD @ NYY
Michael King,San Diego Padres,0.34-0.31,$10500,2.95,0.34,0.31,3.88,1,0,5.4,4.52,2.61,2.33,0.7,2.04,6,1.22,,31,SD @ NYY
Clarke Schmidt,New York Yankees,0.25-0.32,$7800,3.4,0.25,0.32,4.3,1,0,5.12,4.38,2.71,2.45,0.78,2.05,5.17,1.26,,26.5,SD @ NYY
Robert Suarez,San Diego Padres,0.02-0.03,$5500,0.4,0.02,0.03,2.06,0,0.25,0.46,0.33,0.11,0.11,0.03,0.12,0.33,0.98,,2.2,SD @ NYY
Tyler Kinley,Colorado Rockies,0.02-0.02,$5500,0.24,0.02,0.02,6.42,0,0.17,0.31,0.37,0.24,0.22,0.04,0.19,0.32,1.8,,1.3,DET @ COL
Jason Foley,Detroit Tigers,0.03-0.04,$5500,0.45,0.03,0.04,3.2,0,0.33,0.62,0.52,0.24,0.22,0.05,0.21,0.39,1.19,,2.5,DET @ COL
Jackson Jobe,Detroit Tigers,0.37-0.19,$8400,2.3,0.37,0.19,5.44,1,0,4.58,4.88,3.24,2.77,0.56,1.47,3.49,1.39,,19.3,DET @ COL
Chase Dollander,Colorado Rockies,0.2-0.43,$7200,2.44,0.2,0.43,6.98,1,0,5.04,5.85,4.3,3.91,0.97,1.79,3.99,1.52,,17.6,DET @ COL
Jeffrey Springs,Oakland Athletics,0.26-0.32,$7700,2.51,0.26,0.32,4.76,1,0,4.27,4.12,2.48,2.25,0.88,1.72,3.56,1.37,,19.3,SEA @ OAK
Andres Munoz,Seattle Mariners,0.03-0.03,$5500,0.56,0.03,0.03,1.44,0,0.27,0.51,0.33,0.09,0.08,0.04,0.23,0.53,1.11,,3.1,SEA @ OAK
