player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Miles Mikolas,St. Louis Cardinals,0.37-0.24,$7200,3.5,0.37,0.24,3.63,1,0,5.46,4.98,2.58,2.2,0.56,1.23,3.77,1.14,,25.2,STL @ KC
Carlos Estevez,Kansas City Royals,0.02-0.02,$5500,0.36,0.02,0.02,2.38,0,0.22,0.41,0.31,0.12,0.11,0.02,0.14,0.32,1.09,,2,STL @ KC
Ryan Helsley,St. Louis Cardinals,0.03-0.03,$5500,0.51,0.03,0.03,2.43,0,0.28,0.52,0.39,0.15,0.14,0.03,0.24,0.5,1.22,,2.8,STL @ KC
Noah Cameron,Kansas City Royals,0.24-0.36,$6000,3.43,0.24,0.36,4.66,1,0,4.88,4.52,2.87,2.53,0.63,1.79,3.63,1.29,,20.6,STL @ KC
Aroldis Chapman,Boston Red Sox,0.02-0.03,$5500,0.44,0.02,0.03,3.16,0,0.23,0.44,0.37,0.17,0.15,0.04,0.23,0.46,1.36,,2.4,ATL @ BOS
Raisel Iglesias,Atlanta Braves,0.03-0.03,$5500,0.38,0.03,0.03,3.58,0,0.27,0.49,0.44,0.21,0.2,0.08,0.1,0.36,1.1,,2.1,ATL @ BOS
Lucas Giolito,Boston Red Sox,0.32-0.27,$8400,2.81,0.32,0.27,4.35,1,0,5.12,4.72,2.86,2.48,0.76,1.57,4.01,1.23,,23.6,ATL @ BOS
Grant Holmes,Atlanta Braves,0.28-0.36,$8100,3.43,0.28,0.36,4.62,1,0,5.27,5.11,3.05,2.7,0.75,1.67,5.65,1.29,,27.8,ATL @ BOS
Nick Pivetta,San Diego Padres,0.48-0.2,$9700,3.47,0.48,0.2,3.09,1,0,5.51,4.65,2.12,1.89,0.7,1.45,5.97,1.11,,33.7,SEA @ SD
Andres Munoz,Seattle Mariners,0.02-0.02,$5500,0.38,0.02,0.02,1.25,0,0.19,0.36,0.22,0.05,0.05,0.02,0.16,0.34,1.07,,2.1,SEA @ SD
Robert Suarez,San Diego Padres,0.03-0.03,$5500,0.47,0.03,0.03,2.8,0,0.31,0.57,0.46,0.19,0.18,0.04,0.2,0.43,1.14,,2.6,SEA @ SD
Emerson Hancock,Seattle Mariners,0.19-0.48,$7300,2.48,0.19,0.48,5.43,1,0,4.87,5.61,3.14,2.94,1.19,1.93,3.39,1.55,,18.1,SEA @ SD
Pablo Lopez,Minnesota Twins,0.36-0.26,$9800,3.47,0.36,0.26,3.28,1,0,5.82,4.98,2.35,2.12,0.69,1.26,6.14,1.07,,34,MIN @ MIL
Trevor Megill,Milwaukee Brewers,0.02-0.02,$5500,0.38,0.02,0.02,2.81,0,0.22,0.42,0.34,0.14,0.13,0.04,0.17,0.37,1.21,,2.1,MIN @ MIL
Jhoan Duran,Minnesota Twins,0.03-0.03,$5500,0.47,0.03,0.03,2.49,0,0.27,0.51,0.39,0.15,0.14,0.02,0.17,0.45,1.1,,2.6,MIN @ MIL
Tobias Myers,Milwaukee Brewers,0.22-0.32,$6900,3.42,0.22,0.32,4.44,1,0,5,4.71,2.58,2.46,0.58,1.56,4.35,1.25,,23.6,MIN @ MIL
Clayton Kershaw,Los Angeles Dodgers,0.32-0.21,$8000,2.42,0.32,0.21,3.62,1,0,3.92,3.8,1.73,1.58,0.38,1.23,3.06,1.28,,19.4,LAA @ LAD
Kenley Jansen,Los Angeles Angels,0.02-0.02,$5500,0.29,0.02,0.02,4.41,0,0.19,0.36,0.35,0.19,0.17,0.06,0.12,0.29,1.31,,1.6,LAA @ LAD
