player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Bryan Reynolds,Pittsburgh Pirates,$3000,2.67,4.32,0.31,0.89,0.63,0.19,0.02,0.13,0.32,0.03,0.01,0.31,1.09,0.222,0.277,0.391,0.669,8,ARI @ PIT
Ke'Bryan Hayes,Pittsburgh Pirates,$2500,2.28,3.88,0.3,0.79,0.68,0.1,0.02,0.01,0.14,0.1,0.01,0.2,0.82,0.218,0.263,0.272,0.534,5.7,ARI @ PIT
Geraldo Perdomo,Arizona Diamondbacks,$3200,3.03,4.44,0.63,1.01,0.83,0.17,0.02,0.05,0.36,0.13,0.02,0.41,0.63,0.256,0.327,0.363,0.69,9.7,ARI @ PIT
Oneil Cruz,Pittsburgh Pirates,$3500,3.49,4.1,0.6,0.92,0.46,0.22,0.04,0.22,0.51,0.17,0.05,0.55,0.97,0.263,0.365,0.547,0.912,12.2,ARI @ PIT
Jose Herrera,Arizona Diamondbacks,$2300,2.43,3.77,0.23,0.6,0.44,0.14,0,0.04,0.26,0,0.01,0.44,1.03,0.183,0.282,0.277,0.559,5.6,ARI @ PIT
Alek Thomas,Arizona Diamondbacks,$2400,3.04,3.99,0.39,0.77,0.57,0.16,0.01,0.09,0.34,0.06,0.04,0.19,1.16,0.207,0.252,0.342,0.594,7.3,ARI @ PIT
Corbin Carroll,Arizona Diamondbacks,$4100,2.59,4.66,0.43,0.98,0.61,0.3,0.03,0.11,0.57,0.1,0.01,0.43,1.4,0.237,0.311,0.428,0.739,10.6,ARI @ PIT
Spencer Horwitz,Pittsburgh Pirates,$2700,3.04,4.54,0.41,0.93,0.65,0.22,0.01,0.08,0.41,0,0,0.34,0.84,0.227,0.291,0.347,0.638,8.2,ARI @ PIT
Henry Davis,Pittsburgh Pirates,$2300,2.87,3.77,0.3,0.71,0.5,0.16,0.04,0.05,0.36,0,0.02,0.31,0.93,0.209,0.278,0.341,0.619,6.6,ARI @ PIT
Nick Gonzales,Pittsburgh Pirates,$2900,3.07,4.21,0.45,0.88,0.57,0.24,0.04,0.09,0.51,0,0,0.32,0.72,0.23,0.293,0.407,0.7,8.9,ARI @ PIT
Blaze Alexander,Arizona Diamondbacks,$2200,2.91,3.88,0.32,0.68,0.48,0.17,0.02,0.04,0.33,0.07,0.03,0.2,1.5,0.189,0.238,0.291,0.529,6.4,ARI @ PIT
