player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Martin Perez,Chicago White Sox,0.31-0.32,$8300,3.13,0.31,0.32,3.75,1,0,5.17,4.93,2.41,2.16,0.56,1.94,4.45,1.33,,26,CHW @ CLE
Emmanuel Clase,Cleveland Guardians,0.02-0.03,$5500,0.29,0.02,0.03,2.84,0,0.26,0.48,0.39,0.17,0.15,0.02,0.11,0.17,1.04,,1.6,CHW @ CLE
Tanner Bibee,Cleveland Guardians,0.33-0.34,$7800,3.76,0.33,0.34,3.52,1,0,5.72,5.12,2.54,2.23,0.82,1.64,4.95,1.18,,29.3,CHW @ CLE
Jordan Leasure,Chicago White Sox,0.02-0.03,$5500,0.29,0.02,0.03,4.13,0,0.24,0.45,0.43,0.22,0.21,0.08,0.22,0.24,1.44,,1.6,CHW @ CLE
Aroldis Chapman,Boston Red Sox,0.02-0.03,$5500,0.33,0.02,0.03,1.54,0,0.24,0.44,0.29,0.08,0.08,0.03,0.14,0.2,0.98,,1.8,NYY @ BOS
Lucas Giolito,Boston Red Sox,0.25-0.46,$9000,2.62,0.25,0.46,5.46,1,0,5.39,5.8,3.77,3.27,0.74,2.01,4.85,1.45,,23.6,NYY @ BOS
David Bednar,New York Yankees,0.02-0.03,$5500,0.31,0.02,0.03,2.96,0,0.26,0.49,0.4,0.18,0.16,0.03,0.16,0.19,1.14,,1.7,NYY @ BOS
Luis Gil,New York Yankees,0.38-0.28,$8800,3.07,0.38,0.28,4.58,1,0,5.23,4.39,2.99,2.66,0.66,2.62,5.22,1.34,,27,NYY @ BOS
JP Sears,San Diego Padres,0.38-0.14,$6900,3.86,0.38,0.14,2.98,1,0,4.67,3.91,1.8,1.55,0.67,1.16,4.48,1.08,,26.6,COL @ SD
Tanner Gordon,Colorado Rockies,0.2-0.51,$6700,2.97,0.2,0.51,4.95,1,0,5.05,5.58,3.11,2.78,1.08,1.5,3.53,1.4,,19.9,COL @ SD
Andre Pallante,St. Louis Cardinals,0.33-0.36,$7000,3.26,0.33,0.36,4.6,1,0,5.32,5.65,3.06,2.72,0.72,2.03,3.84,1.44,,22.8,STL @ MIL
Quinn Priester,Milwaukee Brewers,0.33-0.32,$8400,3.11,0.33,0.32,4.13,1,0,5.52,5.04,2.87,2.53,0.77,1.61,4.37,1.2,,26.1,STL @ MIL
Brady Singer,Cincinnati Reds,0.31-0.35,$9100,2.96,0.31,0.35,4.4,1,0,5.32,5.21,2.74,2.6,0.74,2.12,5.06,1.38,,26.9,CIN @ OAK
J.T. Ginn,Oakland Athletics,0.31-0.28,$7600,3.53,0.31,0.28,3.79,1,0,5.28,5.01,2.43,2.22,0.73,1.47,4.58,1.23,,26.8,CIN @ OAK
Chris Bassitt,Toronto Blue Jays,0.26-0.3,$9300,2.82,0.26,0.3,4.26,1,0,5.41,5.33,2.88,2.56,0.82,1.66,4.76,1.29,,26.2,BAL @ TOR
Jeff Hoffman,Toronto Blue Jays,0.03-0.03,$5500,0.33,0.03,0.03,4.38,0,0.28,0.52,0.5,0.27,0.25,0.12,0.17,0.26,1.31,,1.8,BAL @ TOR
Trevor Rogers,Baltimore Orioles,0.31-0.28,$10400,2.7,0.31,0.28,4.02,1,0,5.65,5.39,2.81,2.52,0.58,1.62,4.96,1.24,,28.1,BAL @ TOR
Felix Bautista,Baltimore Orioles,0.02-0.02,$5500,0.35,0.02,0.02,2.7,0,0.22,0.41,0.33,0.14,0.12,0.04,0.26,0.29,1.41,,1.9,BAL @ TOR
Sandy Alcantara,Miami Marlins,0.19-0.51,$8500,2.78,0.19,0.51,4.71,1,0,5.58,6.22,3.36,2.92,0.83,1.95,4.3,1.46,,23.6,DET @ MIA
Tarik Skubal,Detroit Tigers,0.45-0.21,$11000,3.24,0.45,0.21,2.99,1,0,5.83,4.81,2.14,1.94,0.52,1.33,6.31,1.05,,35.6,DET @ MIA
