player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Matt Boyd,Chicago Cubs,0.35-0.24,$9400,3.07,0.35,0.24,3.32,1,0,5.4,4.95,2.24,1.99,0.52,1.57,4.96,1.21,,28.9,CHC @ STL
Michael McGreevy,St. Louis Cardinals,0.23-0.36,$6900,3.8,0.23,0.36,3.62,1,0,5.52,5.21,2.49,2.22,0.62,1.28,4.33,1.17,,26.2,CHC @ STL
Kenley Jansen,Los Angeles Angels,0.01-0.02,$5500,0.18,0.01,0.02,2.86,0,0.14,0.27,0.21,0.09,0.08,0.04,0.09,0.12,1.13,,1,LAA @ DET
Kyle Hendricks,Los Angeles Angels,0.09-0.6,$6800,2.37,0.09,0.6,6.22,1,0,4.81,5.57,3.62,3.32,0.96,1.75,3.3,1.52,,16.1,LAA @ DET
Tarik Skubal,Detroit Tigers,0.6-0.11,$11000,3.84,0.6,0.11,2.43,1,0,5.93,4.43,1.83,1.6,0.46,1.17,7.69,0.94,,42.2,LAA @ DET
Jason Foley,Detroit Tigers,0.03-0.04,$5500,0.42,0.03,0.04,3.28,0,0.36,0.66,0.57,0.26,0.24,0.06,0.24,0.28,1.21,,2.3,LAA @ DET
Jake Irvin,Washington Nationals,0.24-0.43,$7300,2.92,0.24,0.43,5.12,1,0,5.3,5.96,3.25,3.01,0.81,1.68,3.93,1.44,,21.3,WSH @ SF
Kai-Wei Teng,San Francisco Giants,0.35-0.24,$8000,3.29,0.35,0.24,3.91,1,0,5.02,5.01,2.41,2.18,0.64,1.85,4.79,1.37,,26.3,WSH @ SF
Tyler Kinley,Atlanta Braves,0.02-0.03,$5500,0.29,0.02,0.03,5.64,0,0.25,0.47,0.53,0.32,0.3,0.05,0.28,0.32,1.71,,1.6,MIA @ ATL
Edward Cabrera,Miami Marlins,0.35-0.25,$8200,3.62,0.35,0.25,3.92,1,0,5.37,4.59,2.6,2.34,0.6,1.88,5.44,1.21,,29.7,MIA @ ATL
Bryce Elder,Atlanta Braves,0.24-0.34,$7000,3.61,0.24,0.34,4.39,1,0,5.3,4.85,3,2.58,0.65,1.72,4.7,1.24,,25.3,MIA @ ATL
Calvin Faucher,Miami Marlins,0.02-0.03,$5500,0.31,0.02,0.03,3.5,0,0.25,0.46,0.4,0.19,0.18,0.04,0.21,0.25,1.33,,1.7,MIA @ ATL
Aroldis Chapman,Boston Red Sox,0.02-0.02,$5500,0.27,0.02,0.02,1.6,0,0.19,0.35,0.23,0.07,0.06,0.02,0.12,0.17,1.02,,1.5,BOS @ SD
Nick Pivetta,San Diego Padres,0.41-0.24,$10000,3.47,0.41,0.24,2.98,1,0,5.46,4.51,2.1,1.81,0.57,1.59,6.38,1.12,,34.7,BOS @ SD
Walker Buehler,Boston Red Sox,0.23-0.48,$6600,3.33,0.23,0.48,4.58,1,0,5.17,5.63,2.91,2.63,0.86,2.47,3.82,1.57,,22,BOS @ SD
Mason Miller,San Diego Padres,0.03-0.03,$5500,0.45,0.03,0.03,3.71,0,0.31,0.59,0.53,0.26,0.24,0.07,0.29,0.41,1.39,,2.5,BOS @ SD
Austin Gomber,Colorado Rockies,0.17-0.52,$6000,2.63,0.17,0.52,6.78,1,0,5,5.97,4.15,3.76,1.17,1.59,3.32,1.51,,15.8,COL @ ARI
Zac Gallen,Arizona Diamondbacks,0.51-0.2,$7900,3.86,0.51,0.2,4.34,1,0,5.55,4.94,2.99,2.67,0.76,1.61,5.64,1.18,,30.5,COL @ ARI
Josh Hader,Houston Astros,0.03-0.03,$5500,0.38,0.03,0.03,2.38,0,0.27,0.51,0.38,0.15,0.13,0.08,0.16,0.25,1.07,,2.1,HOU @ NYY
David Bednar,New York Yankees,0.02-0.02,$5500,0.25,0.02,0.02,3.04,0,0.23,0.42,0.35,0.15,0.14,0.03,0.13,0.16,1.14,,1.4,HOU @ NYY
Hunter Brown,Houston Astros,0.37-0.25,$9700,3.32,0.37,0.25,4.24,1,0,5.46,4.98,2.88,2.57,0.81,2.02,6.48,1.28,,32.2,HOU @ NYY
Cam Schlittler,New York Yankees,0.22-0.38,$7400,3.32,0.22,0.38,4.81,1,0,5.11,4.43,2.99,2.73,0.96,2.12,4.88,1.28,,24.6,HOU @ NYY
Seth Lugo,Kansas City Royals,0.22-0.43,$8600,2.84,0.22,0.43,5.09,1,0,5.41,5.4,3.39,3.06,0.97,1.79,4.9,1.33,,24.4,KC @ MIN
Joe Ryan,Minnesota Twins,0.41-0.23,$10200,3.32,0.41,0.23,3.79,1,0,5.66,4.93,2.59,2.38,0.94,1.17,6.53,1.08,,33.9,KC @ MIN
Clayton Kershaw,Los Angeles Dodgers,0.39-0.23,$7600,3.43,0.39,0.23,3.74,1,0,5.1,4.95,2.39,2.12,0.65,1.78,4.36,1.32,,26.1,TOR @ LAD
Max Scherzer,Toronto Blue Jays,0.22-0.44,$8700,2.77,0.22,0.44,4.79,1,0,5.01,5.02,2.93,2.66,1.09,1.54,4.74,1.31,,24.1,TOR @ LAD
Jeff Hoffman,Toronto Blue Jays,0.02-0.02,$5500,0.24,0.02,0.02,4.21,0,0.22,0.42,0.4,0.21,0.2,0.09,0.1,0.18,1.21,,1.3,TOR @ LAD
Alexis Diaz,Los Angeles Dodgers,0.03-0.03,$5500,0.24,0.03,0.03,7.79,0,0.27,0.51,0.69,0.48,0.44,0.19,0.27,0.3,1.88,,1.3,TOR @ LAD
Luis Castillo,Seattle Mariners,0.34-0.38,$9100,3.15,0.34,0.38,3.65,1,0,5.67,5.27,2.51,2.3,0.84,1.63,4.84,1.22,,28.7,TB @ SEA
Pete Fairbanks,Tampa Bay Rays,0.02-0.03,$5500,0.31,0.02,0.03,2.83,0,0.25,0.46,0.37,0.16,0.14,0.02,0.16,0.2,1.16,,1.7,TB @ SEA
Andres Munoz,Seattle Mariners,0.02-0.03,$5500,0.38,0.02,0.03,1.51,0,0.25,0.47,0.31,0.09,0.08,0.02,0.22,0.28,1.12,,2.1,TB @ SEA
Drew Rasmussen,Tampa Bay Rays,0.31-0.28,$7700,3.39,0.31,0.28,3.59,1,0,4.7,4.46,2.08,1.88,0.58,1.41,4.72,1.25,,26.1,TB @ SEA
Chris Martin,Texas Rangers,0.02-0.03,$5500,0.27,0.02,0.03,2.53,0,0.24,0.44,0.34,0.13,0.12,0.05,0.07,0.14,0.93,,1.5,PHI @ TEX
Merrill Kelly,Texas Rangers,0.24-0.38,$8800,3.26,0.24,0.38,3.8,1,0,5.83,4.95,2.74,2.46,0.74,1.56,5.02,1.12,,28.7,PHI @ TEX
Cristopher Sanchez,Philadelphia Phillies,0.4-0.24,$10400,3.12,0.4,0.24,3.19,1,0,5.71,5.02,2.28,2.02,0.48,1.21,5.49,1.09,,32.4,PHI @ TEX
Jhoan Duran,Philadelphia Phillies,0.02-0.03,$5500,0.35,0.02,0.03,2.19,0,0.26,0.49,0.36,0.13,0.12,0.01,0.16,0.23,1.07,,1.9,PHI @ TEX
Trevor May,Oakland Athletics,0.02-0.03,N/A,N/A,0.02,0.03,3.3,0,0.25,0.47,0.4,0.19,0.17,0.04,0.17,0.21,1.22,,1.6,OAK @ BAL
Felix Bautista,Baltimore Orioles,0.02-0.03,$5500,0.38,0.02,0.03,2.7,0,0.25,0.46,0.36,0.15,0.14,0.04,0.29,0.33,1.41,,2.1,OAK @ BAL
J.T. Ginn,Oakland Athletics,0.27-0.33,$7100,2.76,0.27,0.33,5.34,1,0,4.62,5.04,2.91,2.74,0.67,1.49,3.7,1.41,,19.6,OAK @ BAL
Tomoyuki Sugano,Baltimore Orioles,0.33-0.34,$7200,3.03,0.33,0.34,4.81,1,0,5.42,5.81,3.19,2.89,1.03,1.6,3.63,1.37,,21.8,OAK @ BAL
Aaron Civale,Chicago White Sox,0.24-0.4,$7500,3.31,0.24,0.4,4.41,1,0,5.2,4.77,2.7,2.55,0.61,1.6,4.6,1.22,,24.8,CLE @ CHW
Emmanuel Clase,Cleveland Guardians,0.02-0.03,$5500,0.31,0.02,0.03,2.84,0,0.26,0.49,0.39,0.17,0.15,0.02,0.11,0.18,1.04,,1.7,CLE @ CHW
Tanner Bibee,Cleveland Guardians,0.36-0.28,$8300,3.34,0.36,0.28,3.84,1,0,5.66,5.2,2.62,2.42,0.58,1.55,4.74,1.19,,27.7,CLE @ CHW
Jordan Leasure,Chicago White Sox,0.02-0.03,$5500,0.27,0.02,0.03,4.51,0,0.24,0.44,0.44,0.24,0.22,0.08,0.23,0.25,1.51,,1.5,CLE @ CHW
Brandon Woodruff,Milwaukee Brewers,0.36-0.23,$9900,3.27,0.36,0.23,3.48,1,0,5.43,4.43,2.31,2.1,0.85,1.45,6.11,1.08,,32.4,NYM @ MIL
Ryan Helsley,New York Mets,0.02-0.02,$5500,0.29,0.02,0.02,2.66,0,0.22,0.4,0.32,0.13,0.12,0.04,0.15,0.2,1.14,,1.6,NYM @ MIL
Trevor Megill,Milwaukee Brewers,0.03-0.03,$5500,0.38,0.03,0.03,2.37,0,0.28,0.53,0.4,0.15,0.14,0.04,0.2,0.26,1.13,,2.1,NYM @ MIL
Kodai Senga,New York Mets,0.26-0.4,$8500,3.05,0.26,0.4,4.61,1,0,5.04,4.51,2.88,2.58,0.6,2.43,5.13,1.38,,25.9,NYM @ MIL
