player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Mike Trout,Los Angeles Angels,$3100,3.58,4.67,0.43,0.92,0.58,0.22,0,0.18,0.69,0.01,0,0.66,1.31,0.236,0.346,0.444,0.791,11.1,LAA @ MIL
Christian Yelich,Milwaukee Brewers,$3700,3.46,4.33,0.64,1.04,0.66,0.14,0.08,0.21,0.57,0.18,0.03,0.49,1.02,0.276,0.364,0.531,0.895,12.8,LAA @ MIL
Yoan Moncada,Los Angeles Angels,$2900,4.1,4.56,0.57,1.01,0.54,0.29,0.01,0.25,0.58,0,0.01,0.43,1.13,0.25,0.336,0.528,0.864,11.9,LAA @ MIL
Taylor Ward,Los Angeles Angels,$3200,3.53,4.34,0.56,0.88,0.47,0.22,0.01,0.24,0.56,0.01,0.02,0.55,1.14,0.237,0.344,0.506,0.85,11.3,LAA @ MIL
Luis Rengifo,Los Angeles Angels,$2500,2.88,4.11,0.42,0.89,0.78,0.11,0.03,0.01,0.25,0.14,0.06,0.2,0.69,0.233,0.278,0.292,0.571,7.2,LAA @ MIL
Jo Adell,Los Angeles Angels,$3000,3.0,4.23,0.44,0.92,0.61,0.16,0.02,0.15,0.51,0.02,0.02,0.23,1,0.237,0.288,0.412,0.7,9,LAA @ MIL
William Contreras,Milwaukee Brewers,$3100,3.65,4.44,0.65,0.99,0.63,0.25,0,0.15,0.51,0.07,0.01,0.59,0.68,0.261,0.362,0.455,0.817,11.3,LAA @ MIL
Andrew Vaughn,Milwaukee Brewers,$2900,3.59,4.22,0.52,1.13,0.75,0.26,0.02,0.14,0.6,0,0,0.27,0.63,0.292,0.34,0.487,0.827,10.4,LAA @ MIL
Oswald Peraza,Los Angeles Angels,$2300,3.22,4,0.39,0.72,0.56,0.14,0,0.06,0.38,0.08,0.02,0.32,1.23,0.207,0.279,0.316,0.595,7.4,LAA @ MIL
Brice Turang,Milwaukee Brewers,$3400,4.12,4.66,0.76,1.19,0.86,0.18,0.01,0.22,0.62,0.17,0.02,0.59,0.88,0.297,0.395,0.532,0.926,14,LAA @ MIL
Joey Ortiz,Milwaukee Brewers,$2600,3.27,3.77,0.44,0.85,0.61,0.14,0.04,0.1,0.42,0.07,0.01,0.29,0.61,0.255,0.319,0.422,0.741,8.5,LAA @ MIL
Blake Perkins,Milwaukee Brewers,$2800,3.0,3.89,0.46,0.74,0.52,0.17,0.02,0.06,0.28,0.12,0.03,0.5,0.96,0.226,0.337,0.351,0.689,8.4,LAA @ MIL
Sal Frelick,Milwaukee Brewers,$3100,3.26,4,0.63,1,0.77,0.22,0.02,0.05,0.41,0.12,0.02,0.39,0.51,0.288,0.375,0.418,0.793,10.1,LAA @ MIL
Jackson Chourio,Milwaukee Brewers,$3600,3.33,4.55,0.63,1.12,0.67,0.31,0.01,0.17,0.64,0.1,0.05,0.32,0.95,0.271,0.33,0.482,0.812,12,LAA @ MIL
Bryce Teodosio,Los Angeles Angels,$2300,2.61,3.78,0.34,0.68,0.46,0.18,0.02,0.06,0.23,0.03,0.03,0.16,1.17,0.191,0.234,0.312,0.546,6,LAA @ MIL
Caleb Durbin,Milwaukee Brewers,$2800,3.71,4.11,0.66,0.98,0.72,0.19,0.03,0.06,0.55,0.14,0.03,0.35,0.57,0.27,0.341,0.399,0.74,10.4,LAA @ MIL
Paul Goldschmidt,New York Yankees,$2700,4.0,4.36,0.6,1.09,0.73,0.25,0.03,0.14,0.54,0.07,0.01,0.24,0.86,0.271,0.318,0.47,0.788,10.8,NYY @ BAL
Giancarlo Stanton,New York Yankees,$3500,4.37,4.58,0.73,1.12,0.5,0.35,0,0.37,1.01,0,0,0.4,1.5,0.273,0.346,0.65,0.997,15.3,NYY @ BAL
Aaron Judge,New York Yankees,$4800,3.52,4.8,0.85,1.26,0.63,0.28,0,0.39,0.96,0.07,0.01,0.7,1.24,0.309,0.413,0.672,1.085,16.9,NYY @ BAL
Cody Bellinger,New York Yankees,$3500,3.91,4.69,0.74,1.12,0.69,0.2,0.02,0.26,0.75,0.1,0.01,0.5,0.89,0.273,0.352,0.532,0.883,13.7,NYY @ BAL
Austin Slater,New York Yankees,$2400,4.33,4.91,0.54,0.84,0.5,0.16,0.01,0.2,0.54,0.04,0.04,0.38,1.45,0.194,0.284,0.387,0.671,10.4,NYY @ BAL
Tyler O'Neill,Baltimore Orioles,$2900,3.55,4.25,0.5,0.86,0.55,0.16,0.02,0.18,0.5,0.1,0.01,0.45,1.26,0.227,0.307,0.439,0.747,10.3,NYY @ BAL
