player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Zac Gallen,Arizona Diamondbacks,0.3-0.41,$8700,3.18,0.3,0.41,4.44,1,0,5.65,5.26,3.11,2.79,0.77,1.88,5.11,1.26,,27.7,SF @ ARI
A.J. Puk,Arizona Diamondbacks,0.02-0.03,$5500,0.29,0.02,0.03,3.34,0,0.26,0.48,0.41,0.19,0.18,0.1,0.12,0.19,1.12,,1.6,SF @ ARI
Ryan Walker,San Francisco Giants,0.02-0.03,$5500,0.27,0.02,0.03,3.51,0,0.24,0.45,0.4,0.19,0.18,0.03,0.12,0.19,1.14,,1.5,SF @ ARI
Kai-Wei Teng,San Francisco Giants,0.35-0.27,$8400,3.0,0.35,0.27,4.16,1,0,4.61,4.06,2.4,2.13,0.28,2.27,4.68,1.37,,25.2,SF @ ARI
Tanner Scott,Los Angeles Dodgers,0.02-0.03,$5500,0.27,0.02,0.03,4.44,0,0.26,0.49,0.48,0.26,0.24,0.1,0.16,0.21,1.3,,1.5,PHI @ LAD
Ranger Suarez,Philadelphia Phillies,0.32-0.36,$10300,3.1,0.32,0.36,3.08,1,0,5.59,4.95,2.21,1.91,0.68,1.7,5.65,1.19,,31.9,PHI @ LAD
Jhoan Duran,Philadelphia Phillies,0.02-0.03,$5500,0.31,0.02,0.03,2.08,0,0.24,0.44,0.32,0.11,0.1,0.01,0.12,0.18,0.99,,1.7,PHI @ LAD
Emmet Sheehan,Los Angeles Dodgers,0.31-0.3,$8900,3.58,0.31,0.3,3.18,1,0,5.31,4.26,2,1.88,0.75,1.73,5.96,1.13,,31.9,PHI @ LAD
Carlos Rodon,New York Yankees,0.48-0.23,$10000,3.34,0.48,0.23,3.82,1,0,5.67,5.04,2.7,2.41,0.79,2.16,6.3,1.27,,33.4,NYY @ MIN
Simeon Woods Richardson,Minnesota Twins,0.2-0.41,$7100,2.94,0.2,0.41,5.49,1,0,4.71,5.03,3.18,2.87,0.91,2.26,4.33,1.55,,20.9,NYY @ MIN
Chris Martin,Texas Rangers,0.02-0.02,$5500,0.24,0.02,0.02,2.68,0,0.21,0.39,0.3,0.12,0.11,0.05,0.06,0.13,0.95,,1.3,TEX @ HOU
Josh Hader,Houston Astros,0.03-0.03,$5500,0.4,0.03,0.03,2.31,0,0.29,0.54,0.41,0.15,0.14,0.09,0.18,0.27,1.07,,2.2,TEX @ HOU
Jason Alexander,Houston Astros,0.28-0.35,$7100,3.66,0.28,0.35,4.44,1,0,5.43,5.03,2.95,2.67,1.1,1.66,4.79,1.23,,26,TEX @ HOU
Jack Leiter,Texas Rangers,0.32-0.3,$8400,3.29,0.32,0.3,4.09,1,0,5.24,4.61,2.67,2.38,0.82,2.38,5.2,1.33,,27.6,TEX @ HOU
Felix Bautista,Baltimore Orioles,0.03-0.03,$5500,0.42,0.03,0.03,2.7,0,0.27,0.5,0.39,0.16,0.15,0.04,0.31,0.35,1.41,,2.3,BAL @ CHW
Kyle Bradish,Baltimore Orioles,0.33-0.24,$9800,2.96,0.33,0.24,3.68,1,0,5.27,4.59,2.4,2.16,0.53,1.56,5.34,1.17,,29,BAL @ CHW
Jordan Leasure,Chicago White Sox,0.02-0.03,$5500,0.27,0.02,0.03,4.13,0,0.23,0.44,0.41,0.22,0.2,0.08,0.22,0.23,1.44,,1.5,BAL @ CHW
Sean Burke,Chicago White Sox,0.21-0.32,$8000,2.8,0.21,0.32,4.75,1,0,5.09,4.94,3.05,2.69,0.87,1.82,4.2,1.33,,22.4,BAL @ CHW
Zack Littell,Cincinnati Reds,0.34-0.33,$7900,3.3,0.34,0.33,3.7,1,0,5.61,5.14,2.48,2.31,0.7,1.39,4.08,1.16,,26.1,CIN @ STL
Matthew Liberatore,St. Louis Cardinals,0.29-0.31,$7700,3.12,0.29,0.31,3.67,1,0,5.24,5.3,2.33,2.14,0.57,1.48,3.69,1.29,,24,CIN @ STL
Jeff Hoffman,Toronto Blue Jays,0.02-0.03,$5500,0.29,0.02,0.03,4.38,0,0.26,0.48,0.47,0.25,0.23,0.11,0.16,0.25,1.31,,1.6,TOR @ TB
Pete Fairbanks,Tampa Bay Rays,0.02-0.03,$5500,0.29,0.02,0.03,3.16,0,0.24,0.45,0.38,0.17,0.16,0.06,0.15,0.19,1.18,,1.6,TOR @ TB
