player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Carlos Santana,Cleveland Guardians,$2900,2.55,4.16,0.34,0.8,0.63,0.15,0,0.06,0.32,0.05,0.01,0.42,0.73,0.221,0.307,0.323,0.63,7.4,MIA @ CLE
Jose Ramirez,Cleveland Guardians,$4000,3.98,4.38,0.69,1.1,0.55,0.26,0.02,0.33,0.88,0.27,0.06,0.52,0.7,0.294,0.378,0.651,1.029,15.9,MIA @ CLE
Otto Lopez,Miami Marlins,$2900,3.86,4.42,0.56,1.09,0.84,0.17,0.02,0.14,0.46,0.18,0.04,0.41,0.55,0.279,0.352,0.453,0.805,11.2,MIA @ CLE
Steven Kwan,Cleveland Guardians,$2900,4.03,4.61,0.63,1.17,0.87,0.23,0.03,0.09,0.5,0.17,0.01,0.5,0.54,0.291,0.372,0.442,0.815,11.7,MIA @ CLE
Gabriel Arias,Cleveland Guardians,$2400,3.13,3.94,0.3,0.79,0.53,0.15,0.01,0.12,0.36,0.05,0.02,0.27,1.21,0.22,0.283,0.376,0.659,7.5,MIA @ CLE
Kyle Stowers,Miami Marlins,$3200,4.09,4.75,0.6,1.13,0.64,0.26,0.06,0.26,0.7,0.02,0.02,0.46,1.53,0.268,0.34,0.563,0.903,13.1,MIA @ CLE
Bo Naylor,Cleveland Guardians,$2700,3.04,4.05,0.32,0.59,0.29,0.15,0.01,0.17,0.48,0,0.01,0.53,1.23,0.172,0.281,0.381,0.662,8.2,MIA @ CLE
Brayan Rocchio,Cleveland Guardians,$2400,3.25,3.72,0.42,0.97,0.8,0.16,0.04,0.02,0.38,0.1,0.04,0.18,0.58,0.281,0.316,0.376,0.692,7.8,MIA @ CLE
Xavier Edwards,Miami Marlins,$3000,3.63,4.86,0.55,1.24,1.09,0.17,0.05,0.01,0.3,0.3,0.11,0.47,0.61,0.288,0.356,0.379,0.734,10.9,MIA @ CLE
Kyle Manzardo,Cleveland Guardians,$3000,3.9,4.27,0.48,1.04,0.57,0.29,0.01,0.26,0.66,0.01,0,0.38,1.19,0.273,0.336,0.587,0.922,11.7,MIA @ CLE
Graham Pauley,Miami Marlins,$2200,3.77,3.98,0.36,0.81,0.64,0.16,0,0.06,0.37,0.06,0.07,0.57,0.61,0.246,0.363,0.37,0.732,8.3,MIA @ CLE
Daniel Schneemann,Cleveland Guardians,$2700,4.52,4.49,0.61,1.09,0.68,0.29,0.04,0.15,0.57,0.12,0.03,0.51,1.07,0.282,0.366,0.514,0.88,12.2,MIA @ CLE
Liam Hicks,Miami Marlins,$2400,3.62,4.53,0.42,0.99,0.79,0.22,0,0.05,0.44,0,0.05,0.47,0.63,0.248,0.334,0.353,0.687,8.7,MIA @ CLE
Agustin Ramirez,Miami Marlins,$2900,4.21,4.64,0.66,1.08,0.65,0.28,0.01,0.2,0.57,0.08,0.03,0.42,0.94,0.261,0.337,0.494,0.831,12.2,MIA @ CLE
Heriberto Hernandez,Miami Marlins,$2700,4.15,4.2,0.54,0.98,0.67,0.14,0.01,0.19,0.69,0,0,0.48,1.05,0.277,0.378,0.493,0.871,11.2,MIA @ CLE
Troy Johnston,Miami Marlins,N/A,N/A,4.09,0.28,0.77,0.62,0.15,0,0.04,0.35,0,0.01,0.35,1.08,0.208,0.281,0.288,0.568,6.5,MIA @ CLE
Jakob Marsee,Miami Marlins,$3100,3.26,4.31,0.54,1,0.74,0.26,0,0.02,0.37,0.18,0.05,0.64,1.07,0.28,0.388,0.377,0.765,10.1,MIA @ CLE
CJ Kayfus,Cleveland Guardians,$2300,3.22,3.83,0.36,0.87,0.59,0.23,0.02,0.06,0.39,0,0.01,0.26,1.01,0.253,0.31,0.39,0.7,7.4,MIA @ CLE
Donovan Solano,Seattle Mariners,$2200,3.27,4.05,0.35,0.89,0.68,0.2,0.03,0.02,0.45,0,0.01,0.22,0.67,0.239,0.283,0.337,0.62,7.2,SEA @ BAL
Eugenio Suarez,Seattle Mariners,$3500,3.71,4.5,0.71,1.07,0.63,0.2,0.01,0.29,0.78,0.02,0,0.37,1.15,0.262,0.33,0.543,0.873,13,SEA @ BAL
Jorge Polanco,Seattle Mariners,$2900,3.07,4.27,0.5,0.82,0.53,0.16,0,0.15,0.49,0.01,0,0.37,0.95,0.211,0.282,0.378,0.66,8.9,SEA @ BAL
J.P. Crawford,Seattle Mariners,$2800,2.93,3.94,0.51,0.81,0.61,0.18,0.02,0.05,0.28,0.06,0.05,0.5,0.59,0.242,0.34,0.361,0.701,8.2,SEA @ BAL
Greg Allen,Baltimore Orioles,$2100,2.48,3.6,0.27,0.52,0.36,0.1,0.01,0.07,0.25,0,0,0.2,1.42,0.159,0.222,0.268,0.49,5.2,SEA @ BAL
Josh Naylor,Seattle Mariners,$3300,3.48,4.38,0.53,1.17,0.73,0.32,0.02,0.16,0.54,0.1,0.05,0.36,0.61,0.295,0.352,0.514,0.865,11.5,SEA @ BAL
Randy Arozarena,Seattle Mariners,$3300,3.64,4.83,0.68,0.93,0.64,0.17,0.01,0.15,0.63,0.2,0.03,0.47,1.4,0.22,0.305,0.384,0.689,12,SEA @ BAL
Dylan Carlson,Baltimore Orioles,$2400,2.38,3.72,0.31,0.65,0.47,0.14,0,0.07,0.24,0.05,0.03,0.14,1.21,0.186,0.217,0.295,0.512,5.7,SEA @ BAL
Ryan Mountcastle,Baltimore Orioles,$2700,2.74,4.05,0.38,0.81,0.55,0.18,0.03,0.07,0.41,0.02,0.02,0.24,1.06,0.22,0.27,0.346,0.615,7.4,SEA @ BAL
Adley Rutschman,Baltimore Orioles,$2900,2.66,4.16,0.41,0.85,0.63,0.16,0,0.09,0.29,0,0.01,0.44,0.91,0.231,0.317,0.36,0.677,7.7,SEA @ BAL
Cal Raleigh,Seattle Mariners,$4500,2.91,4.72,0.68,0.99,0.5,0.17,0,0.32,0.78,0.03,0,0.51,1.44,0.24,0.327,0.513,0.84,13.1,SEA @ BAL
Julio Rodriguez,Seattle Mariners,$3500,3.71,4.61,0.66,1.26,0.89,0.22,0.02,0.2,0.69,0.16,0.06,0.27,1.01,0.298,0.347,0.518,0.865,13,SEA @ BAL
Gunnar Henderson,Baltimore Orioles,$3600,2.83,4.27,0.59,0.94,0.6,0.23,0.01,0.15,0.41,0.1,0.02,0.38,1.25,0.244,0.314,0.443,0.758,10.2,SEA @ BAL
Jordan Westburg,Baltimore Orioles,$3200,2.75,4.38,0.4,0.97,0.61,0.21,0,0.17,0.5,0.01,0,0.2,1.04,0.234,0.267,0.418,0.685,8.8,SEA @ BAL
Dominic Canzone,Seattle Mariners,$2600,4.04,4.16,0.55,1.05,0.77,0.16,0.01,0.18,0.64,0.03,0,0.25,0.92,0.272,0.32,0.48,0.8,10.5,SEA @ BAL
Jackson Holliday,Baltimore Orioles,$2900,3.41,4.49,0.52,0.98,0.7,0.17,0,0.17,0.48,0.1,0.08,0.25,1.2,0.233,0.282,0.412,0.694,9.9,SEA @ BAL
Coby Mayo,Baltimore Orioles,$2600,3.27,3.94,0.5,0.61,0.29,0.13,0.02,0.19,0.52,0.02,0,0.25,1.35,0.17,0.229,0.379,0.608,8.5,SEA @ BAL
Jeremiah Jackson,Baltimore Orioles,$2200,2.0,3.83,0.22,0.61,0.51,0.11,0.03,0,0.23,0,0,0.14,1.39,0.177,0.213,0.232,0.445,4.4,SEA @ BAL
Freddie Freeman,Los Angeles Dodgers,$3400,4.41,4.76,0.79,1.36,0.85,0.4,0.01,0.23,0.84,0.07,0,0.4,0.81,0.319,0.38,0.607,0.987,15,LAD @ LAA
Mike Trout,Los Angeles Angels,$3200,3.34,4.34,0.48,0.83,0.52,0.12,0,0.23,0.61,0.01,0.01,0.6,1.35,0.228,0.337,0.461,0.797,10.7,LAD @ LAA
Mookie Betts,Los Angeles Dodgers,$3200,3.25,4.87,0.59,1.2,0.95,0.21,0.01,0.1,0.43,0.06,0.09,0.38,0.57,0.273,0.336,0.414,0.75,10.4,LAD @ LAA
Max Muncy,Los Angeles Dodgers,$3200,4.88,4.53,0.75,1.07,0.59,0.25,0,0.34,1.02,0.03,0.03,0.64,0.88,0.283,0.391,0.645,1.036,15.6,LAD @ LAA
Michael Conforto,Los Angeles Dodgers,$2500,3.72,4.31,0.46,0.75,0.47,0.16,0,0.17,0.49,0,0.01,0.54,1.07,0.203,0.309,0.4,0.709,9.3,LAD @ LAA
Teoscar Hernandez,Los Angeles Dodgers,$3100,4.71,4.42,0.79,1.32,0.77,0.3,0.02,0.31,0.84,0.06,0.05,0.23,0.79,0.319,0.36,0.646,1.005,14.6,LAD @ LAA
Yoan Moncada,Los Angeles Angels,$2700,3.56,4.12,0.4,0.71,0.31,0.17,0.02,0.25,0.53,0,0.02,0.4,1.28,0.193,0.281,0.474,0.755,9.6,LAD @ LAA
Shohei Ohtani,Los Angeles Dodgers,$4900,3.43,4.98,0.93,1.14,0.63,0.28,0.01,0.33,0.83,0.15,0.06,0.64,1.21,0.274,0.387,0.615,1.002,16.8,LAD @ LAA
Taylor Ward,Los Angeles Angels,$3300,3.39,4.23,0.47,0.9,0.45,0.19,0.01,0.26,0.61,0.01,0.01,0.53,1.16,0.246,0.353,0.517,0.87,11.2,LAD @ LAA
Luis Rengifo,Los Angeles Angels,$2400,3.25,3.9,0.41,0.88,0.69,0.16,0.02,0.06,0.4,0.05,0.01,0.24,0.79,0.252,0.308,0.374,0.682,7.8,LAD @ LAA
Will Smith,Los Angeles Dodgers,$3400,3.85,4.64,0.69,1.23,0.75,0.34,0.03,0.18,0.7,0.01,0,0.53,0.78,0.308,0.39,0.559,0.949,13.1,LAD @ LAA
Jo Adell,Los Angeles Angels,$2900,3.17,4.01,0.42,0.76,0.4,0.14,0.01,0.22,0.59,0.01,0,0.25,1.16,0.209,0.274,0.441,0.714,9.2,LAD @ LAA
Logan O'Hoppe,Los Angeles Angels,$2700,3.48,3.79,0.4,0.89,0.62,0.13,0,0.2,0.59,0.01,0.02,0.23,1.24,0.258,0.319,0.492,0.811,9.4,LAD @ LAA
