Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
117541-119340,P,Tarik,Tarik Skubal,Skubal,43.75,12,11200,DET@KC,DET,KC,,,,,,P
117541-146687,P,Hunter,Hunter Brown,Brown,43,11,10900,TB@HOU,HOU,TB,,,,Yes,,P
117541-79280,P,Jesus,Jesus Luzardo,Luzardo,35.666666666666664,12,10800,MIL@PHI,PHI,MIL,,,,,,P
117541-16960,P,Zack,Zack Wheeler,Wheeler,42.25,12,10600,MIL@PHI,PHI,MIL,,,,,,P
117541-135977,P,Garrett,Garrett Crochet,Crochet,41.083333333333336,12,10600,BOS@ATL,BOS,ATL,,,,Yes,,P
117541-53029,P,Robbie,Robbie Ray,Ray,38.5,12,10600,SF@MIA,SF,MIA,,,,,,P
117541-85599,P,Framber,Framber Valdez,Valdez,36.5,12,10500,TB@HOU,HOU,TB,,,,,,P
117541-82550,P,Hunter,Hunter Greene,Greene,35.8,10,10200,CIN@CHC,CIN,CHC,,,,,,P
117541-101839,P,Logan,Logan Webb,Webb,38.75,12,10200,SF@MIA,SF,MIA,,,,,,P
117541-182153,P,Kodai,Kodai Senga,Senga,35.09090909090909,11,10200,COL@NYM,NYM,COL,,,,,,P
117541-102330,P,Kris,Kris Bubic,Bubic,40.36363636363637,11,10200,DET@KC,KC,DET,,,,Yes,,P
117541-118225,P,Cristopher,Cristopher Sanchez,Sanchez,33.63636363636363,11,10100,MIL@PHI,PHI,MIL,,,,,,P
117541-12477,P,Chris,Chris Sale,Sale,35.833333333333336,12,9900,BOS@ATL,ATL,BOS,,,,,,P
117541-82618,P,David,David Peterson,Peterson,32.63636363636363,11,9900,COL@NYM,NYM,COL,,,,,,P
117541-83157,P,Ranger,Ranger Suarez,Suarez,38.8,5,9900,MIL@PHI,PHI,MIL,,,,Yes,,P
117541-60647,P,Aaron,Aaron Nola,Nola,24.555555555555557,9,9900,MIL@PHI,PHI,MIL,IL,Ankle,,,,P
117541-83190,P,Freddy,Freddy Peralta,Peralta,31.25,12,9900,MIL@PHI,MIL,PHI,,,,,,P
117541-85253,P,Casey,Casey Mize,Mize,32,9,9800,DET@KC,DET,KC,,,,,,P
117541-79270,P,Cole,Cole Ragans,Ragans,33.77777777777778,9,9800,DET@KC,KC,DET,IL,Groin,,,,P
117541-63136,P,Matthew,Matthew Boyd,Boyd,33.72727272727273,11,9700,CIN@CHC,CHC,CIN,,,,,,P
117541-79232,P,Clay,Clay Holmes,Holmes,30.454545454545453,11,9600,COL@NYM,NYM,COL,,,,Yes,,P
117541-119329,P,Nick,Nick Lodolo,Lodolo,30.75,12,9500,CIN@CHC,CIN,CHC,,,,,,P
117541-102294,P,Grayson,Grayson Rodriguez,Rodriguez,35.6,20,9500,CWS@BAL,BAL,CWS,IL,Lat,,,,P
117541-219697,P,Noah,Noah Cameron,Cameron,36,4,9400,DET@KC,KC,DET,,,,,,P
117541-164503,P,Spencer,Spencer Schwellenbach,Schwellenbach,34.916666666666664,12,9400,BOS@ATL,ATL,BOS,,,,,,P
117541-11328,P,Martin,Martin Perez,Perez,26.75,4,9400,CWS@BAL,CWS,BAL,IL,Elbow,,,0,P
117541-38000,P,Kevin,Kevin Gausman,Gausman,32.18181818181818,11,9400,ATH@TOR,TOR,ATH,,,,Yes,,P
117541-165512,P,Andrew,Andrew Abbott,Abbott,35.55555555555556,9,9400,CIN@CHC,CIN,CHC,,,,,,P
117541-198885,P,Spencer,Spencer Arrighetti,Arrighetti,22.5,2,9300,TB@HOU,HOU,TB,IL,Thumb,,,,P
117541-219653,P,Logan,Logan Henderson,Henderson,40,4,9300,MIL@PHI,MIL,PHI,,,,,,P
117541-165551,P,Reese,Reese Olson,Olson,31.88888888888889,9,9300,DET@KC,DET,KC,IL,Finger,,,,P
117541-102407,P,Shane,Shane McClanahan,McClanahan,0,1,9200,TB@HOU,TB,HOU,IL,Triceps,,,,P
117541-82554,P,Shane,Shane Bieber,Bieber,58,5,9200,LAA@CLE,CLE,LAA,IL,Elbow,,,,P
117541-68491,P,Reynaldo,Reynaldo Lopez,Lopez,9,1,9200,BOS@ATL,ATL,BOS,IL,Shoulder,,,,P
117541-79246,P,Jack,Jack Flaherty,Flaherty,31.454545454545453,11,9100,DET@KC,DET,KC,,,,,,P
117541-198702,P,Shota,Shota Imanaga,Imanaga,27.5,8,9000,CIN@CHC,CHC,CIN,IL,Hamstring,,,,P
117541-16961,P,Jameson,Jameson Taillon,Taillon,28.454545454545453,11,9000,CIN@CHC,CHC,CIN,,,,Yes,,P
117541-82582,P,Griffin,Griffin Canning,Canning,26.363636363636363,11,9000,COL@NYM,NYM,COL,,,,,,P
117541-80582,P,Brandon,Brandon Woodruff,Woodruff,,0,9000,MIL@PHI,MIL,PHI,IL,Ankle,,,,P
117541-83166,P,Zack,Zack Littell,Littell,27.833333333333332,12,9000,TB@HOU,TB,HOU,,,,,,P
117541-53067,P,Chris,Chris Bassitt,Bassitt,30.333333333333332,12,9000,ATH@TOR,TOR,ATH,,,,,,P
117541-135343,P,Max,Max Meyer,Meyer,28.727272727272727,11,8900,SF@MIA,MIA,SF,,,,,,P
117541-68518,P,Spencer,Spencer Turnbull,Turnbull,18.529411764705884,17,8900,ATH@TOR,TOR,ATH,,,,,,P
117541-52165,P,Sean,Sean Manaea,Manaea,31.083333333333332,36,8800,COL@NYM,NYM,COL,IL,Oblique,,,,P
