player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Freddie Freeman,Los Angeles Dodgers,$3700,3.22,4.44,0.58,1.14,0.68,0.29,0.05,0.21,0.62,0.03,0.03,0.31,0.92,0.278,0.327,0.558,0.884,11.9,STL @ LAD
Mookie Betts,Los Angeles Dodgers,$3400,2.94,4.55,0.54,1.11,0.8,0.24,0.06,0.08,0.48,0.04,0.04,0.31,0.51,0.269,0.319,0.436,0.755,10,STL @ LAD
Michael Conforto,Los Angeles Dodgers,$2700,3.3,4.1,0.36,0.85,0.52,0.18,0,0.21,0.41,0,0,0.38,0.83,0.23,0.306,0.467,0.773,8.9,STL @ LAD
Willson Contreras,St. Louis Cardinals,$2900,3.28,4.46,0.48,0.97,0.6,0.27,0.03,0.13,0.35,0.03,0.01,0.39,1.41,0.242,0.314,0.438,0.752,9.5,STL @ LAD
Teoscar Hernandez,Los Angeles Dodgers,$3500,2.77,4.21,0.42,0.96,0.54,0.29,0.03,0.16,0.44,0.08,0.01,0.23,0.96,0.245,0.289,0.472,0.761,9.7,STL @ LAD
Shohei Ohtani,Los Angeles Dodgers,$4800,4.0,4.66,0.92,1.52,0.83,0.32,0.01,0.49,0.97,0.11,0.03,0.52,0.98,0.376,0.455,0.86,1.316,19.2,STL @ LAD
Will Smith,Los Angeles Dodgers,$3400,4.06,4.32,0.73,1.23,0.71,0.35,0.01,0.24,0.77,0,0.01,0.48,0.57,0.325,0.404,0.634,1.038,13.8,STL @ LAD
Tommy Edman,Los Angeles Dodgers,$2900,2.76,3.77,0.35,0.91,0.65,0.23,0.01,0.09,0.46,0.03,0.01,0.18,0.52,0.259,0.296,0.426,0.721,8,STL @ LAD
Lars Nootbaar,St. Louis Cardinals,$2800,3.57,4.35,0.44,0.86,0.55,0.13,0.01,0.2,0.5,0.02,0.01,0.58,1.15,0.23,0.334,0.44,0.774,10,STL @ LAD
Yohel Pozo,St. Louis Cardinals,$2300,3.65,4.02,0.36,0.98,0.6,0.28,0.02,0.11,0.43,0,0,0.21,0.62,0.265,0.307,0.451,0.758,8.4,STL @ LAD
Brendan Donovan,St. Louis Cardinals,$3000,3.07,4.8,0.4,1.08,0.78,0.22,0.01,0.09,0.45,0.03,0.02,0.35,0.68,0.252,0.316,0.38,0.696,9.2,STL @ LAD
Nolan Gorman,St. Louis Cardinals,$2800,3.32,4.13,0.47,0.74,0.41,0.24,0.02,0.12,0.44,0.01,0,0.58,1.47,0.214,0.33,0.413,0.743,9.3,STL @ LAD
Ivan Herrera,St. Louis Cardinals,$3100,3.94,4.68,0.58,1.19,0.77,0.2,0.02,0.22,0.63,0.06,0.01,0.47,1.01,0.285,0.357,0.512,0.87,12.2,STL @ LAD
Alec Burleson,St. Louis Cardinals,$3000,3.4,4.57,0.47,0.93,0.61,0.17,0.03,0.14,0.53,0.06,0.01,0.44,0.67,0.237,0.329,0.414,0.743,10.2,STL @ LAD
Masyn Winn,St. Louis Cardinals,$2900,2.83,4.24,0.43,0.86,0.64,0.21,0,0.06,0.34,0.08,0.03,0.37,0.7,0.23,0.303,0.342,0.645,8.2,STL @ LAD
Andy Pages,Los Angeles Dodgers,$3000,3.4,3.99,0.53,1.04,0.65,0.22,0.01,0.21,0.53,0.04,0.02,0.17,0.73,0.275,0.306,0.519,0.824,10.2,STL @ LAD
Victor Scott II,St. Louis Cardinals,$2500,3.48,3.91,0.48,0.77,0.6,0.12,0.05,0.04,0.2,0.27,0.08,0.42,1.22,0.226,0.319,0.335,0.654,8.7,STL @ LAD
Alex Freeland,Los Angeles Dodgers,$2200,2.64,3.88,0.24,0.8,0.64,0.15,0.02,0.02,0.29,0,0.02,0.22,1.23,0.227,0.278,0.31,0.588,5.8,STL @ LAD
