player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Andres Munoz,Seattle Mariners,0.02-0.03,$5500,0.47,0.02,0.03,1.03,0,0.26,0.49,0.29,0.06,0.06,0.02,0.2,0.4,1.01,,2.6,WSH @ SEA
Kyle Finnegan,Washington Nationals,0.02-0.03,$5500,0.33,0.02,0.03,3.02,0,0.24,0.44,0.37,0.16,0.15,0.03,0.16,0.28,1.19,,1.8,WSH @ SEA
MacKenzie Gore,Washington Nationals,0.37-0.33,$10000,3.01,0.37,0.33,4.73,1,0,5.41,5,3.13,2.84,0.94,2.41,6.16,1.37,,30.1,WSH @ SEA
Emerson Hancock,Seattle Mariners,0.29-0.34,$7600,3.0,0.29,0.34,4.17,1,0,5.29,5.38,2.66,2.45,1.01,1.48,3.66,1.29,,22.8,WSH @ SEA
Jose Berrios,Toronto Blue Jays,0.39-0.28,$8200,3.22,0.39,0.28,4.03,1,0,5.3,5.12,2.64,2.37,0.79,1.65,4.53,1.28,,26.4,OAK @ TOR
Jeff Hoffman,Toronto Blue Jays,0.03-0.03,$5500,0.42,0.03,0.03,3.91,0,0.27,0.51,0.47,0.24,0.22,0.08,0.13,0.42,1.18,,2.3,OAK @ TOR
Mason Miller,Oakland Athletics,0.02-0.02,$5500,0.4,0.02,0.02,4.18,0,0.23,0.43,0.41,0.22,0.2,0.06,0.19,0.48,1.4,,2.2,OAK @ TOR
Jacob Lopez,Oakland Athletics,0.3-0.41,$7500,2.81,0.3,0.41,5.3,1,0,4.74,4.72,3.05,2.79,0.73,2.37,4.14,1.49,,21.1,OAK @ TOR
Chris Sale,Atlanta Braves,0.33-0.35,$9900,3.39,0.33,0.35,3.48,1,0,5.84,5.04,2.54,2.26,0.73,1.64,6.28,1.14,,33.6,ATL @ PHI
Zack Wheeler,Philadelphia Phillies,0.34-0.3,$10600,3.72,0.34,0.3,2.68,1,0,6.13,4.51,2.1,1.82,0.54,1.37,7.24,0.96,,39.4,ATL @ PHI
Raisel Iglesias,Atlanta Braves,0.02-0.02,$5500,0.29,0.02,0.02,3.91,0,0.22,0.41,0.37,0.19,0.18,0.08,0.08,0.26,1.13,,1.6,ATL @ PHI
Jordan Romano,Philadelphia Phillies,0.03-0.03,$5500,0.29,0.03,0.03,7.13,0,0.28,0.52,0.67,0.45,0.42,0.13,0.19,0.36,1.64,,1.6,ATL @ PHI
Josh Hader,Houston Astros,0.03-0.03,$5500,0.47,0.03,0.03,2.62,0,0.27,0.5,0.39,0.16,0.15,0.07,0.16,0.45,1.1,,2.6,TB @ HOU
Pete Fairbanks,Tampa Bay Rays,0.02-0.02,$5500,0.36,0.02,0.02,2.79,0,0.23,0.43,0.34,0.14,0.13,0.02,0.19,0.32,1.25,,2,TB @ HOU
Shane Baz,Tampa Bay Rays,0.34-0.27,$8100,3.49,0.34,0.27,3.44,1,0,5.45,4.44,2.36,2.08,0.69,2.17,4.8,1.21,,28.3,TB @ HOU
Ryan Gusto,Houston Astros,0.26-0.3,$7000,3.99,0.26,0.3,3.67,1,0,4.98,3.98,2.2,2.03,0.72,1.63,5.25,1.13,,27.9,TB @ HOU
