Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
117765-16960,P,Zack,Zack Wheeler,Wheeler,42.25,12,10800,CHC@PHI,PHI,CHC,IL,Personal,,Yes,,P
117765-135977,P,Garrett,Garrett Crochet,Crochet,42.357142857142854,14,10700,TB@BOS,BOS,TB,,,,,,P
117765-197980,P,Paul,Paul Skenes,Skenes,40,14,10700,MIA@PIT,PIT,MIA,,,,,,P
117765-12477,P,Chris,Chris Sale,Sale,36.84615384615385,13,10500,ATL@MIL,ATL,MIL,,,,Yes,,P
117765-83157,P,Ranger,Ranger Suarez,Suarez,36.142857142857146,7,10400,CHC@PHI,PHI,CHC,,,,,,P
117765-102396,P,Logan,Logan Gilbert,Gilbert,34.833333333333336,6,10400,SEA@ARI,SEA,ARI,IL,Elbow,,,,P
117765-52183,P,Tyler,Tyler Glasnow,Glasnow,21.2,5,10200,LAD@SD,LAD,SD,IL,Shoulder,,,,P
117765-79280,P,Jesus,Jesus Luzardo,Luzardo,32.07692307692308,13,10200,CHC@PHI,PHI,CHC,,,,,,P
117765-165512,P,Andrew,Andrew Abbott,Abbott,34.1,10,10200,CIN@CLE,CIN,CLE,,,,,,P
117765-79951,P,Nick,Nick Pivetta,Pivetta,35.416666666666664,12,10100,LAD@SD,SD,LAD,,,,Yes,,P
117765-118225,P,Cristopher,Cristopher Sanchez,Sanchez,34.84615384615385,13,10100,CHC@PHI,PHI,CHC,,,,,,P
117765-117232,P,Michael,Michael King,King,34.3,10,10000,LAD@SD,SD,LAD,IL,Shoulder,,,,P
117765-187194,P,Bryan,Bryan Woo,Woo,35.833333333333336,12,10000,SEA@ARI,SEA,ARI,,,,,,P
117765-68488,P,Blake,Blake Snell,Snell,19.5,2,10000,LAD@SD,LAD,SD,IL,Shoulder,,,,P
117765-198625,P,Yoshinobu,Yoshinobu Yamamoto,Yamamoto,37.92307692307692,13,10000,LAD@SD,LAD,SD,,,,,,P
117765-164503,P,Spencer,Spencer Schwellenbach,Schwellenbach,34.15384615384615,13,9900,ATL@MIL,ATL,MIL,,,,,,P
117765-60647,P,Aaron,Aaron Nola,Nola,24.555555555555557,9,9900,CHC@PHI,PHI,CHC,IL,Ankle,,,,P
117765-185606,P,Gavin,Gavin Stone,Stone,28.4,25,9900,LAD@SD,LAD,SD,IL,Shoulder,,,,P
117765-63136,P,Matthew,Matthew Boyd,Boyd,34.083333333333336,12,9900,CHC@PHI,CHC,PHI,,,,Yes,,P
117765-82550,P,Hunter,Hunter Greene,Greene,35.27272727272727,11,9700,CIN@CLE,CIN,CLE,IL,Groin,,,,P
117765-119329,P,Nick,Nick Lodolo,Lodolo,30.307692307692307,13,9600,CIN@CLE,CIN,CLE,,,,,,P
117765-82604,P,Corbin,Corbin Burnes,Burnes,33.72727272727273,11,9600,SEA@ARI,ARI,SEA,IL,Elbow,,,,P
117765-101881,P,Merrill,Merrill Kelly,Kelly,32.38461538461539,13,9600,SEA@ARI,ARI,SEA,,,,Yes,,P
117765-79091,P,Dylan,Dylan Cease,Cease,28.846153846153847,13,9500,LAD@SD,SD,LAD,,,,,,P
117765-102408,P,Matthew,Matthew Liberatore,Liberatore,28.166666666666668,12,9400,TOR@STL,STL,TOR,,,,,,P
117765-119361,P,Drew,Drew Rasmussen,Rasmussen,29.153846153846153,13,9400,TB@BOS,TB,BOS,,,,,,P
117765-38000,P,Kevin,Kevin Gausman,Gausman,31.384615384615383,13,9400,TOR@STL,TOR,STL,,,,,,P
117765-219653,P,Logan,Logan Henderson,Henderson,40,4,9300,ATL@MIL,MIL,ATL,,,,,,P
