player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Carlos Santana,Cleveland Guardians,$2900,3.41,4.46,0.64,0.94,0.66,0.17,0.01,0.13,0.33,0.05,0,0.54,0.59,0.243,0.339,0.394,0.733,9.9,CLE @ OAK
Jose Ramirez,Cleveland Guardians,$3600,4.31,4.57,0.71,1.39,0.91,0.24,0.03,0.27,0.73,0.22,0.01,0.51,0.46,0.352,0.429,0.654,1.083,15.5,CLE @ OAK
Austin Wynns,Oakland Athletics,$2800,2.79,4.01,0.36,0.95,0.65,0.25,0.01,0.08,0.36,0,0.01,0.24,1.12,0.255,0.306,0.4,0.706,7.8,CLE @ OAK
Luis Urias,Oakland Athletics,$2700,2.48,3.9,0.27,0.75,0.56,0.16,0,0.07,0.33,0,0.01,0.34,0.63,0.221,0.297,0.335,0.632,6.7,CLE @ OAK
Lane Thomas,Cleveland Guardians,$2500,3.36,4.35,0.34,0.97,0.68,0.19,0.03,0.09,0.36,0.05,0.02,0.33,1.03,0.248,0.316,0.39,0.706,8.4,CLE @ OAK
Brent Rooker,Oakland Athletics,$3300,3.76,4.35,0.64,0.97,0.61,0.14,0.03,0.26,0.64,0.06,0.01,0.5,0.95,0.258,0.349,0.534,0.883,12.4,CLE @ OAK
Steven Kwan,Cleveland Guardians,$3000,3.57,4.79,0.58,1.32,0.97,0.25,0.05,0.08,0.34,0.1,0.01,0.41,0.62,0.304,0.364,0.454,0.819,10.7,CLE @ OAK
Gabriel Arias,Cleveland Guardians,$2500,3.36,4.01,0.45,0.93,0.67,0.16,0.02,0.12,0.35,0.05,0.03,0.22,1.16,0.255,0.309,0.416,0.725,8.4,CLE @ OAK
Nolan Jones,Cleveland Guardians,$2600,2.81,4.12,0.3,0.74,0.44,0.22,0.02,0.07,0.34,0.02,0.02,0.41,1.03,0.205,0.295,0.34,0.635,7.3,CLE @ OAK
Bo Naylor,Cleveland Guardians,$2700,3.37,3.9,0.48,0.75,0.44,0.1,0.01,0.22,0.5,0,0.01,0.36,1.1,0.217,0.296,0.45,0.745,9.1,CLE @ OAK
Tyler Soderstrom,Oakland Athletics,$3000,4.17,4.46,0.62,0.97,0.59,0.23,0.02,0.22,0.69,0.05,0.03,0.57,1.07,0.256,0.355,0.522,0.877,12.5,CLE @ OAK
Lawrence Butler,Oakland Athletics,$3400,4.06,4.68,0.69,1.16,0.65,0.23,0.06,0.24,0.81,0.13,0.06,0.38,1.06,0.276,0.336,0.533,0.869,13.8,CLE @ OAK
Kyle Manzardo,Cleveland Guardians,$2800,4.32,4.68,0.54,1.13,0.59,0.34,0.03,0.22,0.61,0.02,0.02,0.36,0.98,0.268,0.338,0.536,0.874,12.1,CLE @ OAK
Daniel Schneemann,Cleveland Guardians,$2800,3.68,4.24,0.61,0.94,0.59,0.2,0.04,0.14,0.43,0.09,0,0.39,1.05,0.25,0.324,0.444,0.768,10.3,CLE @ OAK
Jacob Wilson,Oakland Athletics,$3100,3.26,4.57,0.46,0.99,0.63,0.21,0.02,0.16,0.56,0.02,0.02,0.28,0.55,0.244,0.309,0.432,0.742,10.1,CLE @ OAK
Max P. Muncy,Oakland Athletics,$2600,3.42,4.13,0.31,0.9,0.64,0.17,0.02,0.13,0.54,0.05,0.01,0.3,0.88,0.24,0.301,0.414,0.715,8.9,CLE @ OAK
Nick Kurtz,Oakland Athletics,$3100,3.58,4.24,0.55,0.96,0.53,0.22,0,0.25,0.6,0,0,0.38,1.13,0.257,0.331,0.53,0.861,11.1,CLE @ OAK
Denzel Clarke,Oakland Athletics,$2400,3.17,3.79,0.36,0.77,0.54,0.1,0.06,0.08,0.42,0.08,0.02,0.22,0.9,0.22,0.271,0.366,0.637,7.6,CLE @ OAK
Jose Iglesias,San Diego Padres,$2400,3.0,3.96,0.29,0.92,0.73,0.16,0.03,0.06,0.35,0.07,0.03,0.16,0.69,0.246,0.275,0.365,0.64,7.2,KC @ SD
Martin Maldonado,San Diego Padres,$2100,2.38,3.74,0.16,0.62,0.51,0.09,0,0.06,0.28,0,0.01,0.21,1.2,0.179,0.227,0.264,0.491,5,KC @ SD
Salvador Perez,Kansas City Royals,$2700,2.67,4.27,0.3,0.92,0.64,0.21,0,0.1,0.42,0,0,0.08,1.05,0.225,0.248,0.365,0.613,7.2,KC @ SD
Manny Machado,San Diego Padres,$3600,3.06,4.41,0.58,1.1,0.69,0.29,0,0.18,0.43,0.07,0.02,0.37,0.71,0.276,0.34,0.502,0.842,11,KC @ SD
Xander Bogaerts,San Diego Padres,$2800,2.93,4.18,0.35,0.89,0.72,0.14,0.02,0.07,0.3,0.17,0.09,0.33,0.72,0.236,0.299,0.352,0.651,8.2,KC @ SD
Fernando Tatis Jr.,San Diego Padres,$3800,2.82,4.63,0.58,1.03,0.74,0.19,0,0.14,0.45,0.13,0.04,0.44,0.94,0.248,0.325,0.413,0.737,10.7,KC @ SD
Luis Arraez,San Diego Padres,$2700,3.3,4.52,0.42,1.23,0.96,0.25,0.02,0.06,0.31,0.09,0.04,0.17,0.38,0.288,0.321,0.409,0.73,8.9,KC @ SD
Jake Cronenworth,San Diego Padres,$2700,3.04,4.07,0.38,0.82,0.59,0.2,0.01,0.07,0.37,0.06,0,0.4,0.69,0.229,0.316,0.367,0.683,8.2,KC @ SD
Jonathan India,Kansas City Royals,$2600,3.27,4.71,0.38,0.98,0.7,0.25,0.01,0.06,0.31,0.03,0.01,0.48,0.97,0.241,0.325,0.361,0.686,8.5,KC @ SD
Kyle Isbel,Kansas City Royals,$2400,2.71,3.82,0.32,0.7,0.43,0.19,0.05,0.06,0.28,0.06,0,0.16,0.94,0.195,0.234,0.327,0.561,6.5,KC @ SD
Gavin Sheets,San Diego Padres,$2800,3.46,4.29,0.37,0.99,0.62,0.22,0.01,0.2,0.5,0,0,0.34,0.65,0.256,0.318,0.48,0.798,9.7,KC @ SD
Bobby Witt Jr.,Kansas City Royals,$3700,3.38,4.6,0.52,1.15,0.65,0.28,0.07,0.17,0.45,0.32,0.07,0.32,0.83,0.272,0.324,0.499,0.823,12.5,KC @ SD
Drew Waters,Kansas City Royals,$2400,2.5,4.04,0.28,0.8,0.72,0.08,0.02,0.03,0.21,0.09,0.01,0.17,1.31,0.21,0.251,0.282,0.533,6,KC @ SD
Vinnie Pasquantino,Kansas City Royals,$3000,3.47,4.38,0.38,1.18,0.85,0.18,0.01,0.19,0.67,0.02,0,0.19,0.8,0.286,0.321,0.488,0.809,10.4,KC @ SD
Maikel Garcia,Kansas City Royals,$3400,2.79,4.49,0.49,1.14,0.88,0.24,0.04,0.04,0.29,0.16,0.07,0.35,0.62,0.276,0.334,0.4,0.734,9.5,KC @ SD
Brandon Lockridge,San Diego Padres,$2300,3.22,3.85,0.34,0.76,0.61,0.12,0.02,0.04,0.29,0.19,0.02,0.26,0.72,0.218,0.281,0.313,0.594,7.4,KC @ SD
John Rave,Kansas City Royals,$2100,3.52,3.93,0.41,0.74,0.49,0.17,0.02,0.1,0.31,0.07,0.03,0.2,1.15,0.204,0.25,0.357,0.607,7.4,KC @ SD
Jac Caglianone,Kansas City Royals,$2500,3.12,4.16,0.32,0.82,0.56,0.15,0,0.15,0.49,0,0,0.21,1.25,0.215,0.26,0.382,0.642,7.8,KC @ SD
Starling Marte,New York Mets,$2700,3.81,4.21,0.63,1.06,0.83,0.14,0.06,0.06,0.46,0.17,0.02,0.3,0.77,0.281,0.336,0.406,0.742,10.3,NYM @ PHI
