Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
117374-16960,P,Zack,Zack Wheeler,Wheeler,44.63636363636363,11,11000,ATL@PHI,PHI,ATL,,,,,,P
117374-52185,P,Max,Max Fried,Fried,41.36363636363637,11,11000,NYY@LAA,NYY,LAA,,,,,,P
117374-119340,P,Tarik,Tarik Skubal,Skubal,43.54545454545455,11,10800,SF@DET,DET,SF,,,,,,P
117374-135977,P,Garrett,Garrett Crochet,Crochet,41.083333333333336,12,10800,BOS@MIL,BOS,MIL,,,,,,P
117374-197980,P,Paul,Paul Skenes,Skenes,37.45454545454545,11,10800,PIT@ARI,PIT,ARI,,,,,,P
117374-146687,P,Hunter,Hunter Brown,Brown,42.4,10,10700,ATH@HOU,HOU,ATH,,,,Yes,,P
117374-198625,P,Yoshinobu,Yoshinobu Yamamoto,Yamamoto,39.90909090909091,11,10600,LAD@CLE,LAD,CLE,,,,,,P
117374-102330,P,Kris,Kris Bubic,Bubic,40.36363636363637,11,10600,CIN@KC,KC,CIN,,,,,,P
117374-79280,P,Jesus,Jesus Luzardo,Luzardo,40.18181818181818,11,10500,ATL@PHI,PHI,ATL,,,,,,P
117374-52859,P,Jacob,Jacob deGrom,deGrom,33.18181818181818,11,10500,TOR@TEX,TEX,TOR,,,,,,P
117374-12477,P,Chris,Chris Sale,Sale,34.36363636363637,11,10400,ATL@PHI,ATL,PHI,,,,,,P
117374-13233,P,Nathan,Nathan Eovaldi,Eovaldi,39.54545454545455,11,10400,TOR@TEX,TEX,TOR,,,,Yes,,P
117374-187194,P,Bryan,Bryan Woo,Woo,38.2,10,10400,WSH@SEA,SEA,WSH,,,,,,P
117374-53029,P,Robbie,Robbie Ray,Ray,37.54545454545455,11,10400,SF@DET,SF,DET,,,,,,P
117374-102396,P,Logan,Logan Gilbert,Gilbert,34.833333333333336,6,10400,WSH@SEA,SEA,WSH,IL,Elbow,,,,P
117374-82550,P,Hunter,Hunter Greene,Greene,37.77777777777778,9,10200,CIN@KC,CIN,KC,,,,,,P
117374-52183,P,Tyler,Tyler Glasnow,Glasnow,21.2,5,10200,LAD@CLE,LAD,CLE,IL,Shoulder,,,,P
117374-101839,P,Logan,Logan Webb,Webb,38.36363636363637,11,10200,SF@DET,SF,DET,,,,Yes,,P
117374-85599,P,Framber,Framber Valdez,Valdez,34.27272727272727,11,10200,ATH@HOU,HOU,ATH,,,,,,P
117374-60633,P,Carlos,Carlos Rodon,Rodon,39.09090909090909,11,10100,NYY@LAA,NYY,LAA,,,,Yes,,P
117374-118225,P,Cristopher,Cristopher Sanchez,Sanchez,34.4,10,10100,ATL@PHI,PHI,ATL,,,,,,P
117374-83152,P,Pablo,Pablo Lopez,Lopez,34.55555555555556,9,10000,MIN@TB,MIN,TB,,,,,,P
117374-83190,P,Freddy,Freddy Peralta,Peralta,31.90909090909091,11,10000,BOS@MIL,MIL,BOS,,,,,,P
117374-117232,P,Michael,Michael King,King,34.3,10,10000,MIA@SD,SD,MIA,IL,Shoulder,,,,P
117374-68488,P,Blake,Blake Snell,Snell,19.5,2,10000,LAD@CLE,LAD,CLE,IL,Shoulder,,,,P
