player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Dansby Swanson,Chicago Cubs,$2900,3.38,3.95,0.54,0.88,0.55,0.16,0.03,0.2,0.52,0.03,0,0.24,1.09,0.243,0.292,0.479,0.772,9.8,CHC @ TOR
Carson Kelly,Chicago Cubs,$2800,3.86,4.39,0.54,1.05,0.68,0.22,0.03,0.17,0.41,0.01,0.01,0.51,0.58,0.282,0.381,0.507,0.888,10.8,CHC @ TOR
Ian Happ,Chicago Cubs,$3100,3.26,4.28,0.55,0.76,0.52,0.11,0.03,0.13,0.49,0.08,0.01,0.56,0.97,0.213,0.339,0.381,0.72,10.1,CHC @ TOR
Kyle Tucker,Chicago Cubs,$3800,3.55,4.72,0.74,1.14,0.63,0.25,0.04,0.22,0.67,0.07,0.03,0.64,0.62,0.283,0.38,0.53,0.911,13.5,CHC @ TOR
Myles Straw,Toronto Blue Jays,$2400,2.75,3.94,0.42,0.84,0.72,0.14,0.01,0.02,0.24,0.08,0.05,0.18,0.82,0.227,0.268,0.306,0.574,6.6,CHC @ TOR
Vladimir Guerrero Jr.,Toronto Blue Jays,$3400,3.41,4.39,0.62,1.08,0.69,0.21,0.02,0.2,0.56,0.05,0.01,0.47,0.78,0.28,0.358,0.51,0.868,11.6,CHC @ TOR
Ty France,Toronto Blue Jays,$2600,3.04,4.05,0.45,0.98,0.78,0.19,0.03,0.06,0.36,0.01,0.01,0.18,0.71,0.257,0.294,0.396,0.69,7.9,CHC @ TOR
Bo Bichette,Toronto Blue Jays,$3200,2.88,4.28,0.48,0.99,0.66,0.26,0,0.13,0.41,0.05,0.03,0.26,0.73,0.254,0.303,0.436,0.739,9.2,CHC @ TOR
Willi Castro,Chicago Cubs,$2800,3.46,4.17,0.49,0.89,0.53,0.23,0.03,0.13,0.39,0.12,0.05,0.38,0.94,0.239,0.314,0.428,0.741,9.7,CHC @ TOR
Tyler Heineman,Toronto Blue Jays,$2700,2.96,3.83,0.41,0.86,0.67,0.13,0.01,0.08,0.36,0.07,0,0.34,0.65,0.253,0.327,0.382,0.709,8,CHC @ TOR
Nico Hoerner,Chicago Cubs,$2800,3.64,4.06,0.58,1.1,0.91,0.17,0.03,0.06,0.3,0.22,0.11,0.32,0.25,0.305,0.376,0.441,0.818,10.2,CHC @ TOR
Ernie Clement,Toronto Blue Jays,$2700,3.56,4.5,0.55,1.16,0.85,0.18,0.03,0.13,0.42,0.05,0.03,0.21,0.52,0.275,0.307,0.431,0.738,9.6,CHC @ TOR
Seiya Suzuki,Chicago Cubs,$3500,3.89,4.61,0.75,1.19,0.68,0.28,0.02,0.29,0.66,0.01,0.01,0.45,1.07,0.293,0.365,0.604,0.969,13.6,CHC @ TOR
Michael Busch,Chicago Cubs,$3200,4.16,4.83,0.7,0.95,0.53,0.19,0.01,0.31,0.69,0.04,0,0.55,1.55,0.228,0.323,0.525,0.848,13.3,CHC @ TOR
Addison Barger,Toronto Blue Jays,$3000,3.53,4.17,0.52,0.98,0.51,0.23,0.07,0.2,0.53,0.08,0.02,0.2,1.12,0.25,0.288,0.513,0.801,10.6,CHC @ TOR
Davis Schneider,Toronto Blue Jays,$2500,4.04,4.61,0.44,0.73,0.4,0.13,0.01,0.19,0.62,0.01,0,0.64,1.23,0.191,0.316,0.379,0.694,10.1,CHC @ TOR
Pete Crow-Armstrong,Chicago Cubs,$3900,3.1,4.5,0.59,1.03,0.62,0.2,0.04,0.26,0.54,0.2,0.01,0.16,1.15,0.242,0.274,0.511,0.785,12.1,CHC @ TOR
Joey Loperfido,Toronto Blue Jays,$2600,3.15,3.72,0.42,1.01,0.75,0.2,0.02,0.1,0.32,0.03,0.02,0.15,1.01,0.294,0.337,0.463,0.8,8.2,CHC @ TOR
Jose Altuve,Houston Astros,$3200,4.03,4.42,0.68,1.13,0.65,0.22,0.03,0.22,0.71,0.06,0.01,0.52,0.54,0.295,0.385,0.545,0.93,12.9,BOS @ HOU
Christian Walker,Houston Astros,$2900,3.24,4.2,0.49,0.96,0.68,0.22,0,0.14,0.52,0.01,0,0.29,0.96,0.252,0.306,0.446,0.752,9.4,BOS @ HOU
Carlos Correa,Houston Astros,$2600,3.31,4.31,0.46,1.03,0.83,0.17,0,0.07,0.4,0,0.02,0.42,0.73,0.272,0.351,0.377,0.728,8.6,BOS @ HOU
Trevor Story,Boston Red Sox,$3200,3.25,4.46,0.55,1.01,0.7,0.2,0.03,0.15,0.42,0.18,0.04,0.21,1.45,0.242,0.283,0.429,0.712,10.4,BOS @ HOU
Alex Bregman,Boston Red Sox,$3400,3.68,4.68,0.54,1.19,0.76,0.33,0,0.18,0.75,0.03,0,0.49,0.79,0.289,0.366,0.514,0.88,12.5,BOS @ HOU
Ramon Urias,Houston Astros,$2500,3.04,3.86,0.44,0.85,0.57,0.22,0,0.1,0.33,0.01,0.03,0.24,0.74,0.237,0.287,0.392,0.679,7.6,BOS @ HOU
Jesus Sanchez,Houston Astros,$2800,3.36,4.53,0.46,0.96,0.67,0.22,0.02,0.1,0.4,0.15,0.01,0.29,0.94,0.229,0.283,0.378,0.661,9.4,BOS @ HOU
Taylor Trammell,Houston Astros,$2600,3.77,3.98,0.52,0.73,0.42,0.19,0.04,0.14,0.47,0.08,0,0.5,1.32,0.216,0.318,0.434,0.753,9.8,BOS @ HOU
Chas McCormick,Houston Astros,$2200,3.36,3.75,0.37,0.84,0.59,0.2,0.03,0.06,0.34,0.04,0.01,0.26,0.92,0.243,0.296,0.376,0.672,7.4,BOS @ HOU
Connor Wong,Boston Red Sox,$2300,3.26,3.9,0.4,0.8,0.62,0.13,0,0.08,0.42,0.02,0,0.29,1.02,0.226,0.294,0.35,0.644,7.5,BOS @ HOU
Jarren Duran,Boston Red Sox,$3400,3.26,4.57,0.6,1.03,0.63,0.31,0.03,0.13,0.44,0.12,0.02,0.41,1.14,0.252,0.322,0.456,0.779,11.1,BOS @ HOU
Romy Gonzalez,Boston Red Sox,$2900,2.86,4.24,0.34,0.94,0.65,0.18,0.04,0.12,0.48,0.04,0.01,0.12,1.38,0.231,0.258,0.4,0.659,8.3,BOS @ HOU
Jeremy Pena,Houston Astros,$3200,4.03,4.64,0.74,1.26,0.85,0.29,0,0.18,0.57,0.18,0.03,0.29,0.78,0.297,0.347,0.509,0.856,12.9,BOS @ HOU
