player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Bryce Harper,Philadelphia Phillies,$3900,3.67,4.7,0.65,1.21,0.78,0.26,0.02,0.25,0.73,0.1,0.01,0.55,0.73,0.301,0.397,0.586,0.982,14.3,PHI @ MIA
Kyle Schwarber,Philadelphia Phillies,$4500,3.76,4.81,0.89,1.13,0.54,0.22,0.01,0.43,0.9,0.08,0.02,0.7,1.29,0.282,0.39,0.681,1.071,16.9,PHI @ MIA
Trea Turner,Philadelphia Phillies,$3800,3.53,4.92,0.81,1.29,0.98,0.23,0.02,0.13,0.5,0.25,0.05,0.45,0.73,0.295,0.365,0.466,0.831,13.4,PHI @ MIA
Max Kepler,Philadelphia Phillies,$2800,3.21,4.26,0.47,0.83,0.56,0.15,0.01,0.15,0.49,0.01,0.01,0.35,0.64,0.218,0.293,0.388,0.68,9,PHI @ MIA
Harrison Bader,Philadelphia Phillies,$2900,3.76,4.37,0.55,1.12,0.83,0.17,0.04,0.16,0.54,0.07,0.02,0.29,0.83,0.282,0.338,0.483,0.822,10.9,PHI @ MIA
Alec Bohm,Philadelphia Phillies,$2800,4.0,4.59,0.58,1.37,1.08,0.27,0.04,0.07,0.55,0.07,0.02,0.23,0.49,0.323,0.367,0.485,0.852,11.2,PHI @ MIA
Rafael Marchan,Philadelphia Phillies,$2100,2.9,4.03,0.27,0.71,0.59,0.15,0,0.02,0.3,0,0,0.37,0.57,0.2,0.287,0.278,0.565,6.1,PHI @ MIA
Brandon Marsh,Philadelphia Phillies,$2700,4.26,4.48,0.56,1.15,0.8,0.16,0.12,0.16,0.52,0.03,0.03,0.4,0.94,0.288,0.36,0.53,0.889,11.5,PHI @ MIA
Otto Lopez,Miami Marlins,$3000,2.43,4.22,0.41,0.84,0.65,0.14,0.02,0.07,0.22,0.1,0.02,0.28,0.71,0.216,0.268,0.334,0.602,7.3,PHI @ MIA
Bryson Stott,Philadelphia Phillies,$2900,3.52,4.15,0.56,0.99,0.65,0.21,0.06,0.08,0.47,0.14,0.03,0.37,0.61,0.269,0.331,0.428,0.76,10.2,PHI @ MIA
Joey Wiemer,Miami Marlins,$2100,2.33,3.78,0.16,0.65,0.46,0.15,0.01,0.06,0.23,0,0.02,0.15,1.73,0.184,0.218,0.294,0.511,4.9,PHI @ MIA
Xavier Edwards,Miami Marlins,$2900,3.14,4.56,0.5,1.1,0.96,0.17,0.02,0.02,0.32,0.21,0.08,0.23,0.7,0.26,0.305,0.341,0.647,9.1,PHI @ MIA
Connor Norby,Miami Marlins,$2700,3.19,4,0.42,0.89,0.61,0.16,0.06,0.09,0.44,0.1,0.06,0.2,1.09,0.241,0.285,0.4,0.686,8.6,PHI @ MIA
Javier Sanoja,Miami Marlins,$2500,2.72,3.67,0.34,0.84,0.57,0.23,0.01,0.06,0.37,0.01,0,0.14,0.65,0.244,0.272,0.375,0.647,6.8,PHI @ MIA
