player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Starling Marte,New York Mets,$2500,4.56,4.25,0.65,1.11,0.82,0.14,0.03,0.15,0.63,0.17,0.02,0.2,0.77,0.283,0.323,0.457,0.781,11.4,NYM @ CHC
Francisco Lindor,New York Mets,$3900,3.05,4.8,0.64,1.14,0.68,0.31,0.02,0.16,0.54,0.12,0.04,0.41,0.86,0.263,0.327,0.46,0.787,11.9,NYM @ CHC
Brandon Nimmo,New York Mets,$3200,3.41,4.36,0.56,1,0.69,0.19,0.02,0.17,0.64,0.05,0.01,0.33,0.85,0.256,0.321,0.461,0.782,10.9,NYM @ CHC
Dansby Swanson,Chicago Cubs,$2900,2.86,3.84,0.39,0.82,0.53,0.19,0.02,0.09,0.45,0.06,0.03,0.34,1,0.239,0.309,0.387,0.696,8.3,NYM @ CHC
Carson Kelly,Chicago Cubs,$2800,3.29,4.06,0.46,0.87,0.53,0.23,0.01,0.15,0.37,0.01,0,0.46,0.64,0.244,0.333,0.451,0.785,9.2,NYM @ CHC
Ian Happ,Chicago Cubs,$3400,3.41,4.4,0.64,0.95,0.58,0.23,0.05,0.13,0.62,0.03,0.01,0.67,0.91,0.263,0.379,0.469,0.848,11.6,NYM @ CHC
Juan Soto,New York Mets,$4300,3.26,4.69,0.7,1.03,0.54,0.27,0,0.26,0.7,0.09,0.02,0.75,0.81,0.266,0.387,0.548,0.935,14,NYM @ CHC
Jeff McNeil,New York Mets,$2700,3.52,4.02,0.51,1.01,0.65,0.2,0.01,0.16,0.5,0.04,0.01,0.2,0.47,0.271,0.313,0.461,0.774,9.5,NYM @ CHC
Pete Alonso,New York Mets,$3500,3.8,4.58,0.72,1.21,0.65,0.29,0,0.31,0.74,0,0,0.28,1.24,0.286,0.336,0.589,0.925,13.3,NYM @ CHC
Tyrone Taylor,New York Mets,$2400,3.04,3.91,0.37,0.92,0.71,0.2,0.03,0.02,0.33,0.06,0.03,0.22,0.75,0.258,0.305,0.36,0.665,7.3,NYM @ CHC
Nico Hoerner,Chicago Cubs,$3100,3.45,4.51,0.6,1.2,0.99,0.18,0.06,0.04,0.3,0.25,0.07,0.32,0.44,0.294,0.353,0.408,0.761,10.7,NYM @ CHC
