player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Aroldis Chapman,Boston Red Sox,0.02-0.03,$5500,0.45,0.02,0.03,3.09,0,0.24,0.45,0.37,0.17,0.15,0.04,0.24,0.48,1.36,,2.5,ATL @ BOS
Raisel Iglesias,Atlanta Braves,0.02-0.03,$5500,0.36,0.02,0.03,3.62,0,0.26,0.48,0.43,0.21,0.19,0.08,0.1,0.35,1.1,,2,ATL @ BOS
Brayan Bello,Boston Red Sox,0.27-0.39,$8100,3.02,0.27,0.39,4.64,1,0,5.49,5.37,3.16,2.84,0.65,1.8,4.49,1.3,,24.5,ATL @ BOS
Spencer Schwellenbach,Atlanta Braves,0.35-0.25,$9000,3.23,0.35,0.25,3.99,1,0,5.55,5.12,2.69,2.46,0.61,1.55,5.32,1.2,,29.1,ATL @ BOS
Chris Martin,Texas Rangers,0.02-0.02,$5500,0.29,0.02,0.02,2.77,0,0.19,0.35,0.28,0.12,0.11,0.03,0.04,0.26,0.9,,1.6,HOU @ TEX
Josh Hader,Houston Astros,0.03-0.03,$5500,0.56,0.03,0.03,3,0,0.31,0.58,0.48,0.21,0.19,0.09,0.19,0.59,1.15,,3.1,HOU @ TEX
Framber Valdez,Houston Astros,0.46-0.26,$9700,3.26,0.46,0.26,3.63,1,0,5.6,4.92,2.58,2.25,0.44,1.66,5.51,1.17,,31.6,HOU @ TEX
Jack Leiter,Texas Rangers,0.2-0.39,$7900,2.32,0.2,0.39,4.97,1,0,4.34,4.07,2.68,2.4,0.59,1.84,3.28,1.36,,18.3,HOU @ TEX
Michael Wacha,Kansas City Royals,0.26-0.31,$8700,2.89,0.26,0.31,4.35,1,0,5.31,5.1,2.9,2.57,0.68,1.63,4.49,1.27,,25.1,STL @ KC
Carlos Estevez,Kansas City Royals,0.02-0.03,$5500,0.4,0.02,0.03,2.38,0,0.25,0.46,0.35,0.13,0.12,0.03,0.16,0.35,1.09,,2.2,STL @ KC
Ryan Helsley,St. Louis Cardinals,0.02-0.03,$5500,0.45,0.02,0.03,2.36,0,0.25,0.47,0.35,0.13,0.12,0.02,0.21,0.44,1.2,,2.5,STL @ KC
Matthew Liberatore,St. Louis Cardinals,0.31-0.24,$9100,2.82,0.31,0.24,4,1,0,5.11,4.87,2.54,2.27,0.61,1.46,4.48,1.24,,25.7,STL @ KC
Freddy Peralta,Milwaukee Brewers,0.32-0.26,$9700,3.32,0.32,0.26,3.99,1,0,5.49,4.26,2.61,2.43,0.76,1.98,6.41,1.14,,32.2,MIN @ MIL
Trevor Megill,Milwaukee Brewers,0.03-0.03,$5500,0.47,0.03,0.03,2.81,0,0.27,0.51,0.41,0.17,0.16,0.04,0.21,0.45,1.21,,2.6,MIN @ MIL
Jhoan Duran,Minnesota Twins,0.02-0.02,$5500,0.38,0.02,0.02,2.46,0,0.22,0.42,0.32,0.12,0.11,0.02,0.14,0.36,1.1,,2.1,MIN @ MIL
Zebby Matthews,Minnesota Twins,0.22-0.29,$7300,2.99,0.22,0.29,4.39,1,0,4.45,4.25,2.36,2.17,0.72,1.34,4.06,1.25,,21.8,MIN @ MIL
Emmanuel Clase,Cleveland Guardians,0.02-0.02,$5500,0.33,0.02,0.02,2.35,0,0.22,0.41,0.31,0.12,0.11,0.01,0.08,0.27,0.94,,1.8,CLE @ CIN
Alexis Diaz,Cincinnati Reds,0.03-0.03,$5500,0.35,0.03,0.03,7.38,0,0.28,0.52,0.68,0.47,0.43,0.16,0.33,0.47,1.95,,1.9,CLE @ CIN
Luis Ortiz,Cleveland Guardians,0.19-0.42,$8900,2.62,0.19,0.42,5.12,1,0,5.37,5.05,3.16,3.06,0.83,2.08,4.74,1.33,,23.3,CLE @ CIN
Andrew Abbott,Cincinnati Reds,0.34-0.2,$9400,3.24,0.34,0.2,3.52,1,0,5.5,4.38,2.26,2.15,0.64,1.66,5.44,1.1,,30.5,CLE @ CIN
Jose Berrios,Toronto Blue Jays,0.35-0.29,$8600,3.05,0.35,0.29,4.37,1,0,5.4,5.02,2.82,2.62,1,1.64,4.72,1.23,,26.2,DET @ TOR
Jeff Hoffman,Toronto Blue Jays,0.02-0.03,$5500,0.42,0.02,0.03,3.69,0,0.26,0.48,0.43,0.22,0.2,0.07,0.12,0.45,1.15,,2.3,DET @ TOR
Jason Foley,Detroit Tigers,0.02-0.03,$5500,0.33,0.02,0.03,3.21,0,0.24,0.45,0.38,0.17,0.16,0.04,0.15,0.27,1.19,,1.8,DET @ TOR
Jackson Jobe,Detroit Tigers,0.3-0.37,$7500,3.04,0.3,0.37,4.84,1,0,5.06,4.97,2.97,2.72,0.84,2.09,4.22,1.4,,22.8,DET @ TOR
Ryan Pressly,Chicago Cubs,0.03-0.04,$5500,0.49,0.03,0.04,4.75,0,0.35,0.64,0.65,0.37,0.34,0.04,0.27,0.53,1.43,,2.7,CHW @ CHC
Colin Rea,Chicago Cubs,0.35-0.2,$8300,3.33,0.35,0.2,3.92,1,0,5.34,5.23,2.74,2.33,0.6,1.3,4.96,1.22,,27.6,CHW @ CHC
Jordan Leasure,Chicago White Sox,0.01-0.02,$5500,0.18,0.01,0.02,5.39,0,0.15,0.29,0.31,0.19,0.17,0.06,0.16,0.2,1.63,,1,CHW @ CHC
Jonathan Cannon,Chicago White Sox,0.22-0.43,$7600,3.0,0.22,0.43,5.07,1,0,5.45,5.84,3.34,3.07,0.87,1.62,4.32,1.37,,22.8,CHW @ CHC
Cal Quantrill,Miami Marlins,0.27-0.39,$6200,3.63,0.27,0.39,4.25,1,0,5.06,5.34,2.67,2.39,0.61,1.85,3.84,1.42,,22.5,TB @ MIA
Pete Fairbanks,Tampa Bay Rays,0.03-0.03,$5500,0.45,0.03,0.03,3.12,0,0.29,0.54,0.45,0.2,0.19,0.03,0.23,0.42,1.26,,2.5,TB @ MIA
Shane Baz,Tampa Bay Rays,0.39-0.28,$8800,3.23,0.39,0.28,3.67,1,0,5.42,5.22,2.43,2.21,0.62,1.41,4.91,1.22,,28.4,TB @ MIA
Calvin Faucher,Miami Marlins,0.02-0.02,$5500,0.35,0.02,0.02,2.85,0,0.21,0.39,0.31,0.13,0.12,0.01,0.2,0.34,1.31,,1.9,TB @ MIA
Jordan Romano,Philadelphia Phillies,0.02-0.03,$5500,0.25,0.02,0.03,7.06,0,0.24,0.45,0.58,0.39,0.36,0.12,0.16,0.34,1.63,,1.4,PIT @ PHI
David Bednar,Pittsburgh Pirates,0.02-0.03,$5500,0.31,0.02,0.03,5.13,0,0.26,0.48,0.51,0.3,0.27,0.06,0.18,0.32,1.43,,1.7,PIT @ PHI
Paul Skenes,Pittsburgh Pirates,0.36-0.32,$10300,2.93,0.36,0.32,3.89,1,0,5.66,5.4,2.73,2.45,0.62,1.69,5.44,1.25,,30.2,PIT @ PHI
Mick Abel,Philadelphia Phillies,0.29-0.34,$7700,3.13,0.29,0.34,4.34,1,0,5.25,4.6,2.84,2.53,0.82,1.85,4.22,1.23,,24.1,PIT @ PHI
Zach Eflin,Baltimore Orioles,0.43-0.15,$8400,3.38,0.43,0.15,3.26,1,0,5.51,4.92,2.26,1.99,0.54,1.21,4.41,1.11,,28.4,WSH @ BAL
Michael Soroka,Washington Nationals,0.14-0.45,$6900,2.84,0.14,0.45,5.66,1,0,4.6,4.88,3.27,2.89,0.92,2.05,4.21,1.51,,19.6,WSH @ BAL
Kyle Finnegan,Washington Nationals,0.02-0.02,$5500,0.25,0.02,0.02,3.26,0,0.17,0.33,0.28,0.13,0.12,0.03,0.13,0.23,1.24,,1.4,WSH @ BAL
Felix Bautista,Baltimore Orioles,0.03-0.04,$5500,0.51,0.03,0.04,3.08,0,0.32,0.6,0.5,0.22,0.21,0.05,0.28,0.5,1.3,,2.8,WSH @ BAL
