player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Joey Bart,Pittsburgh Pirates,$2600,3.04,4.38,0.29,1.01,0.73,0.21,0,0.1,0.36,0.01,0.02,0.27,1.14,0.252,0.31,0.389,0.698,7.9,PIT @ STL
Ke'Bryan Hayes,Pittsburgh Pirates,$2500,3.08,4.27,0.48,0.94,0.77,0.13,0.04,0.04,0.21,0.16,0.02,0.19,0.72,0.234,0.269,0.329,0.598,7.7,PIT @ STL
Lars Nootbaar,St. Louis Cardinals,$3200,3.56,4.6,0.57,0.97,0.59,0.21,0,0.18,0.49,0.12,0.02,0.61,0.88,0.249,0.355,0.446,0.801,11.4,PIT @ STL
Oneil Cruz,Pittsburgh Pirates,$3700,2.73,4.71,0.53,0.91,0.6,0.19,0.02,0.14,0.47,0.08,0.07,0.42,1.39,0.22,0.298,0.391,0.689,10.1,PIT @ STL
Brendan Donovan,St. Louis Cardinals,$3100,3.0,4.38,0.35,1.06,0.78,0.21,0.02,0.1,0.51,0.03,0.04,0.3,0.54,0.274,0.337,0.428,0.765,9.3,PIT @ STL
Nolan Gorman,St. Louis Cardinals,$2700,3.22,3.93,0.36,0.78,0.48,0.16,0.02,0.17,0.41,0.02,0.01,0.4,1.23,0.228,0.314,0.446,0.76,8.7,PIT @ STL
Jared Triolo,Pittsburgh Pirates,$2300,2.7,3.93,0.29,0.72,0.62,0.09,0.03,0.03,0.23,0.05,0.01,0.35,1.01,0.204,0.282,0.286,0.568,6.2,PIT @ STL
Jordan Walker,St. Louis Cardinals,$2600,2.73,4.04,0.38,0.79,0.57,0.18,0,0.08,0.33,0.04,0,0.2,1.47,0.209,0.256,0.33,0.586,7.1,PIT @ STL
Masyn Winn,St. Louis Cardinals,$2700,3.26,4.49,0.46,1.04,0.8,0.2,0.02,0.08,0.34,0.06,0.08,0.3,0.97,0.252,0.309,0.389,0.698,8.8,PIT @ STL
Victor Scott II,St. Louis Cardinals,$2800,2.43,3.71,0.34,0.78,0.63,0.12,0.03,0.05,0.29,0.13,0.05,0.11,1.15,0.222,0.248,0.325,0.573,6.8,PIT @ STL
Pedro Pages,St. Louis Cardinals,$2500,2.88,3.82,0.36,0.76,0.57,0.12,0.02,0.08,0.4,0.03,0,0.25,1.12,0.223,0.284,0.356,0.64,7.2,PIT @ STL
Matt Gorski,Pittsburgh Pirates,$2300,3.74,4.16,0.46,0.99,0.75,0.17,0,0.13,0.34,0,0.03,0.31,0.97,0.265,0.33,0.427,0.756,8.6,PIT @ STL
Wilmer Flores,San Francisco Giants,$3000,2.93,4.27,0.45,0.91,0.72,0.11,0,0.14,0.41,0.01,0,0.38,0.64,0.24,0.319,0.39,0.708,8.8,SF @ CHC
