player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Robert Refsnyder,Boston Red Sox,$2900,3.17,4.41,0.5,0.81,0.54,0.17,0,0.14,0.57,0.02,0.02,0.39,1.26,0.203,0.276,0.362,0.637,9.2,TB @ BOS
Trevor Story,Boston Red Sox,$2900,2.72,3.96,0.42,0.78,0.59,0.14,0.02,0.06,0.41,0.16,0.02,0.19,1.31,0.211,0.254,0.314,0.569,7.9,TB @ BOS
Yandy Diaz,Tampa Bay Rays,$3200,4.41,4.69,0.77,1.35,0.85,0.35,0.02,0.22,0.93,0.01,0,0.26,0.7,0.307,0.344,0.569,0.913,14.1,TB @ BOS
Rafael Devers,Boston Red Sox,$3900,3.49,4.52,0.69,1.09,0.57,0.28,0,0.29,0.86,0.02,0.01,0.41,1.05,0.274,0.342,0.574,0.916,13.6,TB @ BOS
Brandon Lowe,Tampa Bay Rays,$3300,4.97,4.8,0.9,1.18,0.56,0.3,0.01,0.4,0.99,0.06,0.01,0.38,1.08,0.274,0.338,0.648,0.985,16.4,TB @ BOS
Danny Jansen,Tampa Bay Rays,$2600,3.73,4.02,0.43,0.82,0.44,0.19,0.03,0.18,0.56,0,0,0.46,0.72,0.235,0.328,0.462,0.789,9.7,TB @ BOS
Abraham Toro,Boston Red Sox,$2600,3.04,4.07,0.39,0.87,0.65,0.13,0,0.14,0.47,0,0.01,0.18,0.6,0.23,0.268,0.387,0.655,7.9,TB @ BOS
Jarren Duran,Boston Red Sox,$3300,3.67,4.63,0.78,1.13,0.73,0.28,0.06,0.12,0.58,0.14,0.03,0.25,0.79,0.264,0.312,0.453,0.765,12.1,TB @ BOS
Josh Lowe,Tampa Bay Rays,$3100,3.94,4.91,0.74,1.06,0.66,0.27,0.05,0.14,0.56,0.13,0.06,0.42,1.18,0.241,0.313,0.431,0.744,12.2,TB @ BOS
Jonathan Aranda,Tampa Bay Rays,$3200,3.72,4.58,0.71,1.1,0.69,0.33,0,0.14,0.67,0,0.01,0.44,0.88,0.273,0.351,0.48,0.831,11.9,TB @ BOS
Jose Caballero,Tampa Bay Rays,$2800,3.79,4.24,0.61,0.89,0.7,0.18,0.01,0.05,0.46,0.28,0.08,0.45,0.9,0.241,0.328,0.35,0.678,10.6,TB @ BOS
Ceddanne Rafaela,Boston Red Sox,$2900,3.1,3.74,0.58,0.84,0.52,0.2,0.04,0.12,0.4,0.1,0.05,0.08,1.12,0.241,0.277,0.437,0.715,9,TB @ BOS
Junior Caminero,Tampa Bay Rays,$3600,3.06,4.47,0.54,1.02,0.55,0.31,0.02,0.16,0.67,0.06,0.05,0.24,0.89,0.248,0.3,0.454,0.753,11,TB @ BOS
Carlos Narvaez,Boston Red Sox,$2800,3.54,4.3,0.59,0.93,0.68,0.13,0.01,0.14,0.58,0,0.02,0.42,1.22,0.246,0.324,0.41,0.734,9.9,TB @ BOS
Kameron Misner,Tampa Bay Rays,$2700,4.3,4.13,0.66,0.9,0.54,0.18,0.03,0.22,0.69,0.04,0.03,0.41,1.13,0.243,0.318,0.503,0.821,11.6,TB @ BOS
Kristian Campbell,Boston Red Sox,$2700,3.04,3.85,0.45,0.75,0.51,0.12,0.01,0.13,0.52,0,0.02,0.32,1.13,0.214,0.286,0.376,0.662,8.2,TB @ BOS
Jake Mangum,Tampa Bay Rays,$2800,3.04,4.36,0.49,1.1,0.94,0.14,0.01,0.04,0.36,0.06,0.03,0.31,0.65,0.284,0.342,0.36,0.702,8.5,TB @ BOS
Marcelo Mayer,Boston Red Sox,$2500,3.2,4.18,0.42,0.87,0.56,0.21,0.01,0.1,0.43,0,0.01,0.28,1.04,0.225,0.281,0.372,0.653,8,TB @ BOS
Eugenio Suarez,Arizona Diamondbacks,$3200,2.91,4.2,0.51,0.88,0.56,0.21,0,0.12,0.52,0.02,0,0.38,1.08,0.238,0.317,0.401,0.718,9.3,SEA @ ARI
Jorge Polanco,Seattle Mariners,$2900,4.76,4.68,0.74,1.03,0.56,0.21,0.04,0.29,0.91,0.05,0.01,0.34,0.99,0.244,0.308,0.535,0.843,13.8,SEA @ ARI
Ketel Marte,Arizona Diamondbacks,$4000,3.77,4.53,0.95,1.11,0.62,0.21,0,0.3,0.84,0.06,0,0.61,0.54,0.29,0.393,0.588,0.981,15.1,SEA @ ARI
