player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Jordan Hicks,San Francisco Giants,0.31-0.32,$7700,3.26,0.31,0.32,4.53,1,0,5.2,5.42,2.97,2.62,0.49,2.08,4.71,1.44,,25.1,SF @ MIN
Chris Paddack,Minnesota Twins,0.28-0.3,$6700,3.67,0.28,0.3,4.96,1,0,5.28,5.2,3.25,2.91,1.12,1.45,4.84,1.26,,24.6,SF @ MIN
Jhoan Duran,Minnesota Twins,0.02-0.03,$5500,0.44,0.02,0.03,2.74,0,0.25,0.46,0.37,0.15,0.14,0.02,0.16,0.44,1.13,,2.4,SF @ MIN
Ryan Walker,San Francisco Giants,0.02-0.03,$5500,0.44,0.02,0.03,3.36,0,0.25,0.47,0.4,0.19,0.17,0.02,0.12,0.45,1.12,,2.4,SF @ MIN
Antonio Senzatela,Colorado Rockies,0.16-0.42,$6200,2.45,0.16,0.42,6.94,1,0,4.99,5.71,4.26,3.85,1.03,2.1,3.19,1.56,,15.2,SD @ COL
Tyler Kinley,Colorado Rockies,0.01-0.02,$5500,0.2,0.01,0.02,7.1,0,0.16,0.29,0.38,0.25,0.23,0.04,0.18,0.3,1.88,,1.1,SD @ COL
Robert Suarez,San Diego Padres,0.03-0.04,$5500,0.55,0.03,0.04,1.99,0,0.34,0.64,0.45,0.15,0.14,0.05,0.16,0.44,0.97,,3,SD @ COL
Randy Vasquez,San Diego Padres,0.43-0.22,$7000,3.13,0.43,0.22,5.41,1,0,5.08,5.18,3.32,3.05,0.7,1.46,3.91,1.31,,21.9,SD @ COL
Bryse Wilson,Chicago White Sox,0.22-0.31,$6300,3.56,0.22,0.31,4.37,1,0,4.79,4.41,2.59,2.33,0.72,1.47,4.1,1.23,,22.4,MIA @ CHW
Calvin Faucher,Miami Marlins,0.02-0.03,$5500,0.42,0.02,0.03,3.12,0,0.25,0.46,0.39,0.17,0.16,0.01,0.24,0.44,1.36,,2.3,MIA @ CHW
Max Meyer,Miami Marlins,0.33-0.28,$9800,2.63,0.33,0.28,4.14,1,0,5.31,5.25,2.64,2.44,0.68,1.77,4.61,1.32,,25.8,MIA @ CHW
Jordan Leasure,Chicago White Sox,0.02-0.03,$5500,0.31,0.02,0.03,5.65,0,0.25,0.47,0.52,0.32,0.29,0.11,0.26,0.34,1.68,,1.7,MIA @ CHW
