player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Paul Goldschmidt,New York Yankees,$3100,3.42,4.13,0.6,1.08,0.78,0.24,0.02,0.12,0.51,0.1,0.03,0.27,0.62,0.284,0.332,0.475,0.807,10.6,OAK @ NYY
Aaron Judge,New York Yankees,$4800,3.27,4.47,0.8,1.15,0.56,0.27,0,0.4,0.87,0.04,0.01,0.55,1.12,0.299,0.391,0.693,1.085,15.7,OAK @ NYY
Cody Bellinger,New York Yankees,$3200,3.59,4.58,0.72,1.13,0.81,0.21,0.02,0.14,0.45,0.17,0.05,0.31,0.6,0.271,0.324,0.44,0.764,11.5,OAK @ NYY
Austin Wynns,Oakland Athletics,$2700,3.67,4.01,0.5,0.94,0.48,0.31,0.01,0.18,0.54,0,0.01,0.26,1.05,0.256,0.307,0.504,0.811,9.9,OAK @ NYY
Luis Urias,Oakland Athletics,$2600,3.08,4.12,0.42,0.84,0.62,0.18,0,0.09,0.39,0.03,0.02,0.36,0.58,0.228,0.293,0.362,0.656,8,OAK @ NYY
Trent Grisham,New York Yankees,$3100,5.19,4.69,0.76,1.14,0.57,0.21,0.02,0.42,1.02,0.01,0,0.56,1,0.283,0.377,0.674,1.051,16.1,OAK @ NYY
Jazz Chisholm,New York Yankees,$3500,3.57,4.24,0.61,1,0.63,0.19,0.02,0.22,0.63,0.19,0.06,0.4,1.1,0.265,0.343,0.521,0.864,12.5,OAK @ NYY
Brent Rooker,Oakland Athletics,$3400,4.03,4.57,0.74,1.07,0.63,0.23,0,0.29,0.75,0.04,0.01,0.52,1,0.271,0.36,0.57,0.93,13.7,OAK @ NYY
Oswald Peraza,New York Yankees,$2200,3.77,3.8,0.43,0.71,0.45,0.16,0.02,0.11,0.46,0,0.02,0.39,0.9,0.219,0.32,0.388,0.708,8.3,OAK @ NYY
Anthony Volpe,New York Yankees,$3000,3.8,3.91,0.58,0.89,0.47,0.24,0.03,0.19,0.58,0.12,0,0.4,0.88,0.258,0.344,0.525,0.869,11.4,OAK @ NYY
Tyler Soderstrom,Oakland Athletics,$3000,3.83,4.24,0.61,0.85,0.53,0.15,0.02,0.2,0.65,0.04,0.02,0.57,1.06,0.24,0.353,0.476,0.83,11.5,OAK @ NYY
Lawrence Butler,Oakland Athletics,$3100,4.26,4.79,0.7,0.99,0.58,0.27,0.03,0.17,0.65,0.19,0,0.58,1.24,0.241,0.337,0.459,0.795,13.2,OAK @ NYY
Jasson Dominguez,New York Yankees,$2800,3.61,4.02,0.54,0.93,0.62,0.26,0.01,0.1,0.49,0.1,0.03,0.42,1.01,0.264,0.34,0.439,0.779,10.1,OAK @ NYY
Ben Rice,New York Yankees,$3200,3.94,4.36,0.64,0.98,0.61,0.17,0.01,0.26,0.71,0.05,0,0.53,1.1,0.263,0.358,0.542,0.901,12.6,OAK @ NYY
Jacob Wilson,Oakland Athletics,$3000,3.6,4.68,0.67,1.08,0.8,0.14,0.01,0.18,0.56,0.04,0.02,0.3,0.43,0.249,0.299,0.425,0.724,10.8,OAK @ NYY
Max P. Muncy,Oakland Athletics,$2500,3.56,4.35,0.48,0.93,0.67,0.18,0,0.12,0.48,0.02,0.02,0.23,1.14,0.236,0.292,0.388,0.68,8.9,OAK @ NYY
Nick Kurtz,Oakland Athletics,$3200,3.66,4.46,0.55,1.12,0.72,0.26,0.01,0.17,0.74,0,0,0.41,1.22,0.287,0.366,0.508,0.873,11.7,OAK @ NYY
Denzel Clarke,Oakland Athletics,$2400,3.0,3.9,0.38,0.88,0.7,0.14,0.04,0.03,0.35,0.04,0.07,0.25,0.94,0.246,0.304,0.35,0.654,7.2,OAK @ NYY
Christian Yelich,Milwaukee Brewers,$3700,3.3,4.42,0.6,1.11,0.75,0.17,0.07,0.18,0.54,0.18,0.04,0.39,0.86,0.279,0.345,0.511,0.857,12.2,COL @ MIL
Orlando Arcia,Colorado Rockies,$2100,3.0,3.9,0.29,0.72,0.49,0.19,0.03,0.06,0.3,0,0.03,0.19,0.74,0.201,0.251,0.333,0.584,6.3,COL @ MIL
Rhys Hoskins,Milwaukee Brewers,$2900,3.62,4.09,0.49,0.93,0.51,0.21,0,0.21,0.59,0.02,0.03,0.46,0.96,0.263,0.346,0.51,0.856,10.5,COL @ MIL
Ryan McMahon,Colorado Rockies,$2900,3.28,4.34,0.45,0.93,0.55,0.2,0.01,0.19,0.46,0.01,0,0.39,1.5,0.235,0.303,0.438,0.741,9.5,COL @ MIL
Thairo Estrada,Colorado Rockies,$2700,2.59,4.23,0.32,0.86,0.61,0.24,0,0.06,0.4,0,0,0.19,0.74,0.22,0.253,0.334,0.588,7,COL @ MIL
Sam Hilliard,Colorado Rockies,$2400,3.25,3.79,0.29,0.53,0.3,0.11,0.04,0.13,0.41,0.08,0,0.44,1.28,0.163,0.271,0.35,0.621,7.8,COL @ MIL
William Contreras,Milwaukee Brewers,$3000,3.67,4.31,0.61,1.03,0.64,0.27,0.04,0.13,0.43,0.04,0.04,0.61,0.64,0.283,0.385,0.491,0.876,11,COL @ MIL
Mickey Moniak,Colorado Rockies,$2600,4.31,4.01,0.51,0.95,0.54,0.19,0.03,0.23,0.82,0.05,0.02,0.14,1.04,0.253,0.289,0.513,0.802,11.2,COL @ MIL
Tyler Freeman,Colorado Rockies,$2800,3.86,4.68,0.55,1.1,0.9,0.13,0.08,0.04,0.46,0.21,0.1,0.46,0.62,0.268,0.347,0.379,0.727,10.8,COL @ MIL
Michael Toglia,Colorado Rockies,$2700,3.33,4.12,0.36,0.78,0.45,0.19,0.02,0.17,0.58,0.03,0.02,0.26,1.44,0.207,0.265,0.417,0.682,9,COL @ MIL
Brice Turang,Milwaukee Brewers,$3100,3.23,4.2,0.67,1.02,0.9,0.11,0.06,0.02,0.32,0.24,0.1,0.37,0.65,0.273,0.338,0.374,0.712,10,COL @ MIL
Joey Ortiz,Milwaukee Brewers,$2500,3.24,3.76,0.43,0.83,0.62,0.1,0.05,0.09,0.39,0.06,0.05,0.3,0.46,0.246,0.311,0.392,0.703,8.1,COL @ MIL
Sal Frelick,Milwaukee Brewers,$3100,3.35,4.65,0.6,1.24,1.06,0.17,0.01,0.07,0.35,0.14,0.06,0.36,0.36,0.304,0.37,0.423,0.793,10.4,COL @ MIL
Hunter Goodman,Colorado Rockies,$3100,3.16,4.57,0.43,1.05,0.66,0.31,0.01,0.14,0.48,0.01,0,0.27,1.1,0.253,0.308,0.449,0.757,9.8,COL @ MIL
Jackson Chourio,Milwaukee Brewers,$3600,3.83,4.54,0.73,1.24,0.67,0.35,0.03,0.25,0.76,0.1,0.07,0.21,0.77,0.297,0.332,0.589,0.922,13.8,COL @ MIL
Jordan Beck,Colorado Rockies,$3000,3.13,4.46,0.42,1.01,0.66,0.28,0.05,0.07,0.45,0.1,0.09,0.29,1.42,0.254,0.307,0.413,0.72,9.4,COL @ MIL
Isaac Collins,Milwaukee Brewers,$2600,3.65,3.98,0.46,0.77,0.49,0.18,0.02,0.11,0.55,0.1,0.03,0.46,0.91,0.226,0.319,0.398,0.717,9.5,COL @ MIL
Caleb Durbin,Milwaukee Brewers,$2700,2.78,3.87,0.41,0.78,0.55,0.14,0.04,0.08,0.37,0.05,0.03,0.19,0.51,0.218,0.267,0.348,0.615,7.5,COL @ MIL
George Springer,Toronto Blue Jays,$3300,3.3,4.43,0.62,0.93,0.54,0.29,0.01,0.16,0.5,0.05,0.04,0.46,0.84,0.239,0.322,0.456,0.778,10.9,TOR @ BOS
Robert Refsnyder,Boston Red Sox,$2900,4.28,4.44,0.69,1.05,0.6,0.31,0,0.17,0.65,0.11,0.01,0.51,1.33,0.271,0.357,0.492,0.849,12.4,TOR @ BOS
Trevor Story,Boston Red Sox,$3100,2.94,4.22,0.48,0.81,0.58,0.14,0,0.15,0.51,0.11,0.02,0.24,1.49,0.207,0.255,0.367,0.621,9.1,TOR @ BOS
Vladimir Guerrero Jr.,Toronto Blue Jays,$3400,3.74,4.65,0.77,1.11,0.69,0.25,0.03,0.18,0.62,0.01,0.02,0.57,0.64,0.281,0.385,0.51,0.895,12.7,TOR @ BOS
Bo Bichette,Toronto Blue Jays,$3100,3.77,4.87,0.67,1.23,0.77,0.32,0.07,0.14,0.55,0.05,0.01,0.24,0.65,0.269,0.306,0.478,0.784,11.7,TOR @ BOS
Andres Gimenez,Toronto Blue Jays,$2700,3.26,4.1,0.57,0.92,0.75,0.14,0.05,0.04,0.38,0.15,0.03,0.23,0.61,0.245,0.289,0.358,0.647,8.8,TOR @ BOS
Alejandro Kirk,Toronto Blue Jays,$2900,3.97,4.54,0.65,1.18,0.9,0.19,0.01,0.1,0.71,0.01,0,0.48,0.44,0.3,0.386,0.438,0.824,11.5,TOR @ BOS
Ernie Clement,Toronto Blue Jays,$2900,3.21,4.21,0.66,1.12,0.94,0.18,0,0.04,0.53,0.04,0.01,0.19,0.32,0.286,0.326,0.38,0.705,9.3,TOR @ BOS
Jarren Duran,Boston Red Sox,$3000,3.27,4.11,0.52,0.87,0.55,0.24,0.01,0.12,0.55,0.1,0.05,0.28,0.82,0.235,0.296,0.413,0.708,9.8,TOR @ BOS
Romy Gonzalez,Boston Red Sox,$3000,3.57,4.67,0.6,1.09,0.67,0.28,0.04,0.14,0.49,0.1,0.04,0.2,1.11,0.247,0.284,0.435,0.718,10.7,TOR @ BOS
Nate Eaton,Boston Red Sox,$2000,4.35,3.89,0.48,0.81,0.54,0.19,0.02,0.09,0.41,0.09,0.02,0.35,1.12,0.234,0.308,0.39,0.697,8.7,TOR @ BOS
Addison Barger,Toronto Blue Jays,$3100,4.1,4.76,0.79,1.22,0.75,0.31,0.05,0.18,0.62,0.05,0.01,0.29,1.1,0.278,0.325,0.509,0.834,12.7,TOR @ BOS
Nathan Lukes,Toronto Blue Jays,$2500,3.68,4.32,0.62,0.96,0.8,0.14,0,0.09,0.41,0.03,0.03,0.42,0.52,0.252,0.328,0.378,0.706,9.2,TOR @ BOS
Ceddanne Rafaela,Boston Red Sox,$2800,3.25,4,0.59,0.78,0.59,0.1,0.01,0.11,0.48,0.17,0.03,0.18,0.97,0.211,0.257,0.339,0.595,9.1,TOR @ BOS
Jonatan Clase,Toronto Blue Jays,$2400,3.04,3.98,0.39,0.78,0.54,0.16,0.03,0.07,0.32,0.08,0.05,0.27,1.23,0.21,0.263,0.336,0.599,7.3,TOR @ BOS
Carlos Narvaez,Boston Red Sox,$2800,3.25,4.33,0.52,0.91,0.67,0.18,0,0.11,0.47,0,0.01,0.44,1.12,0.241,0.321,0.382,0.703,9.1,TOR @ BOS
Nick Sogard,Boston Red Sox,$2300,2.7,3.78,0.38,0.81,0.6,0.16,0.01,0.05,0.3,0,0.02,0.12,0.75,0.23,0.263,0.334,0.596,6.2,TOR @ BOS
Roman Anthony,Boston Red Sox,$2400,4.21,4.55,0.54,0.86,0.55,0.23,0,0.11,0.56,0.01,0.01,0.63,1.17,0.224,0.337,0.377,0.714,10.1,TOR @ BOS
Wilmer Flores,San Francisco Giants,$2900,3.83,4.45,0.65,0.99,0.63,0.22,0.01,0.16,0.61,0,0,0.5,0.67,0.257,0.35,0.454,0.803,11.1,SF @ CHW
Michael Taylor,Chicago White Sox,$2400,3.62,3.69,0.36,0.79,0.49,0.18,0.02,0.13,0.41,0.17,0.05,0.27,1.23,0.231,0.285,0.421,0.706,8.7,SF @ CHW
Andrew Benintendi,Chicago White Sox,$2700,3.22,4.36,0.37,1,0.74,0.14,0.01,0.12,0.56,0,0,0.31,0.75,0.251,0.305,0.383,0.688,8.7,SF @ CHW
Mike Tauchman,Chicago White Sox,$2900,3.83,4.58,0.57,0.99,0.65,0.25,0.01,0.12,0.57,0,0,0.7,1.1,0.264,0.387,0.446,0.832,11.1,SF @ CHW
Rafael Devers,San Francisco Giants,$3800,3.74,4.68,0.7,1.04,0.53,0.23,0,0.36,0.79,0.01,0,0.53,1.14,0.259,0.351,0.602,0.953,14.2,SF @ CHW
Willy Adames,San Francisco Giants,$3000,3.47,4.12,0.59,0.8,0.47,0.21,0.01,0.14,0.55,0.07,0.06,0.53,1.03,0.23,0.332,0.424,0.755,10.4,SF @ CHW
Mike Yastrzemski,San Francisco Giants,$3000,4.13,4.79,0.67,1.03,0.59,0.25,0.04,0.19,0.6,0.07,0,0.55,1.07,0.249,0.345,0.481,0.826,12.4,SF @ CHW
Josh Rojas,Chicago White Sox,$2100,3.38,3.8,0.34,0.63,0.5,0.11,0.02,0.05,0.31,0.1,0.02,0.41,0.92,0.192,0.289,0.293,0.582,7.1,SF @ CHW
