Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
120987-135977,P,Garrett,Garrett Crochet,Crochet,43.75,32,11000,DET@BOS,BOS,DET,,,,,0,P
120987-119340,P,Tarik,Tarik Skubal,Skubal,42.806451612903224,31,10900,DET@BOS,DET,BOS,,,,,,P
120987-12477,P,Chris,Chris Sale,Sale,40.15,20,10800,PIT@ATL,ATL,PIT,,,,,0,P
120987-187194,P,Bryan,Bryan Woo,Woo,38.36666666666667,30,10800,LAD@SEA,SEA,LAD,DTD,Pectoral,,,,P
120987-13233,P,Nathan,Nathan Eovaldi,Eovaldi,37.45454545454545,22,10700,TEX@CLE,TEX,CLE,IL,Shoulder,,,,P
120987-197980,P,Paul,Paul Skenes,Skenes,38.375,32,10700,PIT@ATL,PIT,ATL,,,,,,P
120987-82550,P,Hunter,Hunter Greene,Greene,37.1578947368421,19,10600,CIN@MIL,CIN,MIL,,,,,,P
120987-198625,P,Yoshinobu,Yoshinobu Yamamoto,Yamamoto,37.666666666666664,30,10600,LAD@SEA,LAD,SEA,,,,,,P
120987-60633,P,Carlos,Carlos Rodon,Rodon,35.57575757575758,33,10500,BAL@NYY,NYY,BAL,,,,,0,P
120987-82607,P,Trevor,Trevor Rogers,Rogers,39.88235294117647,17,10400,BAL@NYY,BAL,NYY,,,,Yes,,P
120987-68488,P,Blake,Blake Snell,Snell,36.54545454545455,11,10400,LAD@SEA,LAD,SEA,,,,,,P
120987-83190,P,Freddy,Freddy Peralta,Peralta,35.15625,32,10300,CIN@MIL,MIL,CIN,,,,,,P
120987-222820,P,Nolan,Nolan McLean,McLean,41,8,10200,NYM@MIA,NYM,MIA,,,,,,P
120987-52183,P,Tyler,Tyler Glasnow,Glasnow,31,17,10200,LAD@SEA,LAD,SEA,,,,,,P
120987-146687,P,Hunter,Hunter Brown,Brown,38.064516129032256,31,10200,HOU@LAA,HOU,LAA,,,,,,P
120987-52185,P,Max,Max Fried,Fried,36.28125,32,10100,BAL@NYY,NYY,BAL,,,,,0,P
120987-102396,P,Logan,Logan Gilbert,Gilbert,33.583333333333336,24,10100,LAD@SEA,SEA,LAD,,,,,,P
120987-119414,P,George,George Kirby,Kirby,30.954545454545453,22,10000,LAD@SEA,SEA,LAD,,,,Yes,,P
120987-80582,P,Brandon,Brandon Woodruff,Woodruff,36.666666666666664,12,10000,CIN@MIL,MIL,CIN,IL,Lat,,,,P
120987-185606,P,Gavin,Gavin Stone,Stone,28.4,25,9900,LAD@SEA,LAD,SEA,IL,Shoulder,,,,P
120987-101839,P,Logan,Logan Webb,Webb,36.45454545454545,33,9800,COL@SF,SF,COL,,,,,,P
120987-38000,P,Kevin,Kevin Gausman,Gausman,33.064516129032256,31,9700,TB@TOR,TOR,TB,,,,,0,P
120987-145922,P,Tyler,Tyler Wells,Wells,29.5,4,9700,BAL@NYY,BAL,NYY,,,,,,P
120987-232379,P,Parker,Parker Messick,Messick,33,7,9700,TEX@CLE,CLE,TEX,,,,,,P
120987-163700,P,Kyle,Kyle Bradish,Bradish,39.6,5,9700,BAL@NYY,BAL,NYY,,,,,,P
120987-164503,P,Spencer,Spencer Schwellenbach,Schwellenbach,37.411764705882355,17,9600,PIT@ATL,ATL,PIT,IL,Elbow,,,0,P
120987-82604,P,Corbin,Corbin Burnes,Burnes,33.72727272727273,11,9600,ARI@SD,ARI,SD,IL,Elbow,,,,P
120987-82621,P,Clarke,Clarke Schmidt,Schmidt,30,14,9600,BAL@NYY,NYY,BAL,IL,Elbow,,,0,P
120987-102330,P,Kris,Kris Bubic,Bubic,34.5,20,9600,KC@ATH,KC,ATH,IL,Shoulder,,,,P
120987-187967,P,Emmet,Emmet Sheehan,Sheehan,32.42857142857143,14,9500,LAD@SEA,LAD,SEA,,,,Yes,,P
120987-85599,P,Framber,Framber Valdez,Valdez,34.225806451612904,31,9500,HOU@LAA,HOU,LAA,,,,,,P
120987-52859,P,Jacob,Jacob deGrom,deGrom,34.333333333333336,30,9500,TEX@CLE,TEX,CLE,,,,,,P
120987-102294,P,Grayson,Grayson Rodriguez,Rodriguez,35.6,20,9500,BAL@NYY,BAL,NYY,IL,Elbow,,,,P
120987-102344,P,Brady,Brady Singer,Singer,29.06451612903226,31,9500,CIN@MIL,CIN,MIL,,,,,,P
120987-82554,P,Shane,Shane Bieber,Bieber,32.666666666666664,6,9400,TB@TOR,TOR,TB,,,,Yes,,P
120987-193326,P,Jacob,Jacob Lopez,Lopez,26.714285714285715,21,9400,KC@ATH,ATH,KC,IL,Elbow,,,,P
120987-79951,P,Nick,Nick Pivetta,Pivetta,35.225806451612904,31,9400,ARI@SD,SD,ARI,,,,,,P
120987-198872,P,Hurston,Hurston Waldrep,Waldrep,33.2,10,9300,PIT@ATL,ATL,PIT,,,,,0,P
120987-219653,P,Logan,Logan Henderson,Henderson,36.4,5,9300,CIN@MIL,MIL,CIN,IL,Elbow,,,,P
120987-219697,P,Noah,Noah Cameron,Cameron,30,23,9300,KC@ATH,KC,ATH,,,,Yes,,P
120987-162445,P,Spencer,Spencer Strider,Strider,29.136363636363637,22,9300,PIT@ATL,ATL,PIT,,,,,0,P
120987-102407,P,Shane,Shane McClanahan,McClanahan,0,1,9200,TB@TOR,TB,TOR,IL,Triceps,,,,P
120987-135343,P,Max,Max Meyer,Meyer,27.833333333333332,12,9200,NYM@MIA,MIA,NYM,IL,Hip,,,,P
120987-68491,P,Reynaldo,Reynaldo Lopez,Lopez,9,1,9200,PIT@ATL,ATL,PIT,IL,Shoulder,,,0,P
120987-118206,P,Luis,Luis Gil,Gil,25.2,10,9200,BAL@NYY,NYY,BAL,,,,,0,P
120987-79091,P,Dylan,Dylan Cease,Cease,30.4375,32,9100,ARI@SD,SD,ARI,,,,,,P
120987-165518,P,Gavin,Gavin Williams,Williams,31.580645161290324,31,9100,TEX@CLE,CLE,TEX,,,,,,P
120987-85251,P,Zac,Zac Gallen,Gallen,28.84375,32,9100,ARI@SD,ARI,SD,,,,Yes,,P
120987-101881,P,Merrill,Merrill Kelly,Kelly,30.65625,32,9100,TEX@CLE,TEX,CLE,,,,,,P
120987-53067,P,Chris,Chris Bassitt,Bassitt,27.9375,32,9100,TB@TOR,TOR,TB,IL,Back,,,0,P
120987-135647,P,Ryan,Ryan Pepiot,Pepiot,29.35483870967742,31,9000,TB@TOR,TB,TOR,,,,,,P
120987-16956,P,Gerrit,Gerrit Cole,Cole,32,22,9000,BAL@NYY,NYY,BAL,IL,Elbow,,,0,P
120987-119409,P,Quinn,Quinn Priester,Priester,28.214285714285715,28,9000,CIN@MIL,MIL,CIN,,,,Yes,,P
120987-165512,P,Andrew,Andrew Abbott,Abbott,30.928571428571427,28,9000,CIN@MIL,CIN,MIL,,,,,,P
120987-232769,P,Connelly,Connelly Early,Early,35.333333333333336,3,9000,DET@BOS,BOS,DET,,,,,0,P
120987-182153,P,Kodai,Kodai Senga,Senga,28.136363636363637,22,8900,NYM@MIA,NYM,MIA,,,,,,P
120987-85253,P,Casey,Casey Mize,Mize,27.814814814814813,27,8900,DET@BOS,DET,BOS,,,,Yes,,P
120987-146725,P,Jared,Jared Jones,Jones,30.59090909090909,22,8900,PIT@ATL,PIT,ATL,IL,Elbow,,,,P
120987-228790,P,Cam,Cam Schlittler,Schlittler,29.615384615384617,13,8900,BAL@NYY,NYY,BAL,,,,,0,P
120987-119329,P,Nick,Nick Lodolo,Lodolo,31.214285714285715,28,8800,CIN@MIL,CIN,MIL,DTD,Groin,,,,P
120987-119411,P,Joey,Joey Cantillo,Cantillo,15.484848484848484,33,8800,TEX@CLE,CLE,TEX,,,,,,P
120987-197981,P,Jacob,Jacob Misiorowski,Misiorowski,28,14,8800,CIN@MIL,MIL,CIN,,,,,,P
120987-79270,P,Cole,Cole Ragans,Ragans,31,12,8800,KC@ATH,KC,ATH,,,,,,P
120987-222782,P,Chase,Chase Burns,Burns,21.333333333333332,12,8800,CIN@MIL,CIN,MIL,,,,,,P
120987-222814,P,Trey,Trey Yesavage,Yesavage,22.5,2,8800,TB@TOR,TOR,TB,,,,,0,P
120987-154714,P,Tylor,Tylor Megill,Megill,29.714285714285715,14,8800,NYM@MIA,NYM,MIA,IL,Elbow,,,,P
120987-146663,P,Slade,Slade Cecconi,Cecconi,27.772727272727273,22,8800,TEX@CLE,CLE,TEX,,,,Yes,,P
120987-53029,P,Robbie,Robbie Ray,Ray,31.65625,32,8800,COL@SF,SF,COL,,,,,,P
120987-79226,P,Eric,Eric Lauer,Lauer,21.22222222222222,27,8700,TB@TOR,TOR,TB,,,,,0,P
120987-222822,P,Brandon,Brandon Sproat,Sproat,26.666666666666668,3,8700,NYM@MIA,NYM,MIA,,,,Yes,,P
120987-117232,P,Michael,Michael King,King,27.5,14,8700,ARI@SD,SD,ARI,,,,,,P
120987-164509,P,AJ,AJ Smith-Shawver,Smith-Shawver,25.333333333333332,9,8600,PIT@ATL,ATL,PIT,IL,Elbow,,,0,P
120987-164521,P,Brandon,Brandon Walter,Walter,31.88888888888889,9,8600,HOU@LAA,HOU,LAA,IL,Elbow,,,,P
120987-82618,P,David,David Peterson,Peterson,27.766666666666666,30,8600,NYM@MIA,NYM,MIA,,,,,,P
120987-79162,P,Luis,Luis Castillo,Castillo,29.78125,32,8600,LAD@SEA,SEA,LAD,,,,,,P
120987-79217,P,Mitch,Mitch Keller,Keller,26.161290322580644,31,8600,PIT@ATL,PIT,ATL,,,,Yes,,P
120987-165551,P,Reese,Reese Olson,Olson,28.076923076923077,13,8600,DET@BOS,DET,BOS,IL,Shoulder,,,,P
120987-102458,P,Kutter,Kutter Crawford,Crawford,27.96969696969697,33,8500,DET@BOS,BOS,DET,IL,Wrist,,,0,P
120987-168872,P,Ronel,Ronel Blanco,Blanco,28.555555555555557,9,8500,HOU@LAA,HOU,LAA,IL,Elbow,,,,P
120987-165706,P,Jack,Jack Leiter,Leiter,26.75,29,8500,TEX@CLE,TEX,CLE,,,,Yes,,P
120987-219663,P,Chad,Chad Patrick,Patrick,24.153846153846153,26,8500,CIN@MIL,MIL,CIN,,,,,,P
120987-163680,P,Brayan,Brayan Bello,Bello,28.137931034482758,29,8500,DET@BOS,BOS,DET,,,,,0,P
120987-102447,P,Dean,Dean Kremer,Kremer,26.433333333333334,30,8400,BAL@NYY,BAL,NYY,,,,,,P
120987-185501,P,Tanner,Tanner Bibee,Bibee,28.967741935483872,31,8400,TEX@CLE,CLE,TEX,,,,,,P
120987-66766,P,Adrian,Adrian Houser,Houser,29.2,20,8400,TB@TOR,TB,TOR,,,,Yes,,P
120987-79207,P,Grant,Grant Holmes,Holmes,28.227272727272727,22,8400,PIT@ATL,ATL,PIT,IL,Elbow,,,0,P
120987-222787,P,Roki,Roki Sasaki,Sasaki,15.555555555555555,9,8400,LAD@SEA,LAD,SEA,,,,,,P
120987-199728,P,Landen,Landen Roupp,Roupp,25.545454545454547,22,8400,COL@SF,SF,COL,IL,Knee,,,,P
120987-179725,P,Luis,Luis Ortiz,Ortiz,29.3125,16,8400,TEX@CLE,CLE,TEX,O,Personal,,,,P
120987-79109,P,Tyler,Tyler Mahle,Mahle,28.6875,16,8300,TEX@CLE,TEX,CLE,,,,,,P
120987-5427,P,Clayton,Clayton Kershaw,Kershaw,23.227272727272727,22,8300,LAD@SEA,LAD,SEA,,,,,,P
120987-165636,P,Hayden,Hayden Wesneski,Wesneski,24.833333333333332,6,8300,HOU@LAA,HOU,LAA,IL,Elbow,,,,P
120987-198915,P,Luis,Luis Morales,Morales,26.333333333333332,9,8300,KC@ATH,ATH,KC,,,,Yes,,P
120987-232240,P,Payton,Payton Tolle,Tolle,11.166666666666666,6,8300,DET@BOS,BOS,DET,,,,,0,P
120987-52198,P,Lucas,Lucas Giolito,Giolito,28.807692307692307,26,8300,DET@BOS,BOS,DET,,,,,0,P
120987-52728,P,Michael,Michael Lorenzen,Lorenzen,24.62962962962963,28,8300,KC@ATH,KC,ATH,,,,,,P
120987-119361,P,Drew,Drew Rasmussen,Rasmussen,25.322580645161292,31,8200,TB@TOR,TB,TOR,,,,,,P
120987-5202,P,Justin,Justin Verlander,Verlander,24.821428571428573,28,8200,COL@SF,SF,COL,,,,,,P
120987-79245,P,Sandy,Sandy Alcantara,Alcantara,23.933333333333334,30,8200,NYM@MIA,MIA,NYM,,,,Yes,,P
120987-165547,P,Jackson,Jackson Jobe,Jobe,22.7,10,8200,DET@BOS,DET,BOS,IL,Elbow,,,,P
120987-211874,P,Kumar,Kumar Rocker,Rocker,19.571428571428573,14,8200,TEX@CLE,TEX,CLE,,,,,,P
120987-135212,P,Luis,Luis Garcia,Garcia,22.5,2,8100,HOU@LAA,HOU,LAA,IL,Elbow,,,,P
120987-21099,P,Jose,Jose Quintana,Quintana,24.416666666666668,24,8100,CIN@MIL,MIL,CIN,IL,Calf,,,,P
120987-79246,P,Jack,Jack Flaherty,Flaherty,28.580645161290324,31,8100,DET@BOS,DET,BOS,,,,,,P
120987-198912,P,Will,Will Warren,Warren,25.25,32,8100,BAL@NYY,NYY,BAL,,,,Yes,,P
120987-228077,P,Jack,Jack Perkins,Perkins,16.25,12,8100,KC@ATH,ATH,KC,IL,Shoulder,,,,P
