player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Carlos Rodon,New York Yankees,0.3-0.28,$9800,3.17,0.3,0.28,3.7,1,0,5.48,4.56,2.53,2.25,0.74,1.98,5.91,1.19,,31.1,SD @ NYY
Nick Pivetta,San Diego Padres,0.25-0.33,$10500,2.77,0.25,0.33,4.15,1,0,5.39,4.77,2.75,2.49,0.75,1.77,5.71,1.21,,29.1,SD @ NYY
Devin Williams,New York Yankees,0.03-0.03,$5500,0.6,0.03,0.03,3.45,0,0.27,0.5,0.44,0.21,0.19,0.02,0.28,0.72,1.43,,3.3,SD @ NYY
Robert Suarez,San Diego Padres,0.02-0.03,$5500,0.36,0.02,0.03,2.08,0,0.23,0.43,0.31,0.11,0.1,0.03,0.12,0.31,0.99,,2,SD @ NYY
Sandy Alcantara,Miami Marlins,0.19-0.48,$7400,2.86,0.19,0.48,5.41,1,0,5.31,5.44,3.4,3.19,1.05,2.38,4.19,1.47,,21.2,LAD @ MIA
Tanner Scott,Los Angeles Dodgers,0.03-0.04,$5500,0.58,0.03,0.04,1.91,0,0.34,0.64,0.45,0.15,0.14,0.05,0.21,0.5,1.04,,3.2,LAD @ MIA
Calvin Faucher,Miami Marlins,0.01-0.02,$5500,0.27,0.01,0.02,3.18,0,0.16,0.29,0.24,0.11,0.1,0.01,0.15,0.28,1.37,,1.5,LAD @ MIA
Ben Casparius,Los Angeles Dodgers,0.33-0.12,$6000,3.47,0.33,0.12,3.48,1,0,3.58,3.16,1.59,1.38,0.44,1.06,3.67,1.18,,20.8,LAD @ MIA
Raisel Iglesias,Atlanta Braves,0.02-0.02,$5500,0.35,0.02,0.02,2.87,0,0.21,0.4,0.32,0.14,0.13,0.07,0.08,0.31,1,,1.9,CIN @ ATL
Brady Singer,Cincinnati Reds,0.39-0.25,$9400,2.86,0.39,0.25,4.49,1,0,5.52,5.13,3.18,2.75,0.94,1.68,4.81,1.23,,26.9,CIN @ ATL
Alexis Diaz,Cincinnati Reds,0.03-0.03,$5500,0.38,0.03,0.03,6.54,0,0.29,0.53,0.65,0.42,0.39,0.13,0.33,0.49,1.83,,2.1,CIN @ ATL
AJ Smith-Shawver,Atlanta Braves,0.21-0.34,$7700,2.88,0.21,0.34,5.19,1,0,4.59,4.48,2.91,2.65,0.77,1.86,4.59,1.38,,22.2,CIN @ ATL
Josh Hader,Houston Astros,0.02-0.03,$5500,0.47,0.02,0.03,3.17,0,0.25,0.46,0.38,0.18,0.16,0.07,0.15,0.52,1.17,,2.6,HOU @ MIL
Trevor Megill,Milwaukee Brewers,0.02-0.03,$5500,0.44,0.02,0.03,3.09,0,0.25,0.47,0.39,0.18,0.16,0.04,0.19,0.46,1.24,,2.4,HOU @ MIL
Ronel Blanco,Houston Astros,0.27-0.39,$7300,3.51,0.27,0.39,4.52,1,0,5.08,4.7,2.74,2.55,0.8,2.35,5,1.39,,25.6,HOU @ MIL
Tobias Myers,Milwaukee Brewers,0.27-0.2,$7100,2.79,0.27,0.2,3.98,1,0,3.81,3.33,1.79,1.68,0.52,1.32,3.54,1.22,,19.8,HOU @ MIL
Carlos Estevez,Kansas City Royals,0.03-0.04,$5500,0.58,0.03,0.04,2.44,0,0.34,0.64,0.49,0.19,0.17,0.04,0.22,0.54,1.1,,3.2,CHW @ KC
