player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Eduardo Rodriguez,Arizona Diamondbacks,0.3-0.25,$8400,3.01,0.3,0.25,3.68,1,0,4.97,4.58,2.26,2.03,0.58,1.68,4.41,1.26,,25.3,ARI @ CHW
A.J. Puk,Arizona Diamondbacks,0.03-0.03,$5500,0.36,0.03,0.03,3.31,0,0.28,0.52,0.45,0.21,0.19,0.1,0.15,0.27,1.14,,2,ARI @ CHW
Jordan Leasure,Chicago White Sox,0.02-0.02,$5500,0.25,0.02,0.02,4.81,0,0.22,0.41,0.42,0.24,0.22,0.06,0.22,0.24,1.55,,1.4,ARI @ CHW
Shane Smith,Chicago White Sox,0.19-0.31,$8300,2.89,0.19,0.31,4.25,1,0,5.13,4.87,2.77,2.42,0.71,2.13,4.4,1.37,,24,ARI @ CHW
Raisel Iglesias,Atlanta Braves,0.02-0.03,$5500,0.25,0.02,0.03,4.81,0,0.24,0.44,0.45,0.26,0.24,0.09,0.1,0.21,1.24,,1.4,ATL @ NYM
Edwin Diaz,New York Mets,0.02-0.03,$5500,0.42,0.02,0.03,2.53,0,0.26,0.49,0.38,0.15,0.14,0.04,0.2,0.37,1.18,,2.3,ATL @ NYM
Paul Blackburn,New York Mets,0.24-0.26,$6700,2.96,0.24,0.26,3.77,1,0,4.6,4.31,2.11,1.93,0.52,1.59,3,1.28,,19.8,ATL @ NYM
Spencer Schwellenbach,Atlanta Braves,0.32-0.32,$9900,3.16,0.32,0.32,3.52,1,0,5.83,5.02,2.56,2.28,0.83,1.52,5.54,1.12,,31.3,ATL @ NYM
Kenley Jansen,Los Angeles Angels,0.02-0.03,$5500,0.31,0.02,0.03,4.08,0,0.25,0.46,0.43,0.23,0.21,0.08,0.16,0.27,1.29,,1.7,BOS @ LAA
Aroldis Chapman,Boston Red Sox,0.02-0.03,$5500,0.38,0.02,0.03,2.08,0,0.25,0.47,0.34,0.12,0.11,0.03,0.18,0.3,1.1,,2.1,BOS @ LAA
Walker Buehler,Boston Red Sox,0.34-0.26,$8100,2.98,0.34,0.26,4.68,1,0,5.2,5.3,3.04,2.71,0.92,1.72,4.47,1.35,,24.1,BOS @ LAA
Jack Kochanowicz,Los Angeles Angels,0.2-0.3,$7400,2.42,0.2,0.3,4.75,1,0,4.46,4.81,2.59,2.35,0.65,1.6,3.13,1.44,,17.9,BOS @ LAA
Kyle Finnegan,Washington Nationals,0.02-0.02,$5500,0.24,0.02,0.02,3.17,0,0.19,0.35,0.3,0.14,0.12,0.03,0.11,0.17,1.16,,1.3,WSH @ SD
Robert Suarez,San Diego Padres,0.03-0.03,$5500,0.38,0.03,0.03,3.38,0,0.31,0.58,0.5,0.24,0.22,0.03,0.17,0.28,1.15,,2.1,WSH @ SD
