Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
117427-79402,P,Cionel,Cionel Perez,Perez,3.5789473684210527,19,5500,STL@BAL,BAL,STL,,,,,,P
117427-181801,P,Jose A.,Jose A. Ferrer,Ferrer,4.076923076923077,26,5500,WSH@SEA,WSH,SEA,,,,,,P
117427-71218,P,Dylan,Dylan Floro,Floro,4.671875,66,5500,ATH@HOU,ATH,HOU,,,,,,P
117427-181815,P,Brent,Brent Headrick,Headrick,9.8,5,5500,NYY@LAA,NYY,LAA,,,,,,P
117427-222779,P,Thomas,Thomas White,White,,0,5500,MIA@SD,MIA,SD,DTD,Finger,,,,P
117427-181819,P,Tim,Tim Herrin,Herrin,5.217391304347826,24,5500,LAD@CLE,CLE,LAD,,,,,,P
117427-181816,P,Casey,Casey Legumina,Legumina,6.444444444444445,19,5500,WSH@SEA,SEA,WSH,,,,,,P
117427-222783,P,Grant,Grant Taylor,Taylor,,0,5500,CWS@NYM,CWS,NYM,,,,,,P
117427-222782,P,Chase,Chase Burns,Burns,,0,5500,CIN@KC,CIN,KC,,,,,,P
117427-181826,P,Colby,Colby White,White,0,1,5500,NYY@LAA,NYY,LAA,,,,,,P
117427-222786,P,Raul,Raul Alcantara,Alcantara,,0,5500,STL@BAL,BAL,STL,,,,,,P
117427-222784,P,Hagen,Hagen Smith,Smith,,0,5500,CWS@NYM,CWS,NYM,O,Elbow,,,,P
117427-185926,P,Ryan,Ryan Walker,Walker,3.857142857142857,21,5500,SF@DET,SF,DET,,,,,,P
117427-181831,P,Yosver,Yosver Zulueta,Zulueta,3.5,2,5500,CIN@KC,CIN,KC,,,,,,P
117427-222790,P,Jose,Jose Rodriguez,Rodriguez,,0,5500,LAD@CLE,LAD,CLE,,,,,,P
117427-181828,P,Kolton,Kolton Ingram,Ingram,,0,5500,ATL@PHI,ATL,PHI,,,,,,P
117427-222789,P,Jackson,Jackson Ferris,Ferris,,0,5500,LAD@CLE,LAD,CLE,,,,,,P
117427-226884,P,Christian,Christian Montes De Oca,Montes De Oca,,0,5500,PIT@ARI,ARI,PIT,,,,,,P
117427-181838,P,Abner,Abner Uribe,Uribe,6.703703703703703,27,5500,BOS@MIL,MIL,BOS,,,,,,P
117427-181836,P,Justin,Justin Martinez,Martinez,5.3076923076923075,14,5500,PIT@ARI,ARI,PIT,,,,,,P
117427-181843,P,Josh,Josh Simpson,Simpson,0,2,5500,MIA@SD,MIA,SD,,,,,,P
117427-181841,P,George,George Soriano,Soriano,6.090909090909091,11,5500,MIA@SD,MIA,SD,,,,,,P
117427-222807,P,Alejandro,Alejandro Rosario,Rosario,,0,5500,TOR@TEX,TEX,TOR,IL,Elbow,,,,P
117427-181847,P,Noah,Noah Denoyer,Denoyer,,0,5500,STL@BAL,BAL,STL,,,,,,P
117427-181850,P,Colin,Colin Selby,Selby,6.666666666666667,3,5500,STL@BAL,BAL,STL,,,,,,P
117427-181848,P,Tom,Tom Cosgrove,Cosgrove,9,2,5500,COL@CHC,CHC,COL,,,,,,P
117427-181854,P,Brendan,Brendan White,White,0,1,5500,SF@DET,DET,SF,,,,,,P
117427-222814,P,Trey,Trey Yesavage,Yesavage,,0,5500,TOR@TEX,TOR,TEX,,,,,,P
117427-222812,P,Jaden,Jaden Hamm,Hamm,,0,5500,SF@DET,DET,SF,,,,,,P
117427-222819,P,Jonah,Jonah Tong,Tong,,0,5500,CWS@NYM,NYM,CWS,,,,,,P
