player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Kenley Jansen,Los Angeles Angels,0.02-0.02,$5500,0.35,0.02,0.02,4.04,0,0.23,0.43,0.4,0.21,0.19,0.07,0.14,0.36,1.26,,1.9,BAL @ LAA
Kyle Gibson,Baltimore Orioles,0.4-0.21,$6800,3.51,0.4,0.21,4.07,1,0,5.13,5.14,2.6,2.32,0.65,1.64,3.85,1.32,,23.9,BAL @ LAA
Felix Bautista,Baltimore Orioles,0.03-0.03,$5500,0.45,0.03,0.03,2.71,0,0.27,0.51,0.4,0.17,0.15,0.03,0.22,0.41,1.22,,2.5,BAL @ LAA
Jack Kochanowicz,Los Angeles Angels,0.15-0.36,$7200,2.17,0.15,0.36,5.02,1,0,4.33,4.85,2.69,2.41,0.69,1.32,2.6,1.43,,15.6,BAL @ LAA
Tyler Kinley,Colorado Rockies,0.01-0.02,$5500,0.2,0.01,0.02,7.12,0,0.14,0.27,0.34,0.23,0.21,0.04,0.16,0.27,1.89,,1.1,SD @ COL
Robert Suarez,San Diego Padres,0.03-0.04,$5500,0.56,0.03,0.04,1.96,0,0.36,0.66,0.47,0.16,0.14,0.05,0.17,0.46,0.96,,3.1,SD @ COL
Stephen Kolek,San Diego Padres,0.48-0.16,$7600,3.32,0.48,0.16,4.48,1,0,5.26,5.06,3.11,2.61,0.5,1.49,4.21,1.25,,25.2,SD @ COL
Bradley Blalock,Colorado Rockies,0.14-0.48,$6200,2.32,0.14,0.48,7.36,1,0,4.65,5.57,4.21,3.81,0.83,1.97,3.32,1.62,,14.4,SD @ COL
Tanner Scott,Los Angeles Dodgers,0.02-0.03,$5500,0.4,0.02,0.03,1.81,0,0.24,0.44,0.31,0.1,0.09,0.03,0.15,0.34,1.03,,2.2,LAD @ ARI
Corbin Burnes,Arizona Diamondbacks,0.28-0.28,$8700,2.55,0.28,0.28,5.04,1,0,4.81,4.9,3.03,2.69,0.83,1.63,4.22,1.36,,22.2,LAD @ ARI
Dustin May,Los Angeles Dodgers,0.32-0.33,$8400,2.12,0.32,0.33,6.4,1,0,4.89,5.48,3.79,3.48,0.93,1.91,3.51,1.51,,17.8,LAD @ ARI
A.J. Puk,Arizona Diamondbacks,0.02-0.03,$5500,0.42,0.02,0.03,3.23,0,0.26,0.49,0.41,0.19,0.18,0.06,0.17,0.43,1.19,,2.3,LAD @ ARI
Logan Webb,San Francisco Giants,0.26-0.35,$10500,2.77,0.26,0.35,3.59,1,0,5.53,5.22,2.53,2.21,0.42,1.83,5.21,1.27,,29.1,SF @ MIN
Joe Ryan,Minnesota Twins,0.33-0.29,$10000,3.35,0.33,0.29,3.46,1,0,5.7,4.53,2.37,2.19,0.66,1.2,6.29,1,,33.5,SF @ MIN
Jhoan Duran,Minnesota Twins,0.03-0.03,$5500,0.47,0.03,0.03,2.72,0,0.27,0.5,0.39,0.16,0.15,0.02,0.17,0.46,1.13,,2.6,SF @ MIN
Ryan Walker,San Francisco Giants,0.02-0.03,$5500,0.4,0.02,0.03,3.4,0,0.23,0.43,0.37,0.18,0.16,0.02,0.11,0.42,1.12,,2.2,SF @ MIN
