player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Ryan Helsley,St. Louis Cardinals,0.03-0.03,$5500,0.36,0.03,0.03,2.86,0,0.28,0.52,0.42,0.18,0.16,0.05,0.19,0.26,1.17,,2,SD @ STL
Robert Suarez,San Diego Padres,0.02-0.02,$5500,0.25,0.02,0.02,3.35,0,0.22,0.41,0.36,0.17,0.15,0.02,0.12,0.17,1.16,,1.4,SD @ STL
Matthew Liberatore,St. Louis Cardinals,0.31-0.22,$8300,2.93,0.31,0.22,3.51,1,0,4.69,4.41,2.05,1.83,0.46,1.07,4.02,1.17,,24.3,SD @ STL
Randy Vasquez,San Diego Padres,0.26-0.41,$6500,3.18,0.26,0.41,4.85,1,0,5.04,5.02,2.95,2.71,0.99,1.78,3.58,1.35,,20.7,SD @ STL
Kenley Jansen,Los Angeles Angels,0.02-0.02,$5500,0.22,0.02,0.02,3.2,0,0.18,0.34,0.29,0.13,0.12,0.05,0.11,0.15,1.16,,1.2,SEA @ LAA
Tyler Anderson,Los Angeles Angels,0.18-0.39,$7500,2.64,0.18,0.39,4.81,1,0,4.66,4.97,2.75,2.49,0.71,1.78,3.7,1.45,,19.8,SEA @ LAA
Andres Munoz,Seattle Mariners,0.03-0.03,$5500,0.49,0.03,0.03,1.47,0,0.32,0.59,0.39,0.1,0.1,0.02,0.26,0.34,1.1,,2.7,SEA @ LAA
George Kirby,Seattle Mariners,0.45-0.24,$8800,3.3,0.45,0.24,4.05,1,0,5.49,5.36,2.72,2.47,0.77,1.34,5.13,1.22,,29,SEA @ LAA
Chris Martin,Texas Rangers,0.02-0.03,$5500,0.27,0.02,0.03,2.53,0,0.24,0.44,0.34,0.13,0.12,0.05,0.07,0.14,0.93,,1.5,ATL @ TEX
Raisel Iglesias,Atlanta Braves,0.02-0.03,$5500,0.25,0.02,0.03,4.53,0,0.26,0.49,0.49,0.27,0.25,0.09,0.11,0.18,1.22,,1.4,ATL @ TEX
Grant Holmes,Atlanta Braves,0.32-0.27,$8400,3.25,0.32,0.27,3.81,1,0,4.8,3.75,2.25,2.03,0.56,2,5.13,1.2,,27.3,ATL @ TEX
Kumar Rocker,Texas Rangers,0.28-0.37,$8100,2.88,0.28,0.37,4.39,1,0,5.27,4.71,3,2.57,0.63,1.67,3.88,1.21,,23.3,ATL @ TEX
Ryan Pressly,Chicago Cubs,0.03-0.03,$5500,0.38,0.03,0.03,3.52,0,0.32,0.59,0.52,0.25,0.23,0.04,0.22,0.28,1.25,,2.1,CHC @ CHW
Aaron Civale,Chicago White Sox,0.23-0.4,$7300,2.9,0.23,0.4,4.96,1,0,5.33,5.39,3.19,2.94,1.03,1.7,3.72,1.33,,21.2,CHC @ CHW
Jordan Leasure,Chicago White Sox,0.02-0.02,$5500,0.24,0.02,0.02,4.46,0,0.18,0.34,0.34,0.18,0.17,0.05,0.19,0.21,1.55,,1.3,CHC @ CHW
Cade Horton,Chicago Cubs,0.37-0.26,$7700,3.12,0.37,0.26,4.41,1,0,5.36,5.31,2.91,2.63,0.77,1.65,3.99,1.3,,24,CHC @ CHW
Jose Quintana,Milwaukee Brewers,0.36-0.25,$8000,2.92,0.36,0.25,4.06,1,0,4.89,4.56,2.48,2.21,0.63,1.81,3.82,1.3,,23.4,MIA @ MIL
Trevor Megill,Milwaukee Brewers,0.02-0.03,$5500,0.36,0.02,0.03,2.34,0,0.26,0.49,0.37,0.14,0.13,0.03,0.2,0.26,1.15,,2,MIA @ MIL
Janson Junk,Miami Marlins,0.26-0.41,$7900,2.51,0.26,0.41,4.86,1,0,4.94,5.32,3.17,2.67,0.56,1.47,3.38,1.37,,19.8,MIA @ MIL
Calvin Faucher,Miami Marlins,0.02-0.03,$5500,0.29,0.02,0.03,3.81,0,0.24,0.44,0.4,0.2,0.19,0.04,0.2,0.24,1.36,,1.6,MIA @ MIL
Robbie Ray,San Francisco Giants,0.22-0.46,$9400,3.17,0.22,0.46,4.32,1,0,5.36,5,2.78,2.57,0.75,2.16,6.12,1.34,,29.8,NYM @ SF
Edwin Diaz,New York Mets,0.03-0.03,$5500,0.4,0.03,0.03,1.84,0,0.27,0.5,0.35,0.11,0.1,0.03,0.18,0.27,1.05,,2.2,NYM @ SF
David Peterson,New York Mets,0.4-0.2,$9200,2.83,0.4,0.2,3.37,1,0,4.91,4.51,2.05,1.84,0.34,1.87,4.16,1.3,,26,NYM @ SF
Ryan Walker,San Francisco Giants,0.02-0.02,$5500,0.25,0.02,0.02,3.99,0,0.23,0.43,0.4,0.21,0.19,0.03,0.11,0.18,1.18,,1.4,NYM @ SF
Antonio Senzatela,Colorado Rockies,0.2-0.44,$6700,3.12,0.2,0.44,4.59,1,0,5.18,5.42,2.94,2.64,0.71,1.55,3.44,1.35,,20.9,COL @ BAL
Tyler Kinley,Colorado Rockies,0.02-0.02,$5500,0.18,0.02,0.02,5.84,0,0.17,0.31,0.35,0.22,0.2,0.04,0.17,0.2,1.68,,1,COL @ BAL
Trevor Rogers,Baltimore Orioles,0.41-0.2,$9700,3.13,0.41,0.2,3.28,1,0,5.51,4.91,2.24,2.01,0.49,1.86,5.09,1.23,,30.4,COL @ BAL
Felix Bautista,Baltimore Orioles,0.03-0.04,$5500,0.51,0.03,0.04,2.7,0,0.33,0.62,0.49,0.2,0.19,0.05,0.38,0.44,1.41,,2.8,COL @ BAL
Josh Hader,Houston Astros,0.03-0.04,$5500,0.44,0.03,0.04,2.54,0,0.33,0.62,0.48,0.19,0.17,0.11,0.19,0.3,1.07,,2.4,OAK @ HOU
