player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Tyler Kinley,Atlanta Braves,0.02-0.02,$5500,0.24,0.02,0.02,5.4,0,0.19,0.36,0.39,0.23,0.22,0.04,0.21,0.24,1.66,,1.3,ATL @ NYM
Ryan Helsley,New York Mets,0.03-0.03,$5500,0.4,0.03,0.03,2.79,0,0.31,0.57,0.46,0.19,0.18,0.06,0.21,0.28,1.17,,2.2,ATL @ NYM
Bryce Elder,Atlanta Braves,0.22-0.38,$6900,3.17,0.22,0.38,4.53,1,0,5.09,5.45,2.9,2.56,0.79,1.87,3.97,1.44,,21.9,ATL @ NYM
Kodai Senga,New York Mets,0.33-0.19,$8200,3.41,0.33,0.19,3.2,1,0,5.25,4.38,2.03,1.87,0.6,2,4.7,1.22,,28,ATL @ NYM
Emmanuel Clase,Cleveland Guardians,0.02-0.02,$5500,0.27,0.02,0.02,2.84,0,0.23,0.43,0.34,0.15,0.13,0.02,0.1,0.15,1.04,,1.5,MIA @ CLE
Edward Cabrera,Miami Marlins,0.34-0.15,$8900,3.46,0.34,0.15,3.67,1,0,5.37,4.81,2.52,2.19,0.52,1.64,5.7,1.2,,30.8,MIA @ CLE
Calvin Faucher,Miami Marlins,0.03-0.03,$5500,0.36,0.03,0.03,3.47,0,0.27,0.5,0.44,0.21,0.19,0.04,0.23,0.28,1.33,,2,MIA @ CLE
Tanner Bibee,Cleveland Guardians,0.17-0.32,$8400,3.23,0.17,0.32,4.18,1,0,5.65,5.14,2.9,2.63,0.86,1.66,5.1,1.2,,27.1,MIA @ CLE
Tarik Skubal,Detroit Tigers,0.38-0.25,$11000,3.15,0.38,0.25,3.49,1,0,5.72,4.74,2.5,2.22,0.67,1.5,6.41,1.09,,34.6,DET @ MIN
Bailey Ober,Minnesota Twins,0.27-0.4,$7200,3.76,0.27,0.4,4.38,1,0,5.51,5.42,2.99,2.68,0.92,1.37,5.04,1.23,,27.1,DET @ MIN
Jesus Luzardo,Philadelphia Phillies,0.49-0.17,$10100,3.22,0.49,0.17,3.54,1,0,5.57,5.12,2.43,2.19,0.64,1.51,5.79,1.19,,32.5,PHI @ WSH
Brad Lord,Washington Nationals,0.12-0.31,$6200,2.52,0.12,0.31,5.03,1,0,3.77,4.12,2.29,2.1,0.45,1.17,2.92,1.4,,15.6,PHI @ WSH
Eduardo Rodriguez,Arizona Diamondbacks,0.32-0.36,$7700,3.09,0.32,0.36,5.77,1,0,5.38,5.56,3.85,3.45,0.72,1.75,4.85,1.36,,23.8,ARI @ COL
Bradley Blalock,Colorado Rockies,0.24-0.3,$6000,2.48,0.24,0.3,6.87,1,0,4.43,5.24,3.64,3.38,0.77,1.34,3.06,1.49,,14.9,ARI @ COL
