player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Jose Altuve,Houston Astros,$3200,3.56,4.56,0.55,1,0.65,0.2,0.01,0.19,0.64,0.07,0.01,0.46,0.56,0.248,0.328,0.451,0.78,11.4,HOU @ TOR
George Springer,Toronto Blue Jays,$3500,3.91,4.62,0.76,0.94,0.47,0.21,0.02,0.28,0.66,0.12,0.03,0.63,0.93,0.238,0.347,0.529,0.876,13.7,HOU @ TOR
Christian Walker,Houston Astros,$3100,3.42,4.11,0.48,0.9,0.53,0.24,0.01,0.21,0.57,0.01,0.01,0.39,1.08,0.25,0.329,0.517,0.847,10.6,HOU @ TOR
Carlos Correa,Houston Astros,$2900,2.69,4.45,0.36,0.99,0.71,0.24,0,0.07,0.37,0,0.01,0.27,0.69,0.24,0.293,0.353,0.646,7.8,HOU @ TOR
Victor Caratini,Houston Astros,$2600,3.38,4.23,0.37,1.1,0.79,0.24,0.02,0.11,0.45,0,0,0.24,0.74,0.28,0.323,0.452,0.776,8.8,HOU @ TOR
Isiah Kiner-Falefa,Toronto Blue Jays,$2400,3.08,3.95,0.26,0.85,0.66,0.18,0.02,0.02,0.31,0.19,0.06,0.28,0.71,0.238,0.291,0.324,0.615,7.4,HOU @ TOR
Vladimir Guerrero Jr.,Toronto Blue Jays,$3400,3.18,4.4,0.53,0.97,0.63,0.2,0.01,0.17,0.55,0.03,0.01,0.52,0.7,0.26,0.357,0.465,0.822,10.8,HOU @ TOR
Yordan Alvarez,Houston Astros,$3700,3.27,4.67,0.67,1.06,0.66,0.25,0,0.23,0.61,0.01,0.02,0.47,0.69,0.258,0.336,0.504,0.84,12.1,HOU @ TOR
Bo Bichette,Toronto Blue Jays,$3200,3.31,4.29,0.5,1.15,0.7,0.37,0.01,0.11,0.66,0.02,0.02,0.25,0.62,0.291,0.334,0.483,0.816,10.6,HOU @ TOR
Tyler Heineman,Toronto Blue Jays,$2500,2.76,3.73,0.33,0.82,0.63,0.15,0.02,0.05,0.23,0.07,0.02,0.34,0.63,0.245,0.319,0.356,0.675,6.9,HOU @ TOR
